education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",Alabama,1,11,27,38,.,.,.,.,.,.
"Graduated High School",Alabama,1,25,31,56,41.4469536851229,26.1095993167149,56.784308053531,42.7651689503901,25.9560532750755,59.5742846257047
"Attended College or Technical School",Alabama,1,19,56,75,30.5450231517776,17.5935307854492,43.4965155181059,30.4259255730252,14.4646044773658,46.3872466686845
"Graduated from College or Technical
School",Alabama,1,10,27,37,23.500216745636,10.0440172655576,36.9564162257144,32.935197704537,17.0629725650432,48.8074228440308
"Don’t know/Not sure/Missing",Alabama,1,1,0,1,.,.,.,.,.,.
"Did not graduate High School",Alaska,2,4,17,21,.,.,.,.,.,.
"Graduated High School",Alaska,2,18,53,71,20.0509668072013,9.3686924201809,30.7332411942216,.,.,.
"Attended College or Technical School",Alaska,2,17,65,82,21.0633356199316,9.9979409600499,32.1287302798133,.,.,.
"Graduated from College or Technical
School",Alaska,2,9,32,41,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Alaska,2,1,0,1,.,.,.,.,.,.
"Did not graduate High School",Arizona,4,9,28,37,.,.,.,.,.,.
"Graduated High School",Arizona,4,19,77,96,19.1458658515869,10.159895469999,28.1318362331749,19.2878566839704,8.08326848876605,30.4924448791748
"Attended College or Technical School",Arizona,4,36,113,149,21.6363136560787,12.5726550208467,30.6999722913107,.,.,.
"Graduated from College or Technical
School",Arizona,4,23,70,93,28.3320457564745,12.7879231347387,43.8761683782103,.,.,.
"Don’t know/Not sure/Missing",Arizona,4,0,2,2,.,.,.,.,.,.
"Did not graduate High School",Arkansas,5,13,30,43,30.4408570716404,13.6585545325426,47.2231596107381,.,.,.
"Graduated High School",Arkansas,5,30,86,116,24.7421921283036,16.4930721555373,32.9913121010698,24.2071533536947,11.4186145156734,36.995692191716
"Attended College or Technical School",Arkansas,5,22,60,82,23.1425527368516,12.6208084496909,33.6642970240124,.,.,.
"Graduated from College or Technical
School",Arkansas,5,18,36,54,32.0744626847899,17.8824613953475,46.2664639742324,28.1921071952644,11.7793203470428,44.6048940434861
"Don’t know/Not sure/Missing",Arkansas,5,.,.,.,.,.,.,.,.,.
"Did not graduate High School",California,6,4,16,20,.,.,.,.,.,.
"Graduated High School",California,6,9,51,60,24.3555590800755,16.4817829726487,32.2293351875024,23.4784067942247,11.2694267262058,35.6873868622437
"Attended College or Technical School",California,6,24,56,80,27.1621899991747,13.9704349050228,40.3539450933266,.,.,.
"Graduated from College or Technical
School",California,6,12,39,51,.,.,.,.,.,.
"Don’t know/Not sure/Missing",California,6,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Colorado,8,9,18,27,39.9619281993372,21.8778653494263,58.045991049248,.,.,.
"Graduated High School",Colorado,8,10,45,55,11.8123943199802,4.74354563100242,18.8812430089579,.,.,.
"Attended College or Technical School",Colorado,8,13,52,65,24.8676474217068,16.3676711943349,33.3676236490787,26.4446700375605,15.0647133334955,37.8246267416256
"Graduated from College or Technical
School",Colorado,8,11,44,55,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Colorado,8,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Connecticut,9,7,15,22,.,.,.,.,.,.
"Graduated High School",Connecticut,9,47,49,96,50.4035014342446,35.8526553273807,64.9543475411086,50.453735128958,29.5362984253532,71.3711718325628
"Attended College or Technical School",Connecticut,9,32,58,90,36.9049092788926,24.624472248905,49.1853463088802,32.7874334991942,19.2529236931041,46.3219433052842
"Graduated from College or Technical
School",Connecticut,9,23,46,69,28.2192839340836,15.0280053439453,41.4105625242219,.,.,.
"Don’t know/Not sure/Missing",Connecticut,9,1,1,2,.,.,.,.,.,.
"Did not graduate High School",Delaware,10,5,11,16,38.5526721487264,14.5438003269349,62.561543970518,37.4856091440354,31.7361436206047,43.235074667466
"Graduated High School",Delaware,10,22,42,64,34.160913266391,20.3038681190024,48.0179584137795,.,.,.
"Attended College or Technical School",Delaware,10,19,31,50,45.6998404865805,28.0402458555051,63.359435117656,40.3808209193643,22.9518230986777,57.8098187400509
"Graduated from College or Technical
School",Delaware,10,11,29,40,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Delaware,10,0,1,1,.,.,.,.,.,.
"Did not graduate High School","District of
Columbia",11,2,3,5,.,.,.,.,.,.
"Graduated High School","District of
Columbia",11,5,8,13,.,.,.,.,.,.
