income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Less than $15,000",Alabama,1,8,17,25,.,.,.,.,.,.
"$15,000 to < $25,000",Alabama,1,11,24,35,.,.,.,.,.,.
"$25,000 to < $35,000",Alabama,1,8,19,27,35.1757490217274,16.8904898721762,53.4610081712786,.,.,.
"$35,000 to < $50,000",Alabama,1,10,13,23,57.8875724775468,40.2034833726492,75.5716615824444,58.5147772434071,45.9240931919868,71.1054612948274
"$50,000 to < $75,000",Alabama,1,7,19,26,21.4595000652679,11.0668447713208,31.852155359215,53.1666133779579,41.7688022651457,64.5644244907702
"$75,000 to < $100,000",Alabama,1,8,9,17,38.4233637835453,15.6288056360837,61.2179219310068,.,.,.
"$100,000 to < $200,000",Alabama,1,4,14,18,.,.,.,.,.,.
"$200,000 or more",Alabama,1,0,1,1,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Alabama,1,10,25,35,28.7053539344201,15.4154889095007,41.9952189593396,28.5476897643417,12.6872407514042,44.4081387772791
"Less than $15,000",Alaska,2,7,20,27,.,.,.,.,.,.
"$15,000 to < $25,000",Alaska,2,3,26,29,.,.,.,.,.,.
"$25,000 to < $35,000",Alaska,2,6,13,19,.,.,.,.,.,.
"$35,000 to < $50,000",Alaska,2,7,21,28,.,.,.,.,.,.
"$50,000 to < $75,000",Alaska,2,8,21,29,29.5331796975541,12.6624365328151,46.403922862293,.,.,.
"$75,000 to < $100,000",Alaska,2,2,15,17,.,.,.,.,.,.
"$100,000 to < $200,000",Alaska,2,5,25,30,.,.,.,.,.,.
"$200,000 or more",Alaska,2,1,4,5,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Alaska,2,10,22,32,32.5344958936917,15.540493143562,49.5284986438213,32.2067408463785,14.4467297510994,49.9667519416576
"Less than $15,000",Arizona,4,13,35,48,24.1029802594495,10.4473141669301,37.758646351969,.,.,.
"$15,000 to < $25,000",Arizona,4,9,50,59,.,.,.,.,.,.
"$25,000 to < $35,000",Arizona,4,13,45,58,.,.,.,.,.,.
"$35,000 to < $50,000",Arizona,4,23,42,65,31.733659466641,14.942340531622,48.52497840166,.,.,.
"$50,000 to < $75,000",Arizona,4,7,49,56,.,.,.,.,.,.
"$75,000 to < $100,000",Arizona,4,10,17,27,50.066685294452,23.9861030489666,76.1472675399374,55.1263155971495,32.605250589309,77.6473806049899
"$100,000 to < $200,000",Arizona,4,2,21,23,.,.,.,.,.,.
"$200,000 or more",Arizona,4,1,2,3,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Arizona,4,9,29,38,34.3874781343815,15.4690798748786,53.3058763938845,26.9383682714904,18.0305307375599,35.8462058054209
"Less than $15,000",Arkansas,5,13,26,39,31.0708377319096,13.3303810756853,48.8112943881339,63.4611125210858,42.6110484265063,84.3111766156652
