insurance_status,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Have some form of insurance",Alabama,1,64,127,191,34.0901603571305,26.0056159019743,42.1747048122867,33.7492581327675,22.3646806867453,45.1338355787896
"Do not have some form of health
insurance",Alabama,1,2,10,12,25.2870667463373,15.9978518853754,34.5762816072991,22.3135973139736,20.8983858534387,23.7288087745084
"Don´t know, refused or missing
insurance response",Alabama,1,0,4,4,.,.,.,.,.,.
"Have some form of insurance",Alaska,2,46,150,196,22.3538505691097,15.2780898909648,29.4296112472545,23.7313119282699,11.5319571171782,35.9306667393617
"Do not have some form of health
insurance",Alaska,2,1,13,14,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Alaska,2,2,4,6,.,.,.,.,.,.
"Have some form of insurance",Arizona,4,83,276,359,24.5622104730481,17.9797012605759,31.1447196855203,23.2270123395338,12.4825343267055,33.9714903523621
"Do not have some form of health
insurance",Arizona,4,0,8,8,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Arizona,4,4,6,10,.,.,.,.,.,.
"Have some form of insurance",Arkansas,5,76,194,270,25.8808213097791,19.4214363980356,32.3402062215225,24.2340610619374,14.8210014710326,33.6471206528422
"Do not have some form of health
insurance",Arkansas,5,2,8,10,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Arkansas,5,5,10,15,34.0312056847453,11.5843527142596,56.4780586552311,70.5309206638681,69.012919891155,72.0489214365812
"Have some form of insurance",California,6,47,151,198,26.1509665226372,17.0506533837263,35.2512796615481,23.7603268109946,11.8320399356276,35.6886136863616
"Do not have some form of health
insurance",California,6,0,7,7,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",California,6,2,4,6,.,.,.,.,.,.
"Have some form of insurance",Colorado,8,39,143,182,21.0558512770537,12.9431642521689,29.1685383019384,.,.,.
"Do not have some form of health
insurance",Colorado,8,1,8,9,15.07384606504,1.37564581031429,28.7720463197656,21.2623415168252,17.0581957979318,25.4664872357186
"Don´t know, refused or missing
insurance response",Colorado,8,3,8,11,.,.,.,.,.,.
"Have some form of insurance",Connecticut,9,106,160,266,41.7643712424527,33.2972583777442,50.2314841071612,42.9672755453954,29.6256099496824,56.3089411411085
"Do not have some form of health
insurance",Connecticut,9,0,4,4,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Connecticut,9,4,5,9,.,.,.,.,.,.
"Have some form of insurance",Delaware,10,56,109,165,37.0594302476933,27.0096579326443,47.1092025627422,33.9627649931721,17.4333923080336,50.4921376783105
"Do not have some form of health
insurance",Delaware,10,0,5,5,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Delaware,10,1,0,1,.,.,.,.,.,.
"Have some form of insurance","District of
Columbia",11,21,36,57,34.1985053734995,16.5779854192738,51.8190253277251,.,.,.
"Do not have some form of health
insurance","District of
Columbia",11,.,.,.,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response","District of
Columbia",11,.,.,.,.,.,.,.,.,.
"Have some form of insurance",Florida,12,185,433,618,26.6555598231761,20.7443739081137,32.5667457382385,25.8498785140015,19.5437649228952,32.1559921051077
"Do not have some form of health
insurance",Florida,12,1,38,39,9.40389443245205,9.19228906917255,9.61549979573155,.,.,.
"Don´t know, refused or missing
insurance response",Florida,12,7,13,20,62.5498251673214,60.1593573246154,64.9402930100275,.,.,.
"Have some form of insurance",Georgia,13,84,216,300,26.5263233087029,19.3322124899169,33.720434127489,21.8880405627662,13.4201988267965,30.355882298736
"Do not have some form of health
insurance",Georgia,13,1,21,22,7.09938059837885,4.93546806282357,9.26329313393412,.,.,.
"Don´t know, refused or missing
insurance response",Georgia,13,1,11,12,1.63703343375595,0.17132356558726,3.10274330192464,.,.,.
"Have some form of insurance",Hawaii,15,50,159,209,28.2769960052947,17.2322689399679,39.3217230706215,22.805760303954,10.2404860861275,35.3710345217804
"Do not have some form of health
insurance",Hawaii,15,0,5,5,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Hawaii,15,.,.,.,.,.,.,.,.,.
"Have some form of insurance",Idaho,16,37,99,136,29.8428826312323,19.6628235582884,40.0229417041763,28.978657488927,15.259707374778,42.6976076030759
"Do not have some form of health
insurance",Idaho,16,0,6,6,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Idaho,16,0,6,6,.,.,.,.,.,.
"Have some form of insurance",Illinois,17,32,92,124,30.0004057089396,18.7852886612096,41.2155227566696,.,.,.
"Do not have some form of health
insurance",Illinois,17,0,2,2,.,.,.,.,.,.
