race_name,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"American Indian or Alaskan Native",Alabama,1,0,7,7,.,.,.,.,.,.
Asian,Alabama,1,.,.,.,.,.,.,.,.,.
Black,Alabama,1,13,25,38,34.9855491299172,14.5741156427925,55.3969826170419,.,.,.
Hispanic,Alabama,1,0,1,1,.,.,.,.,.,.
Multiracial,Alabama,1,1,4,5,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Alabama,1,.,.,.,.,.,.,.,.,.
White,Alabama,1,52,104,156,35.424905783676,25.9753824995932,44.8744290677589,34.8584571822858,22.8532048694696,46.863709495102
"American Indian or Alaskan Native",Alaska,2,5,18,23,.,.,.,.,.,.
Asian,Alaska,2,0,3,3,.,.,.,.,.,.
Black,Alaska,2,0,5,5,.,.,.,.,.,.
Hispanic,Alaska,2,1,4,5,.,.,.,.,.,.
Multiracial,Alaska,2,4,10,14,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Alaska,2,1,0,1,.,.,.,.,.,.
White,Alaska,2,38,127,165,23.685152383329,15.6269071459019,31.7433976207562,23.2826020517327,9.85118299775694,36.7140211057086
"American Indian or Alaskan Native",Arizona,4,2,2,4,.,.,.,.,.,.
Asian,Arizona,4,.,.,.,.,.,.,.,.,.
Black,Arizona,4,0,2,2,.,.,.,.,.,.
Hispanic,Arizona,4,5,16,21,28.1039616294103,21.5261106704947,34.6818125883258,35.1037937896422,33.0779776075857,37.1296099716986
Multiracial,Arizona,4,3,9,12,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Arizona,4,0,1,1,.,.,.,.,.,.
White,Arizona,4,77,260,337,23.9467835846803,17.4225021870302,30.4710649823303,22.448587157939,12.1230929476213,32.7740813682567
"American Indian or Alaskan Native",Arkansas,5,2,6,8,.,.,.,.,.,.
Asian,Arkansas,5,.,.,.,.,.,.,.,.,.
Black,Arkansas,5,7,17,24,38.5658599035953,14.602223976065,62.5294958311256,41.2179329674104,28.5991815432745,53.8366843915464
Hispanic,Arkansas,5,2,2,4,16.5367097482852,0,51.1900652785434,100,100,100
Multiracial,Arkansas,5,3,7,10,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Arkansas,5,.,.,.,.,.,.,.,.,.
White,Arkansas,5,69,180,249,24.5648074110574,18.2206543520384,30.9089604700765,23.7264452720147,13.8989237666405,33.553966777389
"American Indian or Alaskan Native",California,6,0,3,3,.,.,.,.,.,.
Asian,California,6,2,3,5,.,.,.,.,.,.
Black,California,6,4,11,15,.,.,.,.,.,.
Hispanic,California,6,4,19,23,.,.,.,.,.,.
Multiracial,California,6,1,5,6,7.32333704908881,4.42555012244941,10.2211239757282,.,.,.
"Native Hawaiian or other Pacific
Islander",California,6,0,1,1,.,.,.,.,.,.
White,California,6,38,120,158,24.0657459147188,14.94085141431,33.1906404151276,22.2976234298571,9.96235599731759,34.6328908623967
"American Indian or Alaskan Native",Colorado,8,0,2,2,.,.,.,.,.,.
Asian,Colorado,8,1,1,2,.,.,.,.,.,.
Black,Colorado,8,4,5,9,73.778865051893,45.0899168426569,100,89.7686103454531,85.6752457560005,93.8619749349058
Hispanic,Colorado,8,3,15,18,21.1983327500229,8.455813525771,33.9408519742748,37.9194335999246,18.0801938502551,57.7586733495942
Multiracial,Colorado,8,0,2,2,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Colorado,8,.,.,.,.,.,.,.,.,.
White,Colorado,8,35,134,169,16.1878379042976,10.6231202566551,21.7525555519401,16.2697996459461,7.92639676307991,24.6132025288122
"American Indian or Alaskan Native",Connecticut,9,0,3,3,.,.,.,.,.,.
Asian,Connecticut,9,0,2,2,.,.,.,.,.,.
Black,Connecticut,9,2,8,10,24.8785006883345,12.5931011023441,37.1639002743249,.,.,.
Hispanic,Connecticut,9,4,8,12,61.770151313442,17.0141757411765,100,47.9048952784736,26.7441809255029,69.0656096314444
Multiracial,Connecticut,9,0,2,2,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Connecticut,9,.,.,.,.,.,.,.,.,.
White,Connecticut,9,104,146,250,45.113172380899,36.4555259314029,53.7708188303952,45.8280088419378,32.3247407648451,59.3312769190304
"American Indian or Alaskan Native",Delaware,10,.,.,.,.,.,.,.,.,.
Asian,Delaware,10,0,1,1,.,.,.,.,.,.
Black,Delaware,10,8,12,20,.,.,.,.,.,.
Hispanic,Delaware,10,1,3,4,.,.,.,.,.,.
Multiracial,Delaware,10,1,1,2,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Delaware,10,0,1,1,.,.,.,.,.,.
White,Delaware,10,47,96,143,35.9028541830302,25.9000215155824,45.9056868504779,33.4888807495145,16.5497625344168,50.4279989646122
"American Indian or Alaskan Native","District of
Columbia",11,1,0,1,.,.,.,.,.,.
Asian,"District of
Columbia",11,1,1,2,.,.,.,.,.,.
Black,"District of
Columbia",11,15,23,38,31.9659680843475,15.1049462261656,48.8269899425295,.,.,.
Hispanic,"District of
Columbia",11,.,.,.,.,.,.,.,.,.
Multiracial,"District of
Columbia",11,0,2,2,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander","District of
Columbia",11,.,.,.,.,.,.,.,.,.
White,"District of
Columbia",11,4,10,14,.,.,.,.,.,.
"American Indian or Alaskan Native",Florida,12,0,4,4,.,.,.,.,.,.
Asian,Florida,12,1,1,2,.,.,.,.,.,.
Black,Florida,12,8,19,27,43.0706648795583,33.1524548973892,52.9888748617274,39.5392433788013,25.4740043690375,53.6044823885651
Hispanic,Florida,12,8,21,29,28.7079262336137,8.71297896260373,48.7028735046238,27.0314669953101,26.9677158620727,27.0952181285475
Multiracial,Florida,12,6,14,20,14.8920376289493,11.6737226220986,18.1103526358,24.0061388281152,22.2084794724788,25.8037981837515
"Native Hawaiian or other Pacific
Islander",Florida,12,.,.,.,.,.,.,.,.,.
White,Florida,12,170,425,595,23.9442733207745,18.8658843106571,29.0226623308919,23.33632904769,16.8179466994803,29.8547113958997
"American Indian or Alaskan Native",Georgia,13,2,2,4,.,.,.,.,.,.
Asian,Georgia,13,.,.,.,.,.,.,.,.,.
Black,Georgia,13,11,32,43,.,.,.,.,.,.
Hispanic,Georgia,13,0,2,2,.,.,.,.,.,.
Multiracial,Georgia,13,1,9,10,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Georgia,13,0,3,3,.,.,.,.,.,.
White,Georgia,13,72,200,272,24.6859507152708,18.0641618247715,31.3077396057701,22.6928192508872,14.752764531642,30.6328739701323
"American Indian or Alaskan Native",Hawaii,15,1,0,1,.,.,.,.,.,.
Asian,Hawaii,15,6,24,30,.,.,.,.,.,.
Black,Hawaii,15,0,1,1,.,.,.,.,.,.
Hispanic,Hawaii,15,5,8,13,62.9775409653746,47.0391501856983,78.9159317450509,72.7629043102731,60.7660263987222,84.759782221824
Multiracial,Hawaii,15,9,34,43,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Hawaii,15,5,23,28,.,.,.,.,.,.
White,Hawaii,15,24,74,98,27.0016326841331,11.9997203357084,42.0035450325579,.,.,.
"American Indian or Alaskan Native",Idaho,16,1,2,3,.,.,.,.,.,.
Asian,Idaho,16,.,.,.,.,.,.,.,.,.
Black,Idaho,16,0,1,1,.,.,.,.,.,.
Hispanic,Idaho,16,0,3,3,.,.,.,.,.,.
Multiracial,Idaho,16,1,8,9,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Idaho,16,.,.,.,.,.,.,.,.,.
White,Idaho,16,35,97,132,28.7501188786791,19.4150724207171,38.0851653366411,29.4728933122899,12.4645026367421,46.4812839878377
"American Indian or Alaskan Native",Illinois,17,.,.,.,.,.,.,.,.,.
Asian,Illinois,17,0,1,1,.,.,.,.,.,.
Black,Illinois,17,4,11,15,.,.,.,.,.,.
Hispanic,Illinois,17,1,5,6,.,.,.,.,.,.
Multiracial,Illinois,17,1,1,2,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Illinois,17,.,.,.,.,.,.,.,.,.
White,Illinois,17,27,76,103,30.3520214812867,18.2072619884277,42.4967809741457,.,.,.
"American Indian or Alaskan Native",Indiana,18,3,2,5,.,.,.,.,.,.
Asian,Indiana,18,0,2,2,.,.,.,.,.,.
Black,Indiana,18,13,38,51,.,.,.,.,.,.
Hispanic,Indiana,18,2,2,4,.,.,.,.,.,.
Multiracial,Indiana,18,4,5,9,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Indiana,18,.,.,.,.,.,.,.,.,.
White,Indiana,18,138,317,455,29.4595727655537,24.6095331387149,34.3096123923925,29.063700135763,21.1438126060327,36.9835876654934
"American Indian or Alaskan Native",Iowa,19,0,3,3,.,.,.,.,.,.
Asian,Iowa,19,.,.,.,.,.,.,.,.,.
Black,Iowa,19,1,5,6,20.3416520014627,16.6563677913732,24.0269362115523,.,.,.
Hispanic,Iowa,19,1,0,1,.,.,.,.,.,.
Multiracial,Iowa,19,0,6,6,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Iowa,19,0,1,1,.,.,.,.,.,.
White,Iowa,19,106,244,350,32.0509718500652,25.8919683713858,38.2099753287445,31.1740800448723,21.1486950939897,41.199464995755
"American Indian or Alaskan Native",Kansas,20,3,4,7,86.985028341954,78.1007400837578,95.8693166001501,.,.,.
Asian,Kansas,20,1,2,3,.,.,.,.,.,.
Black,Kansas,20,7,8,15,54.6583709236581,35.0357175665447,74.2810242807714,44.0747039913246,39.1400962536914,49.0093117289579
Hispanic,Kansas,20,4,5,9,.,.,.,.,.,.
Multiracial,Kansas,20,3,7,10,38.623803005897,37.2324931415374,40.0151128702566,.,.,.
"Native Hawaiian or other Pacific
Islander",Kansas,20,.,.,.,.,.,.,.,.,.
White,Kansas,20,128,306,434,29.2770827398732,23.9449766987257,34.6091887810207,27.7714007080655,19.8921181067396,35.6506833093915
"American Indian or Alaskan Native",Kentucky,21,0,3,3,.,.,.,.,.,.
Asian,Kentucky,21,0,2,2,.,.,.,.,.,.
Black,Kentucky,21,7,18,25,11.8620114802164,7.94202579872087,15.781997161712,42.1466290425406,40.3123433982623,43.9809146868188
Hispanic,Kentucky,21,2,1,3,.,.,.,.,.,.
Multiracial,Kentucky,21,1,4,5,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Kentucky,21,.,.,.,.,.,.,.,.,.
