state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Alabama,1,66,141,207,32.6175316339728,24.6578266973901,40.5772365705555,32.7231367028297,21.8168857010793,43.6293877045801
Alaska,2,49,167,216,20.6358136073726,13.9491225839021,27.322504630843,22.3286907325519,11.3145522450567,33.3428292200471
Arizona,4,87,290,377,23.9686997111864,17.6319470624828,30.3054523598901,22.5619403543135,12.4543132051676,32.6695675034594
Arkansas,5,83,212,295,26.4329280194213,20.2283403871517,32.6375156516908,25.3814492129836,16.131273817363,34.6316246086042
California,6,49,162,211,25.5405077370208,16.8673713500943,34.2136441239472,23.5118928286925,12.2093594127568,34.8144262446282
Colorado,8,43,159,202,21.1925596620542,13.5417865175153,28.843332806593,.,.,.
Connecticut,9,110,169,279,41.3461325060284,33.1159511309996,49.5763138810571,42.1515076836597,29.0781857575096,55.2248296098098
Delaware,10,57,114,171,36.401853046641,26.5690799261848,46.2346261670972,33.2791932906154,17.5782070785153,48.9801795027154
"District of Columbia",11,21,36,57,34.1985053734995,16.5779854192738,51.8190253277251,.,.,.
Florida,12,193,484,677,26.9234264187695,21.1275335648156,32.7193192727235,25.842878028675,20.0057947942804,31.6799612630696
Georgia,13,86,248,334,24.181495297328,17.632008301395,30.730982293261,20.9112295076314,12.7850737063662,29.0373853088966
Hawaii,15,50,164,214,26.8991520006018,16.2170022833158,37.5813017178877,22.3231559378669,9.91537267650359,34.7309391992302
Idaho,16,37,111,148,27.649725887985,17.8899724184572,37.4094793575129,.,.,.
Illinois,17,33,94,127,29.8216509685866,18.7863754902296,40.8569264469435,.,.,.
Indiana,18,160,366,526,29.4727051747812,24.8237267655972,34.1216835839653,29.1075579538526,21.4725945426726,36.7425213650326
Iowa,19,108,259,367,30.3417566810925,24.4023785256409,36.2811348365441,29.5117979339891,19.7992613198874,39.2243345480908
Kansas,20,146,332,478,33.6728850749898,27.5860201853489,39.7597499646308,32.271005937241,23.1471018334536,41.3949100410285
Kentucky,21,86,163,249,31.3002125979853,23.7474377983268,38.8529873976439,32.024554526637,21.6147243048368,42.4343847484373
Louisiana,22,75,188,263,25.8940820267165,19.4310780623574,32.3570859910757,24.827194993205,15.0223971457405,34.6319928406695
Maine,23,189,311,500,39.211294840309,33.6215119996731,44.8010776809449,38.1452992176419,30.0042385873866,46.2863598478972
Maryland,24,167,350,517,29.993081695799,23.9314025095345,36.0547608820635,28.4581854096141,19.1828359818983,37.7335348373299
Massachusetts,25,113,198,311,39.972749011488,31.9075235626423,48.0379744603336,36.7959789283419,24.1513643993978,49.440593457286
Michigan,26,142,291,433,31.6886164530101,26.5048317764963,36.8724011295238,29.8661491727498,21.9866012726936,37.7456970728061
Minnesota,27,158,370,528,29.2830159112651,24.0431038624249,34.5229279601053,29.0355013331251,20.3679749294332,37.703027736817
Mississippi,28,41,150,191,21.0339468933254,14.7704431058567,27.2974506807941,22.5628509863768,12.1818112080919,32.9438907646617
Missouri,29,115,256,371,31.7826587695803,25.3157814130175,38.249536126143,29.4579238246339,20.1468979536231,38.7689496956446
Montana,30,68,184,252,26.4846567579641,18.9207957777141,34.0485177382141,22.9949673945581,14.1318143757241,31.858120413392
Nebraska,31,111,216,327,38.0899075091726,31.0457286014434,45.1340864169019,39.2743558847849,28.0968816401473,50.4518301294225
Nevada,32,31,92,123,24.438765197203,14.5619171675342,34.3156132268718,.,.,.
"New Hampshire",33,82,169,251,31.1174775861456,23.447579052624,38.7873761196671,28.6656187860025,19.7734112974895,37.5578262745155
"New Jersey",34,50,140,190,33.8647076760109,23.0645712907326,44.6648440612893,33.9630977700985,18.0581745630504,49.8680209771466
"New Mexico",35,36,122,158,21.9356706562395,12.2093559895771,31.6619853229019,.,.,.
"New York",36,218,388,606,33.4976808477674,27.8126859913173,39.1826757042176,31.5206278378905,22.2182893749309,40.8229663008501
"North Carolina",37,62,119,181,28.9452039902832,20.2941080595639,37.5962999210026,27.2126471658222,12.717285157728,41.7080091739163
"North Dakota",38,59,118,177,34.6669945538637,26.2077365816087,43.1262525261186,31.9606655393133,19.4578256871981,44.4635053914284
Ohio,39,265,636,901,29.4709386267882,24.9859805449048,33.9558967086717,29.1113057684463,22.1453077725512,36.0773037643413
Oklahoma,40,51,183,234,18.1948582106879,12.9194918225643,23.4702245988114,18.0546763704729,10.2866527145233,25.8227000264224
Oregon,41,43,116,159,21.2092506514018,14.3135385372394,28.1049627655641,20.2936019386301,9.93274427640263,30.6544596008576
Pennsylvania,42,74,144,218,29.0215727263845,20.981543283664,37.0616021691049,27.1397797802746,15.8901043542446,38.3894552063046
"Rhode Island",44,113,128,241,45.4745563280732,36.6761475978024,54.2729650583439,42.7006708589139,28.7934274726755,56.6079142451524
"South Carolina",45,112,288,400,27.8507406101768,22.0171322527063,33.6843489676472,26.5937222870234,17.5430273504816,35.6444172235652
"South Dakota",46,73,217,290,30.8572088545478,14.6670269221649,47.0473907869306,.,.,.
Tennessee,47,62,228,290,21.7825476317111,14.7471715134717,28.8179237499505,23.7002174350316,12.301594517598,35.0988403524653
Texas,48,93,371,464,19.6507841258784,12.3429104401314,26.9586578116253,.,.,.
Utah,49,34,103,137,23.1138983198673,14.1836810476761,32.0441155920585,23.4866518322037,9.90002540974089,37.0732782546665
Vermont,50,97,177,274,39.8468137828492,30.8114439454276,48.8821836202709,36.1826039985095,27.346786824138,45.018421172881
Virginia,51,123,257,380,28.6964227794829,22.9355016685319,34.457343890434,28.2963436436701,19.7003626844093,36.8923246029309
Washington,53,208,526,734,26.8025438453501,22.952691209098,30.6523964816022,25.4200232736886,19.2813544182784,31.5586921290987
"West Virginia",54,82,242,324,23.2019339494809,18.0588720769115,28.3449958220503,24.7808026941785,15.9827032099331,33.5789021784239
Wisconsin,55,165,292,457,36.2591255468187,30.8510249574536,41.6672261361837,35.0875782330461,27.3799740767406,42.7951823893516
Wyoming,56,35,154,189,16.9021749472775,10.8937688304031,22.9105810641519,17.2015597692365,7.75902157170478,26.6440979667683
