education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",Arkansas,5,5,35,40,.,.,.,.,.,.
"Graduated High School",Arkansas,5,69,124,193,36.5972787297546,28.9850721676703,44.2094852918389,34.7932214103497,21.9983383846394,47.5881044360601
"Attended College or Technical School",Arkansas,5,52,73,125,44.9886638216495,34.86434817864,55.1129794646589,37.9071383578751,23.7325240028907,52.0817527128595
"Graduated from College or Technical School",Arkansas,5,93,78,171,58.1763810346849,49.3094655610815,67.0432965082883,56.5600142747486,43.6450080056737,69.4750205438234
"Don’t know/Not sure/Missing",Arkansas,5,0,1,1,.,.,.,.,.,.
"Did not graduate High School",Delaware,10,7,13,20,.,.,.,.,.,.
"Graduated High School",Delaware,10,52,66,118,51.9675009693515,39.6845717844253,64.2504301542778,55.5739570807811,32.6982786841611,78.4496354774012
"Attended College or Technical School",Delaware,10,35,59,94,39.1016214746986,25.1541429415473,53.0491000078499,43.8011942111216,24.5094810635473,63.0929073586959
"Graduated from College or Technical School",Delaware,10,77,100,177,41.7243682598596,31.9841741253936,51.4645623943256,46.180201358637,31.3571079794777,61.0032947377964
"Don’t know/Not sure/Missing",Delaware,10,1,2,3,49.5450393111007,0,100,.,.,.
"Did not graduate High School",Massachusetts,25,1,12,13,.,.,.,.,.,.
"Graduated High School",Massachusetts,25,14,54,68,18.4224454391656,7.35628455359529,29.488606324736,.,.,.
"Attended College or Technical School",Massachusetts,25,15,41,56,25.8752818524398,14.5000646961462,37.2504990087334,.,.,.
"Graduated from College or Technical School",Massachusetts,25,92,74,166,53.238644938306,44.4445626820898,62.0327271945222,54.0869386501035,39.3955533753201,68.778323924887
"Don’t know/Not sure/Missing",Massachusetts,25,1,2,3,.,.,.,.,.,.
"Did not graduate High School",Mississippi,28,14,55,69,21.7620496309819,9.55055106066204,33.9735482013018,.,.,.
"Graduated High School",Mississippi,28,32,68,100,33.4760686646995,23.0074724792443,43.9446648501548,37.3709906120121,17.7469631191452,56.995018104879
"Attended College or Technical School",Mississippi,28,51,69,120,40.2675054604096,30.4959473592264,50.0390635615928,43.8532029907585,27.6395239757936,60.0668820057234
"Graduated from College or Technical School",Mississippi,28,70,62,132,51.3631647589327,40.5999310388469,62.1263984790186,53.6483607085007,37.2146234774066,70.0820979395949
"Don’t know/Not sure/Missing",Mississippi,28,2,1,3,.,.,.,.,.,.
"Did not graduate High School","New Jersey",34,2,14,16,.,.,.,.,.,.
"Graduated High School","New Jersey",34,17,38,55,.,.,.,.,.,.
"Attended College or Technical School","New Jersey",34,26,44,70,36.3118851730477,23.5121804743845,49.1115898717109,40.4254710741066,21.4435934699179,59.4073486782953
"Graduated from College or Technical School","New Jersey",34,81,75,156,47.9710713574349,39.2388240421322,56.7033186727375,46.8344141017182,32.1872220737632,61.4816061296732
"Don’t know/Not sure/Missing","New Jersey",34,2,1,3,.,.,.,.,.,.
"Did not graduate High School","South Carolina",45,13,57,70,21.6304339444431,10.0282601665469,33.2326077223392,27.1991049227314,11.2940816400586,43.1041282054041
"Graduated High School","South Carolina",45,118,194,312,37.4576481095492,31.2300403386781,43.6852558804203,40.5128444833268,29.9328244620125,51.092864504641
"Attended College or Technical School","South Carolina",45,111,157,268,42.4304705995871,35.6005758677615,49.2603653314126,44.0782234813495,32.7005962150124,55.4558507476865
"Graduated from College or Technical School","South Carolina",45,229,205,434,52.8240622626036,47.4990321480851,58.1490923771222,52.1871573121285,43.1354236561247,61.2388909681322
"Don’t know/Not sure/Missing","South Carolina",45,0,3,3,.,.,.,.,.,.
