AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
_18-39,Alabama,1,81,19768,409.7531363820316
_18-39,Alaska,2,.,.,183.5704451583295
_18-39,Arizona,4,50,13109,381.41734686093525
_18-39,Arkansas,5,42,14009,299.80726675708473
_18-39,California,6,276,73588,375.0611512746643
_18-39,Colorado,8,29,11348,255.55163905534016
_18-39,Connecticut,9,18,9870,182.370820668693
_18-39,Delaware,10,.,.,174.76406850751485
_18-39,"District of Columbia",11,.,.,394.045534150613
_18-39,Florida,12,211,49850,423.2698094282849
_18-39,Georgia,13,128,27666,462.6617508855635
_18-39,Hawaii,15,.,.,463.821892393321
_18-39,Idaho,16,.,.,168.18028927009755
_18-39,Illinois,17,102,34231,297.9755192661622
_18-39,Indiana,18,79,22352,353.4359341445956
_18-39,Iowa,19,17,11042,153.9576163738453
_18-39,Kansas,20,34,9393,361.97168103907165
_18-39,Kentucky,21,64,18519,345.5910146336195
_18-39,Louisiana,22,77,18971,405.8826630119657
_18-39,Maine,23,21,7556,277.924827951297
_18-39,Maryland,24,67,17793,376.552576856067
_18-39,Massachusetts,25,70,29034,241.09664531239238
_18-39,Michigan,26,142,37640,377.25823591923483
_18-39,Minnesota,27,62,18671,332.0657704461464
_18-39,Mississippi,28,43,12208,352.2280471821756
_18-39,Missouri,29,84,23045,364.50423085267954
_18-39,Montana,30,12,3574,335.7582540570789
_18-39,Nebraska,31,16,5708,280.30833917309036
_18-39,Nevada,32,40,6670,599.7001499250374
_18-39,"New Hampshire",33,17,7475,227.42474916387962
_18-39,"New Jersey",34,53,20903,253.5521217050184
_18-39,"New Mexico",35,22,7275,302.40549828178695
_18-39,"New York",36,158,52434,301.3311973147195
_18-39,"North Carolina",37,102,31941,319.3387808772424
_18-39,"North Dakota",38,15,2369,633.1785563528915
_18-39,Ohio,39,125,39791,314.1413887562514
_18-39,Oklahoma,40,56,14024,399.31545921277814
_18-39,Oregon,41,27,12313,219.2804353122716
_18-39,Pennsylvania,42,107,40632,263.33924000787556
_18-39,"Rhode Island",44,11,4412,249.32003626473255
_18-39,"South Carolina",45,64,15183,421.5240729763551
_18-39,"South Dakota",46,.,.,34.72222222222222
_18-39,Tennessee,47,91,18441,493.46564719917575
_18-39,Texas,48,268,64437,415.91011375451995
_18-39,Utah,49,21,6812,308.2795067527892
_18-39,Vermont,50,.,.,272.92576419213975
_18-39,Virginia,51,78,23328,334.36213991769546
_18-39,Washington,53,53,21295,248.88471472176568
_18-39,"West Virginia",54,38,7685,494.46974625894603
_18-39,Wisconsin,55,56,20827,268.8817400489749
_18-39,Wyoming,56,.,.,113.63636363636363
_40-64,Alabama,1,1555,132149,1176.7020560125313
_40-64,Alaska,2,166,9026,1839.131398183027
_40-64,Arizona,4,860,77050,1116.1583387410774
_40-64,Arkansas,5,949,86558,1096.37468518219
_40-64,California,6,5447,404838,1345.4764621898141
_40-64,Colorado,8,563,61476,915.8045416097339
_40-64,Connecticut,9,626,52577,1190.634688171634
_40-64,Delaware,10,188,19223,977.9951100244499
_40-64,"District of Columbia",11,203,10158,1998.424886788738
_40-64,Florida,12,3700,293451,1260.8578604264426
_40-64,Georgia,13,2261,176105,1283.8931319383323
_40-64,Hawaii,15,215,12900,1666.6666666666667
_40-64,Idaho,16,270,27735,973.4991887506761
_40-64,Illinois,17,2827,193980,1457.3667388390556
_40-64,Indiana,18,1765,131457,1342.6443627954388
_40-64,Iowa,19,592,51342,1153.0520821160064
_40-64,Kansas,20,794,49055,1618.5913770257876
_40-64,Kentucky,21,1812,131856,1374.2264288314525
_40-64,Louisiana,22,1406,101793,1381.2344660241863
_40-64,Maine,23,590,40609,1452.8799034696742
_40-64,Maryland,24,1532,90118,1699.993342062629
_40-64,Massachusetts,25,1798,141633,1269.478158338805
_40-64,Michigan,26,3425,223213,1534.408838194908
_40-64,Minnesota,27,1197,80542,1486.1811228924041
_40-64,Mississippi,28,1146,90180,1270.791749833666
_40-64,Missouri,29,1616,134180,1204.352362498137
_40-64,Montana,30,164,18645,879.5923840171628
_40-64,Nebraska,31,314,26663,1177.6619285151708
_40-64,Nevada,32,575,38792,1482.2643844091565
_40-64,"New Hampshire",33,425,31499,1349.2491825137306
_40-64,"New Jersey",34,1532,126407,1211.958198517487
_40-64,"New Mexico",35,467,41114,1135.8661283261176
_40-64,"New York",36,3521,294267,1196.53240084685
_40-64,"North Carolina",37,2398,206297,1162.4017799580217
_40-64,"North Dakota",38,243,10054,2416.948478217625
_40-64,Ohio,39,2832,217738,1300.6457301894939
_40-64,Oklahoma,40,1481,84745,1747.595728361555
_40-64,Oregon,41,850,63134,1346.3426996547028
_40-64,Pennsylvania,42,2694,226747,1188.1083321940312
_40-64,"Rhode Island",44,205,21419,957.094168728699
_40-64,"South Carolina",45,1208,109240,1105.8220432076162
_40-64,"South Dakota",46,197,12859,1532.000933198538
_40-64,Tennessee,47,1916,141142,1357.4981224582334
_40-64,Texas,48,4992,329809,1513.6033279868045
_40-64,Utah,49,211,26613,792.8456017735693
_40-64,Vermont,50,271,15679,1728.4265578161874
_40-64,Virginia,51,1769,128401,1377.7151268292303
_40-64,Washington,53,1240,108548,1142.3517706452444
_40-64,"West Virginia",54,1109,59961,1849.5355314287622
_40-64,Wisconsin,55,1173,97556,1202.3863217024068
_40-64,Wyoming,56,126,9728,1295.2302631578948
_65-69,Alabama,1,1543,128807,1197.9162623149364
_65-69,Alaska,2,293,24365,1202.5446336958753
_65-69,Arizona,4,1553,181079,857.6367220936718
_65-69,Arkansas,5,1130,98930,1142.2217729707875
_65-69,California,6,7283,700253,1040.052666679043
_65-69,Colorado,8,1054,128603,819.5765262085644
_65-69,Connecticut,9,691,70496,980.1974580118022
_65-69,Delaware,10,332,38165,869.9069828376786
_65-69,"District of Columbia",11,178,12957,1373.7747935478892
_65-69,Florida,12,5445,509682,1068.3131835144266
_65-69,Georgia,13,2480,230695,1075.0124623420534
_65-69,Hawaii,15,248,28355,874.6252865455828
_65-69,Idaho,16,467,52194,894.7388588726674
_65-69,Illinois,17,4196,343270,1222.3614064730386
_65-69,Indiana,18,2258,190491,1185.3578384280622
_65-69,Iowa,19,1063,106596,997.2231603437277
_65-69,Kansas,20,1187,94019,1262.5107690998627
_65-69,Kentucky,21,1799,133513,1347.4343322373102
_65-69,Louisiana,22,1599,123071,1299.2500264075209
_65-69,Maine,23,521,39774,1309.9009403127673
_65-69,Maryland,24,1940,167342,1159.3025062446964
_65-69,Massachusetts,25,2224,179211,1240.9952514075585
_65-69,Michigan,26,3800,268612,1414.6799100561404
_65-69,Minnesota,27,1382,112303,1230.5993606582194
_65-69,Mississippi,28,1160,105936,1095.0007551729345
_65-69,Missouri,29,1819,168928,1076.7901117635915
_65-69,Montana,30,385,45658,843.2257216698059
_65-69,Nebraska,31,612,61439,996.1099627272579
_65-69,Nevada,32,763,72707,1049.4175251351314
_65-69,"New Hampshire",33,643,46907,1370.797535549065
_65-69,"New Jersey",34,2188,213898,1022.9174653339442
_65-69,"New Mexico",35,642,61050,1051.5970515970516
_65-69,"New York",36,4239,371651,1140.5861951131571
_65-69,"North Carolina",37,3000,285077,1052.3472605646896
_65-69,"North Dakota",38,400,24164,1655.3550736633008
_65-69,Ohio,39,4259,307705,1384.1179051364131
_65-69,Oklahoma,40,1882,120374,1563.4605479588615
_65-69,Oregon,41,1237,108702,1137.973542345127
_65-69,Pennsylvania,42,3892,337712,1152.4612687733927
_65-69,"Rhode Island",44,314,23799,1319.3831673599732
_65-69,"South Carolina",45,1626,176631,920.5632080438882
_65-69,"South Dakota",46,397,33665,1179.2663003118967
_65-69,Tennessee,47,2427,189965,1277.6037691153633
_65-69,Texas,48,6290,563291,1116.6519614195859
_65-69,Utah,49,419,52512,797.9128580134064
_65-69,Vermont,50,378,26315,1436.4430932927987
_65-69,Virginia,51,2562,242705,1055.602480377413
_65-69,Washington,53,1942,187600,1035.181236673774
_65-69,"West Virginia",54,1166,63899,1824.7546909967293
_65-69,Wisconsin,55,1794,158155,1134.330245645095
_65-69,Wyoming,56,248,24832,998.7113402061855
_70-74,Alabama,1,2106,180871,1164.365763444665
_70-74,Alaska,2,303,24583,1232.5590855469227
_70-74,Arizona,4,2351,245442,957.86377229651
_70-74,Arkansas,5,1416,118841,1191.5079812522613
_70-74,California,6,9059,874657,1035.720288067208
_70-74,Colorado,8,1277,154037,829.0215987068042
_70-74,Connecticut,9,1014,106208,954.7303404639952
_70-74,Delaware,10,473,48390,977.4746848522421
_70-74,"District of Columbia",11,189,15851,1192.3537947132672
_70-74,Florida,12,7587,702280,1080.3383265933817
_70-74,Georgia,13,3174,288949,1098.4637427366074
_70-74,Hawaii,15,325,37073,876.6487740404068
_70-74,Idaho,16,665,60107,1106.3603240887085
_70-74,Illinois,17,5578,431310,1293.2693422364425
_70-74,Indiana,18,2873,232221,1237.183544985165
_70-74,Iowa,19,1407,126402,1113.115298808563
_70-74,Kansas,20,1599,108464,1474.221861631509
_70-74,Kentucky,21,2206,154448,1428.3124417279603
_70-74,Louisiana,22,1838,142154,1292.9639686537137
_70-74,Maine,23,777,53702,1446.8734870209676
_70-74,Maryland,24,2522,211283,1193.6596886640193
_70-74,Massachusetts,25,3196,235237,1358.6298073857429
_70-74,Michigan,26,4494,316660,1419.1877723741552
_70-74,Minnesota,27,1658,130610,1269.4280682949238
_70-74,Mississippi,28,1424,119859,1188.0626402689827
_70-74,Missouri,29,2315,206603,1120.5064786087326
_70-74,Montana,30,512,49970,1024.6147688613166
_70-74,Nebraska,31,822,73533,1117.8654481661295
_70-74,Nevada,32,1071,95608,1120.199146514936
_70-74,"New Hampshire",33,877,63446,1382.277842574788
_70-74,"New Jersey",34,3301,303903,1086.201847299961
_70-74,"New Mexico",35,847,72617,1166.3935442114107
_70-74,"New York",36,5940,503546,1179.6340354207957
_70-74,"North Carolina",37,3788,361445,1048.0156040338088
_70-74,"North Dakota",38,536,26036,2058.687970502381
_70-74,Ohio,39,5517,371148,1486.4690096673025
_70-74,Oklahoma,40,2293,143884,1593.6448805982595
_70-74,Oregon,41,1426,130662,1091.3655079518146
_70-74,Pennsylvania,42,4935,409011,1206.5690164812195
_70-74,"Rhode Island",44,421,31363,1342.3460765870611
_70-74,"South Carolina",45,2323,225042,1032.2517574497206
_70-74,"South Dakota",46,486,36678,1325.044986095207
_70-74,Tennessee,47,3070,231239,1327.6307197315332
_70-74,Texas,48,8021,718061,1117.0360178313542
_70-74,Utah,49,558,66225,842.5821064552662
_70-74,Vermont,50,517,32010,1615.1202749140896
_70-74,Virginia,51,3685,303816,1212.9051794507202
_70-74,Washington,53,2597,233852,1110.5314472401346
_70-74,"West Virginia",54,1520,76225,1994.096425057396
_70-74,Wisconsin,55,2175,184769,1177.145516834534
_70-74,Wyoming,56,338,26403,1280.1575578532743
_75-79,Alabama,1,1728,124210,1391.192335560744
_75-79,Alaska,2,268,15379,1742.6360621626893
_75-79,Arizona,4,2054,170700,1203.2806092560047
_75-79,Arkansas,5,1391,85528,1626.3679730614538
_75-79,California,6,8602,641076,1341.8065876744724
_75-79,Colorado,8,1003,99823,1004.7784578704308
_75-79,Connecticut,9,1043,85474,1220.2541123616538
_75-79,Delaware,10,410,34655,1183.0904631366325
_75-79,"District of Columbia",11,201,11639,1726.9524873270898
_75-79,Florida,12,7966,556837,1430.5802236561149
_75-79,Georgia,13,2880,207482,1388.072218312914
_75-79,Hawaii,15,317,26783,1183.586603442482
_75-79,Idaho,16,607,41983,1445.8233094347713
_75-79,Illinois,17,5280,322251,1638.4743569453624
_75-79,Indiana,18,2512,162310,1547.655720534779
_75-79,Iowa,19,1334,86609,1540.2556316318166
_75-79,Kansas,20,1472,74271,1981.9310363398904
_75-79,Kentucky,21,1830,110862,1650.7008713535747
_75-79,Louisiana,22,1568,96360,1627.231216272312
_75-79,Maine,23,743,41134,1806.2916322263823
_75-79,Maryland,24,2359,153636,1535.4474211773284
_75-79,Massachusetts,25,3227,170096,1897.1639544727682
_75-79,Michigan,26,4167,252843,1648.058281225899
_75-79,Minnesota,27,1635,96510,1694.1249611439227
_75-79,Mississippi,28,1251,81799,1529.3585496155208
_75-79,Missouri,29,2175,151102,1439.4250241558682
_75-79,Montana,30,386,33002,1169.6260832676808
_75-79,Nebraska,31,739,49878,1481.615140943903
_75-79,Nevada,32,1054,68304,1543.101428906067
_75-79,"New Hampshire",33,839,45152,1858.1679659815734
_75-79,"New Jersey",34,3350,229780,1457.9162677343545
_75-79,"New Mexico",35,764,49199,1552.8770909977845
_75-79,"New York",36,5710,374049,1526.537966950854
_75-79,"North Carolina",37,3451,271070,1273.1028885527724
_75-79,"North Dakota",38,521,18843,2764.9525022554794
_75-79,Ohio,39,4689,249107,1882.323660113927
_75-79,Oklahoma,40,2098,102300,2050.830889540567
_75-79,Oregon,41,1317,87404,1506.7960276417555
_75-79,Pennsylvania,42,4188,266705,1570.2742730732457
_75-79,"Rhode Island",44,421,22277,1889.841540602415
_75-79,"South Carolina",45,2080,154561,1345.7469866266392
_75-79,"South Dakota",46,413,25097,1645.6150137466632
_75-79,Tennessee,47,2845,162132,1754.743048873757
_75-79,Texas,48,7505,535238,1402.1799648007054
_75-79,Utah,49,514,46245,1111.4715104335603
_75-79,Vermont,50,489,22350,2187.9194630872485
_75-79,Virginia,51,3442,214667,1603.4136592955601
_75-79,Washington,53,2522,166971,1510.4419330302867
_75-79,"West Virginia",54,1235,49643,2487.762625143525
_75-79,Wisconsin,55,1863,127851,1457.1649811108243
