RACE_NAME,SEX_NAME,BENE_N,TOTAL_N,PER_100K
Unknown,Male,5407,466902,1158.058864601137
Unknown,Female,1730,268485,644.3562955099912
"Non-Hispanic White",Male,272554,14521861,1876.853111319548
"Non-Hispanic White",Female,231818,17482068,1326.0330528402017
"Black or African-American",Male,33755,1915327,1762.3622493704731
"Black or African-American",Female,34397,2415565,1423.973273333568
Other,Male,2826,162417,1739.9656439904688
Other,Female,1918,170245,1126.6116479191753
"Asian/Pacific Islander",Male,7784,521334,1493.0927198302816
"Asian/Pacific Islander",Female,7010,687836,1019.1382829627992
Hispanic,Male,20957,1399721,1497.2269473702258
Hispanic,Female,18130,1587380,1142.133578601217
"American Indian / Alaska Native",Male,2564,95788,2676.744477387564
"American Indian / Alaska Native",Female,2621,121072,2164.827540636976
