RACE_NAME,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Unknown,Alabama,1,52,6024,863.2138114209827
Unknown,Alaska,2,20,1927,1037.8827192527244
Unknown,Arizona,4,114,14908,764.6900992755568
Unknown,Arkansas,5,40,4222,947.4182851729039
Unknown,California,6,568,58276,974.6722492964514
Unknown,Colorado,8,88,13958,630.4628170224961
Unknown,Connecticut,9,131,13156,995.7433870477348
Unknown,Delaware,10,28,3847,727.83987522745
Unknown,"District of Columbia",11,13,1521,854.7008547008547
Unknown,Florida,12,495,51485,961.4450810915799
Unknown,Georgia,13,131,15847,826.6548873603837
Unknown,Hawaii,15,17,1894,897.5712777191129
Unknown,Idaho,16,25,4094,610.6497313141182
Unknown,Illinois,17,323,29596,1091.3636977969995
Unknown,Indiana,18,177,17150,1032.069970845481
Unknown,Iowa,19,85,9256,918.323249783924
Unknown,Kansas,20,79,7069,1117.5555241193945
Unknown,Kentucky,21,68,7646,889.3539105414596
Unknown,Louisiana,22,67,7459,898.2437324038075
Unknown,Maine,23,53,5124,1034.3481654957063
Unknown,Maryland,24,145,19150,757.1801566579634
Unknown,Massachusetts,25,313,28777,1087.6741842443619
Unknown,Michigan,26,328,25976,1262.7040344933785
Unknown,Minnesota,27,130,11982,1084.960774495076
Unknown,Mississippi,28,31,3391,914.1846063108227
Unknown,Missouri,29,97,11737,826.4462809917355
Unknown,Montana,30,34,4009,848.0917934647044
Unknown,Nebraska,31,55,6010,915.1414309484194
Unknown,Nevada,32,53,5212,1016.8841135840369
Unknown,"New Hampshire",33,77,7154,1076.3209393346378
Unknown,"New Jersey",34,246,25188,976.6555502620296
Unknown,"New Mexico",35,38,4080,931.3725490196078
Unknown,"New York",36,655,60501,1082.6267334424224
Unknown,"North Carolina",37,168,21215,791.8925288710818
Unknown,"North Dakota",38,30,1696,1768.8679245283017
Unknown,Ohio,39,465,37740,1232.1144674085851
Unknown,Oklahoma,40,58,5124,1131.928181108509
Unknown,Oregon,41,79,9799,806.2047147668129
Unknown,Pennsylvania,42,304,32868,924.9117682852623
Unknown,"Rhode Island",44,36,3459,1040.7632263660018
Unknown,"South Carolina",45,101,12351,817.7475508056028
Unknown,"South Dakota",46,25,2319,1078.0508840017249
Unknown,Tennessee,47,117,11621,1006.7980380345925
Unknown,Texas,48,263,31159,844.0578965948843
Unknown,Utah,49,27,4241,636.6423013440227
Unknown,Vermont,50,49,4814,1017.8645616950561
Unknown,Virginia,51,179,22782,785.70801509964
Unknown,Washington,53,183,19707,928.6040493225757
Unknown,"West Virginia",54,42,2680,1567.1641791044774
Unknown,Wisconsin,55,210,19844,1058.2543841967345
Unknown,Wyoming,56,17,2125,800
"Non-Hispanic White",Alabama,1,8430,566440,1488.2423557658358
"Non-Hispanic White",Alaska,2,1079,67452,1599.6560517108464
"Non-Hispanic White",Arizona,4,8577,704278,1217.8429540607544
"Non-Hispanic White",Arkansas,5,6721,435009,1545.0255052194323
"Non-Hispanic White",California,6,31123,2096487,1484.5310273805658
"Non-Hispanic White",Colorado,8,4947,471502,1049.2002154815887
"Non-Hispanic White",Connecticut,9,5407,370749,1458.3990786219247
"Non-Hispanic White",Delaware,10,1779,143003,1244.0298455277161
"Non-Hispanic White","District of Columbia",11,264,19364,1363.354678785375
