SEX_NAME,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Male,Alabama,1,5690,336804,1689.4098644909207
Male,Alaska,2,870,45546,1910.1567645896457
Male,Arizona,4,6302,416947,1511.4630876346394
Male,Arkansas,5,4045,234682,1723.6089687321567
Male,California,6,28101,1666181,1686.5514610957634
Male,Colorado,8,3401,271410,1253.0857374451937
Male,Connecticut,9,3509,204570,1715.3052744781737
Male,Delaware,10,1249,82767,1509.0555414597604
Male,"District of Columbia",11,609,29834,2041.2951665884561
Male,Florida,12,23862,1324353,1801.7854756247013
Male,Georgia,13,8903,537753,1655.5928093381162
Male,Hawaii,15,1056,68649,1538.259843551982
Male,Idaho,16,1832,115896,1580.7275488368882
Male,Illinois,17,15584,797743,1953.5113438789185
Male,Indiana,18,7925,432489,1832.4165470104442
Male,Iowa,19,4190,234856,1784.0719419559218
Male,Kansas,20,4524,202031,2239.260311536348
Male,Kentucky,21,6150,324492,1895.2701453348618
Male,Louisiana,22,5028,279804,1796.9721662306472
Male,Maine,23,2467,112388,2195.074207210734
Male,Maryland,24,6860,367875,1864.7638464152224
Male,Massachusetts,25,9906,443997,2231.0961560551086
Male,Michigan,26,13273,666613,1991.1102843778924
Male,Minnesota,27,5577,277334,2010.9326660272452
Male,Mississippi,28,3816,230795,1653.4153686171712
Male,Missouri,29,6810,404632,1683.010735680816
Male,Montana,30,1284,93914,1367.208296952531
Male,Nebraska,31,2321,131842,1760.440527297826
Male,Nevada,32,2953,170545,1731.5078131871355
Male,"New Hampshire",33,2537,115260,2201.110532708659
Male,"New Jersey",34,10125,538519,1880.1565032988622
Male,"New Mexico",35,2354,139218,1690.8733066126506
Male,"New York",36,19022,975258,1950.458237717609
Male,"North Carolina",37,10481,666913,1571.5693051417502
Male,"North Dakota",38,1675,51968,3223.137315270936
Male,Ohio,39,15058,708130,2126.4457091212066
Male,Oklahoma,40,6155,270699,2273.7431612233513
Male,Oregon,41,4166,243116,1713.5852843909904
Male,Pennsylvania,42,13687,756962,1808.148889904645
Male,"Rhode Island",44,1323,59835,2211.0804712960644
Male,"South Carolina",45,6145,388607,1581.2890658171364
Male,"South Dakota",46,1395,69545,2005.8954633690416
Male,Tennessee,47,8518,428751,1986.7009056538643
Male,Texas,48,22785,1328695,1714.8405013942252
Male,Utah,49,1576,121762,1294.3282797588738
Male,Vermont,50,1501,59880,2506.680026720107
Male,Virginia,51,10144,534580,1897.5644431142205
Male,Washington,53,7473,438924,1702.572654947098
Male,"West Virginia",54,3930,156262,2515.006847474114
Male,Wisconsin,55,6220,356052,1746.935840832238
Male,Wyoming,56,807,49148,1641.979327744771
Female,Alabama,1,5028,413195,1216.858868088917
Female,Alaska,2,628,45549,1378.734988693495
Female,Arizona,4,4550,462232,984.3541771231763
Female,Arkansas,5,3671,281168,1305.625106697775
Female,California,6,23946,1916952,1249.1705582612396
Female,Colorado,8,2620,303994,861.8591156404403
Female,Connecticut,9,3085,258616,1192.8882977077985
Female,Delaware,10,943,102657,918.5929844043758
Female,"District of Columbia",11,627,39950,1569.4618272841053
Female,Florida,12,20426,1549937,1317.8600162458215
Female,Georgia,13,7672,649014,1182.1008483638257
Female,Hawaii,15,769,75386,1020.0833045923646
Female,Idaho,16,1375,124419,1105.1366752666393
Female,Illinois,17,14593,986972,1478.5627150516934
Female,Indiana,18,6905,533793,1293.5726021135533
Female,Iowa,19,3559,283426,1255.7069570187632
Female,Kansas,20,4100,244316,1678.1545211938635
Female,Kentucky,21,5461,370890,1472.404216883712
Female,Louisiana,22,4621,329115,1404.0684866991783
Female,Maine,23,2198,130139,1688.9633391988568
Female,Maryland,24,6357,484366,1312.4372891573728
Female,Massachusetts,25,8542,556964,1533.6718351634936
Female,Michigan,26,12270,801933,1530.0530094159988
Female,Minnesota,27,4331,318729,1358.8346212613224
Female,Mississippi,28,3443,285656,1205.2958803595934
Female,Missouri,29,5842,482132,1211.7013597935836
Female,Montana,30,953,99424,958.5210814290313
Female,Nebraska,31,1987,161119,1233.2499581054997
Female,Nevada,32,2251,182864,1230.9694636451134
Female,"New Hampshire",33,2049,138069,1484.0405884014515
Female,"New Jersey",34,8673,699525,1239.8413208963225
Female,"New Mexico",35,1899,152466,1245.523592145134
Female,"New York",36,16873,1210017,1394.4432185663507
Female,"North Carolina",37,9012,825499,1091.7033212638657
Female,"North Dakota",38,1296,59735,2169.5823219218214
Female,Ohio,39,12440,827531,1503.2669470992628
Female,Oklahoma,40,5652,327285,1726.9352399285026
Female,Oregon,41,3365,263110,1278.932765763369
Female,Pennsylvania,42,11736,913739,1284.3930268927998
Female,"Rhode Island",44,1140,72725,1567.5489859058096
Female,"South Carolina",45,4942,471704,1047.6909248172583
Female,"South Dakota",46,1100,79032,1391.841279481729
Female,Tennessee,47,7367,516549,1426.1957723275043
Female,Texas,48,20176,1574124,1281.7287583443238
Female,Utah,49,1180,138195,853.865914106878
Female,Vermont,50,1236,69464,1779.3389381550155
Female,Virginia,51,8577,665194,1289.3982808022922
Female,Washington,53,6133,499580,1227.6312102165818
Female,"West Virginia",54,3611,167507,2155.7308052797794
Female,Wisconsin,55,5180,413575,1252.4935017832317
Female,Wyoming,56,641,53011,1209.182999754768
