LIS,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
No,Alabama,1,163,53,216,0.7546296296
No,Alaska,2,.,.,.,0.6428571429
No,Arizona,3,133,38,171,0.7777777778
No,Arkansas,4,103,34,137,0.7518248175
No,California,5,731,241,972,0.7520576132
No,Colorado,6,86,28,114,0.7543859649
No,Connecticut,7,84,23,107,0.785046729
No,Delaware,8,82,23,105,0.780952381
No,"District of Columbia",9,.,.,.,0.5714285714
No,Florida,10,605,204,809,0.7478368356
No,Georgia,11,317,103,420,0.7547619048
No,Hawaii,12,31,12,43,0.7209302326
No,Idaho,13,.,.,.,0.75
No,Illinois,14,570,157,727,0.7840440165
No,Indiana,15,203,62,265,0.7660377358
No,Iowa,16,147,45,192,0.765625
No,Kansas,17,170,52,222,0.7657657658
No,Kentucky,18,142,51,193,0.7357512953
No,Louisiana,19,132,49,181,0.729281768
No,Maine,20,.,.,.,0.875
No,Maryland,21,447,137,584,0.7654109589
No,Massachusetts,22,405,105,510,0.7941176471
No,Michigan,23,525,170,695,0.7553956835
No,Minnesota,24,216,50,266,0.8120300752
No,Mississippi,25,134,48,182,0.7362637363
No,Missouri,26,241,69,310,0.7774193548
No,Montana,27,32,12,44,0.7272727273
No,Nebraska,28,90,23,113,0.796460177
No,Nevada,29,86,37,123,0.6991869919
No,"New Hampshire",30,82,17,99,0.8282828283
No,"New Jersey",31,851,241,1092,0.7793040293
No,"New Mexico",32,31,13,44,0.7045454545
No,"New York",33,792,220,1012,0.7826086957
No,"North Carolina",34,361,115,476,0.7584033613
No,"North Dakota",35,61,18,79,0.7721518987
No,Ohio,36,486,143,629,0.7726550079
No,Oklahoma,37,153,49,202,0.7574257426
No,Oregon,38,73,30,103,0.7087378641
No,Pennsylvania,39,784,197,981,0.7991845056
No,"Rhode Island",41,51,14,65,0.7846153846
No,"South Carolina",42,203,91,294,0.6904761905
No,"South Dakota",43,47,14,61,0.7704918033
No,Tennessee,44,223,64,287,0.7770034843
No,Texas,45,613,283,896,0.6841517857
No,Utah,46,45,29,74,0.6081081081
No,Vermont,47,.,.,.,0.8333333333
No,Virginia,49,408,122,530,0.7698113208
No,Washington,50,138,68,206,0.6699029126
No,"West Virginia",51,74,29,103,0.7184466019
No,Wisconsin,52,220,43,263,0.8365019011
No,Wyoming,53,.,.,.,0.7631578947
Yes,Alabama,1,1670,543,2213,0.7546317216
Yes,Alaska,2,317,119,436,0.7270642202
Yes,Arizona,3,1357,554,1911,0.7100994244
Yes,Arkansas,4,1480,556,2036,0.7269155206
Yes,California,5,16132,4999,21131,0.7634281388
Yes,Colorado,6,1867,468,2335,0.7995717345
Yes,Connecticut,7,2613,496,3109,0.8404631714
Yes,Delaware,8,482,108,590,0.8169491525
Yes,"District of Columbia",9,428,191,619,0.6914378029
Yes,Florida,10,7236,2243,9479,0.7633716637
Yes,Georgia,11,3308,1108,4416,0.7490942029
Yes,Hawaii,12,246,82,328,0.75
Yes,Idaho,13,710,234,944,0.7521186441
Yes,Illinois,14,5183,1584,6767,0.7659228609
Yes,Indiana,15,3710,889,4599,0.8066971081
Yes,Iowa,16,2343,432,2775,0.8443243243
Yes,Kansas,17,1729,444,2173,0.7956741832
Yes,Kentucky,18,1877,549,2426,0.7737015664
Yes,Louisiana,19,2208,925,3133,0.7047558251
Yes,Maine,20,956,227,1183,0.808114962
Yes,Maryland,21,4122,1034,5156,0.7994569434
Yes,Massachusetts,22,5486,1150,6636,0.826702833
Yes,Michigan,23,6433,1566,7999,0.8042255282
Yes,Minnesota,24,4147,755,4902,0.8459812322
Yes,Mississippi,25,2236,739,2975,0.7515966387
Yes,Missouri,26,4502,916,5418,0.830933924
Yes,Montana,27,629,172,801,0.7852684145
Yes,Nebraska,28,1048,235,1283,0.8168355417
Yes,Nevada,29,1116,500,1616,0.6905940594
Yes,"New Hampshire",30,948,163,1111,0.8532853285
Yes,"New Jersey",31,4358,1103,5461,0.7980223402
Yes,"New Mexico",32,557,209,766,0.727154047
Yes,"New York",33,10935,2751,13686,0.7989916703
Yes,"North Carolina",34,5276,1563,6839,0.7714578155
Yes,"North Dakota",35,570,86,656,0.868902439
Yes,Ohio,36,4827,1246,6073,0.7948295735
Yes,Oklahoma,37,2052,567,2619,0.7835051546
Yes,Oregon,38,1271,436,1707,0.7445811365
Yes,Pennsylvania,39,5849,1510,7359,0.7948090773
Yes,"Rhode Island",41,467,92,559,0.8354203936
Yes,"South Carolina",42,2027,721,2748,0.7376273654
Yes,"South Dakota",43,522,101,623,0.8378812199
Yes,Tennessee,44,2171,754,2925,0.7422222222
Yes,Texas,45,6962,2484,9446,0.7370315477
Yes,Utah,46,838,221,1059,0.791312559
Yes,Vermont,47,507,84,591,0.8578680203
Yes,Virginia,49,3694,1010,4704,0.7852891156
Yes,Washington,50,2264,726,2990,0.7571906355
Yes,"West Virginia",51,991,237,1228,0.8070032573
Yes,Wisconsin,52,3002,481,3483,0.8619006604
Yes,Wyoming,53,260,87,347,0.7492795389
