RACE_NAME,ENTLMT_RSN_CURR,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,Arizona,3,.,0,.,1
Unknown,Aged,California,5,.,.,.,0.7959183673
Unknown,Aged,Colorado,6,.,0,.,1
Unknown,Aged,Connecticut,7,.,.,.,0.8333333333
Unknown,Aged,Delaware,8,.,.,.,0.3333333333
Unknown,Aged,Florida,10,.,.,.,0.7
Unknown,Aged,Georgia,11,.,.,.,0.75
Unknown,Aged,Illinois,14,11,0,11,1
Unknown,Aged,Indiana,15,.,.,.,0.6
Unknown,Aged,Iowa,16,.,.,.,0.75
Unknown,Aged,Kansas,17,.,.,.,0.6666666667
Unknown,Aged,Kentucky,18,.,0,.,1
Unknown,Aged,Louisiana,19,0,.,.,0
Unknown,Aged,Maine,20,.,0,.,1
Unknown,Aged,Maryland,21,.,.,.,0.6
Unknown,Aged,Massachusetts,22,.,.,.,0.8148148148
Unknown,Aged,Michigan,23,.,.,.,0.7083333333
Unknown,Aged,Minnesota,24,.,.,.,0.8888888889
Unknown,Aged,Mississippi,25,.,0,.,1
Unknown,Aged,Missouri,26,.,0,.,1
Unknown,Aged,Montana,27,.,0,.,1
Unknown,Aged,Nebraska,28,.,0,.,1
Unknown,Aged,Nevada,29,.,.,.,0.5
Unknown,Aged,"New Hampshire",30,.,0,.,1
Unknown,Aged,"New Jersey",31,.,.,.,0.75
Unknown,Aged,"New Mexico",32,0,.,.,0
Unknown,Aged,"New York",33,47,18,65,0.7230769231
Unknown,Aged,"North Carolina",34,.,0,.,1
Unknown,Aged,Ohio,36,.,.,.,0.8947368421
Unknown,Aged,Oregon,38,.,0,.,1
Unknown,Aged,Pennsylvania,39,.,.,.,0.8461538462
Unknown,Aged,"Rhode Island",41,0,.,.,0
Unknown,Aged,"South Carolina",42,.,.,.,0.6666666667
Unknown,Aged,"South Dakota",43,.,0,.,1
Unknown,Aged,Tennessee,44,.,.,.,0.5
Unknown,Aged,Texas,45,.,.,.,0.8461538462
Unknown,Aged,Utah,46,.,.,.,0.5
Unknown,Aged,Vermont,47,.,.,.,0.6666666667
Unknown,Aged,Virginia,49,.,.,.,0.8571428571
Unknown,Aged,Washington,50,.,.,.,0.5
Unknown,Aged,"West Virginia",51,.,0,.,1
Unknown,Aged,Wisconsin,52,.,.,.,0.8888888889
Unknown,Aged,Wyoming,53,.,0,.,1
