RACE_NAME,SEX_NAME,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,Alabama,1,"Calhoun County",1015,.,0,.,1
Unknown,Male,Alabama,1,"Coffee County",1031,.,0,.,1
Unknown,Male,Alabama,1,"Covington County",1039,.,0,.,1
Unknown,Male,Alabama,1,"Cullman County",1043,.,0,.,1
Unknown,Male,Alabama,1,"Dale County",1045,.,0,.,1
Unknown,Male,Alabama,1,"DeKalb County",1049,.,0,.,1
Unknown,Male,Alabama,1,"Houston County",1069,.,0,.,1
Unknown,Male,Alabama,1,"Jefferson County",1073,0,.,.,0
Unknown,Male,Alabama,1,"Lauderdale County",1077,.,0,.,1
Unknown,Male,Alabama,1,"Madison County",1089,.,0,.,1
Unknown,Male,Alabama,1,"Montgomery County",1101,.,0,.,1
Unknown,Male,Alabama,1,"Morgan County",1103,.,0,.,1
Unknown,Male,Alabama,1,"Sumter County",1119,0,.,.,0
Unknown,Male,Alabama,1,"Talladega County",1121,.,0,.,1
Unknown,Male,Alabama,1,"Winston County",1133,0,.,.,0
Unknown,Male,Alaska,2,"Anchorage Borough",2020,.,.,.,0.5
Unknown,Male,Alaska,2,"Kodiak Island Borough",2150,0,.,.,0
Unknown,Male,Alaska,2,"Matanuska-Susitna Borough",2170,0,.,.,0
Unknown,Male,Arizona,4,"Graham County",4009,.,0,.,1
Unknown,Male,Arizona,4,"Maricopa County",4013,.,.,.,0.6875
Unknown,Male,Arizona,4,"Mohave County",4015,0,.,.,0
Unknown,Male,Arizona,4,"Navajo County",4017,.,0,.,1
Unknown,Male,Arizona,4,"Pima County",4019,.,.,.,0.5
Unknown,Male,Arizona,4,"Pinal County",4021,.,0,.,1
Unknown,Male,Arizona,4,"Santa Cruz County",4023,.,0,.,1
Unknown,Male,Arizona,4,"Yuma County",4027,.,0,.,1
Unknown,Male,Arkansas,5,"Baxter County",5005,.,0,.,1
Unknown,Male,Arkansas,5,"Benton County",5007,.,0,.,1
Unknown,Male,Arkansas,5,"Conway County",5029,0,.,.,0
Unknown,Male,Arkansas,5,"Crawford County",5033,.,0,.,1
Unknown,Male,Arkansas,5,"Faulkner County",5045,.,0,.,1
Unknown,Male,Arkansas,5,"Garland County",5051,.,0,.,1
Unknown,Male,Arkansas,5,"Howard County",5061,.,0,.,1
Unknown,Male,Arkansas,5,"Lawrence County",5075,.,0,.,1
Unknown,Male,Arkansas,5,"Marion County",5089,.,0,.,1
Unknown,Male,Arkansas,5,"Pope County",5115,.,0,.,1
Unknown,Male,Arkansas,5,"Pulaski County",5119,.,.,.,0.8
Unknown,Male,Arkansas,5,"Saline County",5125,.,0,.,1
Unknown,Male,Arkansas,5,"Sebastian County",5131,0,.,.,0
Unknown,Male,Arkansas,5,"Stone County",5137,.,0,.,1
Unknown,Male,Arkansas,5,"Union County",5139,.,0,.,1
Unknown,Male,Arkansas,5,"Washington County",5143,.,0,.,1
Unknown,Male,Arkansas,5,"White County",5145,.,0,.,1
Unknown,Male,California,6,"Alameda County",6001,.,.,.,0.6666666667
Unknown,Male,California,6,"Butte County",6007,0,.,.,0
Unknown,Male,California,6,"Calaveras County",6009,.,0,.,1
Unknown,Male,California,6,"Contra Costa County",6013,.,.,.,0.7777777778
Unknown,Male,California,6,"Fresno County",6019,.,.,.,0.75
Unknown,Male,California,6,"Humboldt County",6023,0,.,.,0
Unknown,Male,California,6,"Kings County",6031,0,.,.,0
Unknown,Male,California,6,"Lake County",6033,.,0,.,1
Unknown,Male,California,6,"Los Angeles County",6037,.,.,.,0.7142857143
Unknown,Male,California,6,"Marin County",6041,.,.,.,0.5
Unknown,Male,California,6,"Mendocino County",6045,.,0,.,1
Unknown,Male,California,6,"Merced County",6047,.,0,.,1
Unknown,Male,California,6,"Monterey County",6053,.,.,.,0.5
Unknown,Male,California,6,"Napa County",6055,.,0,.,1
Unknown,Male,California,6,"Nevada County",6057,.,.,.,0.3333333333
Unknown,Male,California,6,"Orange County",6059,.,.,.,0.9
Unknown,Male,California,6,"Riverside County",6065,.,0,.,1
Unknown,Male,California,6,"Sacramento County",6067,.,.,.,0.5714285714
Unknown,Male,California,6,"San Bernardino County",6071,.,0,.,1
Unknown,Male,California,6,"San Diego County",6073,.,.,.,0.7916666667
Unknown,Male,California,6,"San Francisco County",6075,.,.,.,0.3333333333
Unknown,Male,California,6,"San Joaquin County",6077,.,0,.,1
Unknown,Male,California,6,"San Luis Obispo County",6079,.,.,.,0.3333333333
Unknown,Male,California,6,"San Mateo County",6081,.,.,.,0.6666666667
Unknown,Male,California,6,"Santa Clara County",6085,.,0,.,1
Unknown,Male,California,6,"Santa Cruz County",6087,.,.,.,0.5
Unknown,Male,California,6,"Shasta County",6089,.,0,.,1
Unknown,Male,California,6,"Siskiyou County",6093,0,.,.,0
Unknown,Male,California,6,"Solano County",6095,.,.,.,0.6666666667
Unknown,Male,California,6,"Sonoma County",6097,.,.,.,0.5714285714
Unknown,Male,California,6,"Stanislaus County",6099,.,0,.,1
Unknown,Male,California,6,"Tulare County",6107,.,0,.,1
Unknown,Male,California,6,"Ventura County",6111,.,0,.,1
Unknown,Male,Colorado,8,"Adams County",8001,.,0,.,1
Unknown,Male,Colorado,8,"Arapahoe County",8005,.,0,.,1
Unknown,Male,Colorado,8,"Boulder County",8013,.,0,.,1
Unknown,Male,Colorado,8,,8014,0,.,.,0
Unknown,Male,Colorado,8,"Delta County",8029,.,0,.,1
Unknown,Male,Colorado,8,"Denver County",8031,.,.,.,0.5
Unknown,Male,Colorado,8,"Douglas County",8035,.,0,.,1
Unknown,Male,Colorado,8,"El Paso County",8041,.,.,.,0.6
Unknown,Male,Colorado,8,"Fremont County",8043,.,0,.,1
Unknown,Male,Colorado,8,"Gilpin County",8047,.,0,.,1
Unknown,Male,Colorado,8,"Jefferson County",8059,.,0,.,1
Unknown,Male,Colorado,8,"Larimer County",8069,.,0,.,1
Unknown,Male,Colorado,8,"Mesa County",8077,.,0,.,1
Unknown,Male,Colorado,8,"Pitkin County",8097,.,0,.,1
