SEX_NAME,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Male,Alabama,1,"Autauga County",1001,.,.,.,0.8571428571
Male,Alabama,1,"Baldwin County",1003,.,.,.,0.78125
Male,Alabama,1,"Barbour County",1005,.,.,.,0.6666666667
Male,Alabama,1,"Bibb County",1007,.,.,.,0.6666666667
Male,Alabama,1,"Blount County",1009,.,.,.,0.9
Male,Alabama,1,"Bullock County",1011,.,.,.,0.75
Male,Alabama,1,"Butler County",1013,.,0,.,1
Male,Alabama,1,"Calhoun County",1015,.,.,.,0.6666666667
Male,Alabama,1,"Chambers County",1017,.,.,.,0.8125
Male,Alabama,1,"Cherokee County",1019,.,0,.,1
Male,Alabama,1,"Chilton County",1021,.,0,.,1
Male,Alabama,1,"Choctaw County",1023,.,.,.,0.5
Male,Alabama,1,"Clarke County",1025,.,.,.,0.7142857143
Male,Alabama,1,"Clay County",1027,.,0,.,1
Male,Alabama,1,"Cleburne County",1029,.,.,.,0.3333333333
Male,Alabama,1,"Coffee County",1031,.,.,.,0.8888888889
Male,Alabama,1,"Colbert County",1033,.,.,.,0.75
Male,Alabama,1,"Conecuh County",1035,.,.,.,0.5
Male,Alabama,1,"Coosa County",1037,.,.,.,0.25
Male,Alabama,1,"Covington County",1039,.,.,.,0.7647058824
Male,Alabama,1,"Crenshaw County",1041,.,.,.,0.6666666667
Male,Alabama,1,"Cullman County",1043,.,.,.,0.8
Male,Alabama,1,"Dale County",1045,.,.,.,0.4666666667
Male,Alabama,1,"Dallas County",1047,.,.,.,0.7586206897
Male,Alabama,1,"DeKalb County",1049,.,.,.,0.8541666667
Male,Alabama,1,"Elmore County",1051,.,.,.,0.7
Male,Alabama,1,"Escambia County",1053,.,.,.,0.75
Male,Alabama,1,"Etowah County",1055,27,11,38,0.7105263158
Male,Alabama,1,"Fayette County",1057,.,.,.,0.6
Male,Alabama,1,"Franklin County",1059,.,.,.,0.6
Male,Alabama,1,"Geneva County",1061,.,.,.,0.7777777778
Male,Alabama,1,"Hale County",1065,.,.,.,0.3333333333
Male,Alabama,1,"Henry County",1067,.,.,.,0.3333333333
