AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,26,12,38,0.6842105263
_18-39,Arizona,4,.,.,.,0.9090909091
_18-39,Arkansas,5,.,.,.,0.7333333333
_18-39,California,6,45,25,70,0.6428571429
_18-39,Colorado,8,.,.,.,0.6666666667
_18-39,Connecticut,9,.,.,.,0.8571428571
_18-39,Delaware,10,.,0,.,1
_18-39,"District of Columbia",11,.,.,.,0.3333333333
_18-39,Florida,12,89,24,113,0.7876106195
_18-39,Georgia,13,47,25,72,0.6527777778
_18-39,Idaho,16,.,0,.,1
_18-39,Illinois,17,21,18,39,0.5384615385
_18-39,Indiana,18,.,.,.,0.7727272727
_18-39,Iowa,19,.,.,.,0.75
_18-39,Kansas,20,.,.,.,0.8
_18-39,Kentucky,21,.,.,.,0.6666666667
_18-39,Louisiana,22,24,15,39,0.6153846154
_18-39,Maine,23,.,0,.,1
_18-39,Maryland,24,27,12,39,0.6923076923
_18-39,Massachusetts,25,.,.,.,0.7916666667
_18-39,Michigan,26,.,.,.,0.6086956522
_18-39,Minnesota,27,.,.,.,0.8
_18-39,Mississippi,28,.,.,.,0.619047619
_18-39,Missouri,29,.,.,.,0.4210526316
_18-39,Montana,30,.,0,.,1
_18-39,Nebraska,31,0,.,.,0
_18-39,Nevada,32,.,.,.,0.875
_18-39,"New Jersey",34,.,.,.,0.8571428571
_18-39,"New Mexico",35,.,.,.,0.8
_18-39,"New York",36,82,30,112,0.7321428571
_18-39,"North Carolina",37,.,.,.,0.7619047619
_18-39,"North Dakota",38,.,0,.,1
_18-39,Ohio,39,.,.,.,0.652173913
_18-39,Oklahoma,40,.,0,.,1
_18-39,Oregon,41,.,.,.,0.6666666667
_18-39,Pennsylvania,42,.,.,.,0.7837837838
_18-39,"Rhode Island",44,.,0,.,1
_18-39,"South Carolina",45,.,.,.,0.6923076923
_18-39,Tennessee,47,.,.,.,0.724137931
_18-39,Texas,48,58,23,81,0.7160493827
_18-39,Utah,49,0,.,.,0
_18-39,Vermont,50,.,0,.,1
_18-39,Virginia,51,.,.,.,0.6842105263
_18-39,Washington,53,.,.,.,0.75
_18-39,"West Virginia",54,0,.,.,0
_18-39,Wisconsin,55,.,.,.,0.6666666667
_40-64,Alabama,1,204,54,258,0.7906976744
_40-64,Alaska,2,.,0,.,1
_40-64,Arizona,4,108,22,130,0.8307692308
_40-64,Arkansas,5,70,18,88,0.7954545455
_40-64,California,6,1219,169,1388,0.8782420749
_40-64,Colorado,8,124,16,140,0.8857142857
_40-64,Connecticut,9,160,21,181,0.8839779006
_40-64,Delaware,10,.,.,.,0.8222222222
_40-64,"District of Columbia",11,101,34,135,0.7481481481
_40-64,Florida,12,1337,204,1541,0.8676184296
_40-64,Georgia,13,585,165,750,0.78
_40-64,Hawaii,15,.,.,.,0.7894736842
_40-64,Idaho,16,14,0,14,1
_40-64,Illinois,17,380,81,461,0.8242950108
_40-64,Indiana,18,175,31,206,0.8495145631
_40-64,Iowa,19,.,.,.,0.935483871
_40-64,Kansas,20,36,13,49,0.7346938776
_40-64,Kentucky,21,103,14,117,0.8803418803
_40-64,Louisiana,22,300,100,400,0.75
_40-64,Maine,23,.,.,.,0.9189189189
_40-64,Maryland,24,303,74,377,0.8037135279
_40-64,Massachusetts,25,308,28,336,0.9166666667
_40-64,Michigan,26,196,35,231,0.8484848485
_40-64,Minnesota,27,92,18,110,0.8363636364
_40-64,Mississippi,28,138,43,181,0.7624309392
_40-64,Missouri,29,210,37,247,0.8502024291
_40-64,Montana,30,.,.,.,0.6666666667
_40-64,Nebraska,31,.,.,.,0.8055555556
_40-64,Nevada,32,66,12,78,0.8461538462
_40-64,"New Hampshire",33,.,.,.,0.7619047619
_40-64,"New Jersey",34,400,62,462,0.8658008658
_40-64,"New Mexico",35,.,.,.,0.92
_40-64,"New York",36,1203,195,1398,0.8605150215
_40-64,"North Carolina",37,402,75,477,0.8427672956
_40-64,"North Dakota",38,.,.,.,0.8
_40-64,Ohio,39,304,59,363,0.8374655647
_40-64,Oklahoma,40,97,21,118,0.8220338983
_40-64,Oregon,41,85,12,97,0.8762886598
_40-64,Pennsylvania,42,309,49,358,0.8631284916
_40-64,"Rhode Island",44,.,.,.,0.96
_40-64,"South Carolina",45,234,57,291,0.8041237113
_40-64,"South Dakota",46,.,.,.,0.8333333333
_40-64,Tennessee,47,285,62,347,0.8213256484
_40-64,Texas,48,872,168,1040,0.8384615385
_40-64,Utah,49,.,.,.,0.8444444444
_40-64,Vermont,50,.,.,.,0.75
_40-64,Virginia,51,246,49,295,0.8338983051
_40-64,Washington,53,181,35,216,0.837962963
_40-64,"West Virginia",54,.,.,.,0.8421052632
_40-64,Wisconsin,55,76,16,92,0.8260869565
_40-64,Wyoming,56,.,0,.,1
_65-69,Alabama,1,.,.,.,0.8947368421
_65-69,Alaska,2,.,0,.,1
_65-69,Arizona,4,.,.,.,0.9473684211
_65-69,Arkansas,5,.,.,.,0.8333333333
_65-69,California,6,469,35,504,0.9305555556
_65-69,Colorado,8,.,.,.,0.9459459459
_65-69,Connecticut,9,.,.,.,0.875
_65-69,Delaware,10,.,.,.,0.75
_65-69,"District of Columbia",11,.,.,.,0.8461538462
_65-69,Florida,12,370,43,413,0.8958837772
_65-69,Georgia,13,129,23,152,0.8486842105
_65-69,Hawaii,15,.,0,.,1
_65-69,Idaho,16,.,0,.,1
_65-69,Illinois,17,95,19,114,0.8333333333
_65-69,Indiana,18,.,.,.,0.9024390244
_65-69,Iowa,19,13,0,13,1
_65-69,Kansas,20,11,0,11,1
_65-69,Kentucky,21,.,.,.,0.8666666667
_65-69,Louisiana,22,65,12,77,0.8441558442
_65-69,Maine,23,.,.,.,0.8823529412
_65-69,Maryland,24,110,22,132,0.8333333333
_65-69,Massachusetts,25,117,14,131,0.893129771
_65-69,Michigan,26,48,14,62,0.7741935484
_65-69,Minnesota,27,.,.,.,0.8888888889
_65-69,Mississippi,28,.,.,.,0.8928571429
_65-69,Missouri,29,.,.,.,0.925
_65-69,Montana,30,.,.,.,0.8571428571
_65-69,Nebraska,31,.,.,.,0.9
_65-69,Nevada,32,.,.,.,0.7857142857
_65-69,"New Hampshire",33,.,.,.,0.75
_65-69,"New Jersey",34,143,15,158,0.9050632911
_65-69,"New Mexico",35,17,0,17,1
_65-69,"New York",36,542,46,588,0.9217687075
_65-69,"North Carolina",37,.,.,.,0.900990099
_65-69,"North Dakota",38,.,0,.,1
_65-69,Ohio,39,.,.,.,0.9076923077
_65-69,Oklahoma,40,.,.,.,0.8571428571
_65-69,Oregon,41,.,.,.,0.8571428571
_65-69,Pennsylvania,42,99,13,112,0.8839285714
_65-69,"Rhode Island",44,.,0,.,1
_65-69,"South Carolina",45,.,.,.,0.8888888889
_65-69,"South Dakota",46,.,0,.,1
_65-69,Tennessee,47,.,.,.,0.9264705882
_65-69,Texas,48,189,29,218,0.8669724771
_65-69,Utah,49,.,.,.,0.8
_65-69,Vermont,50,.,.,.,0.6
_65-69,Virginia,51,.,.,.,0.8795180723
_65-69,Washington,53,.,.,.,0.9285714286
_65-69,"West Virginia",54,12,0,12,1
_65-69,Wisconsin,55,.,.,.,0.8965517241
_65-69,Wyoming,56,.,0,.,1
_70-74,Alabama,1,.,.,.,0.8620689655
_70-74,Arizona,4,.,.,.,0.875
_70-74,Arkansas,5,.,0,.,1
_70-74,California,6,289,24,313,0.9233226837
_70-74,Colorado,8,.,.,.,0.9523809524
_70-74,Connecticut,9,.,.,.,0.92
_70-74,Delaware,10,.,0,.,1
_70-74,"District of Columbia",11,.,.,.,0.9166666667
_70-74,Florida,12,219,33,252,0.869047619
_70-74,Georgia,13,.,.,.,0.8823529412
_70-74,Hawaii,15,.,0,.,1
_70-74,Idaho,16,.,0,.,1
_70-74,Illinois,17,51,12,63,0.8095238095
_70-74,Indiana,18,.,.,.,0.9473684211
_70-74,Iowa,19,11,0,11,1
_70-74,Kansas,20,.,.,.,0.8
_70-74,Kentucky,21,.,.,.,0.8571428571
_70-74,Louisiana,22,.,.,.,0.8529411765
_70-74,Maine,23,.,0,.,1
_70-74,Maryland,24,.,.,.,0.8793103448
_70-74,Massachusetts,25,.,.,.,0.9
_70-74,Michigan,26,.,.,.,0.8666666667
_70-74,Minnesota,27,16,0,16,1
_70-74,Mississippi,28,.,.,.,0.8823529412
_70-74,Missouri,29,.,.,.,0.9444444444
_70-74,Montana,30,.,0,.,1
_70-74,Nebraska,31,.,0,.,1
_70-74,Nevada,32,.,.,.,0.8333333333
_70-74,"New Jersey",34,92,13,105,0.8761904762
_70-74,"New Mexico",35,.,.,.,0.9166666667
_70-74,"New York",36,356,37,393,0.9058524173
_70-74,"North Carolina",37,.,.,.,0.9230769231
_70-74,"North Dakota",38,.,0,.,1
_70-74,Ohio,39,.,.,.,0.9024390244
_70-74,Oklahoma,40,.,.,.,0.8461538462
_70-74,Oregon,41,.,.,.,0.96
_70-74,Pennsylvania,42,.,.,.,0.9154929577
_70-74,"Rhode Island",44,.,0,.,1
_70-74,"South Carolina",45,.,.,.,0.8222222222
_70-74,"South Dakota",46,.,0,.,1
_70-74,Tennessee,47,.,.,.,0.9285714286
_70-74,Texas,48,.,.,.,0.9319727891
_70-74,Utah,49,.,0,.,1
_70-74,Vermont,50,.,0,.,1
_70-74,Virginia,51,47,11,58,0.8103448276
_70-74,Washington,53,33,0,33,1
_70-74,"West Virginia",54,.,.,.,0.75
_70-74,Wisconsin,55,.,.,.,0.8947368421
_75-79,Alabama,1,.,.,.,0.7857142857
_75-79,Arizona,4,.,.,.,0.8125
_75-79,Arkansas,5,.,0,.,1
_75-79,California,6,.,.,.,0.9347826087
_75-79,Colorado,8,.,0,.,1
_75-79,Connecticut,9,19,0,19,1
_75-79,Delaware,10,.,0,.,1
_75-79,"District of Columbia",11,.,.,.,0.8
_75-79,Florida,12,108,11,119,0.9075630252
_75-79,Georgia,13,.,.,.,0.9375
_75-79,Hawaii,15,.,0,.,1
_75-79,Idaho,16,.,0,.,1
_75-79,Illinois,17,.,.,.,0.9166666667
_75-79,Indiana,18,.,0,.,1
_75-79,Iowa,19,.,.,.,0.75
