LIS,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
No,Alabama,1,42,21,63,0.6666666667
No,Alaska,2,.,0,.,1
No,Arizona,4,53,19,72,0.7361111111
No,Arkansas,5,.,.,.,0.625
No,California,6,687,108,795,0.8641509434
No,Colorado,8,.,.,.,0.8507462687
No,Connecticut,9,26,12,38,0.6842105263
No,Delaware,10,.,.,.,0.6818181818
No,"District of Columbia",11,.,.,.,0.6923076923
No,Florida,12,382,89,471,0.8110403397
No,Georgia,13,162,72,234,0.6923076923
No,Hawaii,15,.,.,.,0.8260869565
No,Idaho,16,.,.,.,0.9
No,Illinois,17,137,61,198,0.6919191919
No,Indiana,18,60,15,75,0.8
No,Iowa,19,.,.,.,0.9285714286
No,Kansas,20,.,.,.,0.72
No,Kentucky,21,48,13,61,0.7868852459
No,Louisiana,22,71,31,102,0.6960784314
No,Maine,23,.,.,.,0.8571428571
No,Maryland,24,131,44,175,0.7485714286
No,Massachusetts,25,91,12,103,0.8834951456
No,Michigan,26,68,32,100,0.68
No,Minnesota,27,.,.,.,0.8928571429
No,Mississippi,28,34,14,48,0.7083333333
No,Missouri,29,45,18,63,0.7142857143
No,Montana,30,.,.,.,0.5
No,Nebraska,31,.,.,.,0.8636363636
No,Nevada,32,.,.,.,0.7894736842
No,"New Hampshire",33,.,.,.,0.8125
No,"New Jersey",34,211,51,262,0.8053435115
No,"New Mexico",35,.,.,.,0.84
No,"New York",36,469,119,588,0.7976190476
No,"North Carolina",37,124,33,157,0.7898089172
No,"North Dakota",38,.,0,.,1
No,Ohio,39,86,35,121,0.7107438017
No,Oklahoma,40,34,14,48,0.7083333333
No,Oregon,41,.,.,.,0.8421052632
No,Pennsylvania,42,121,35,156,0.7756410256
No,"Rhode Island",44,.,.,.,0.9090909091
No,"South Carolina",45,61,20,81,0.7530864198
No,"South Dakota",46,.,0,.,1
No,Tennessee,47,95,29,124,0.7661290323
No,Texas,48,350,110,460,0.7608695652
No,Utah,49,.,.,.,0.7272727273
No,Vermont,50,.,.,.,0.75
No,Virginia,51,107,27,134,0.7985074627
No,Washington,53,80,19,99,0.8080808081
No,"West Virginia",54,.,.,.,0.7368421053
No,Wisconsin,55,.,.,.,0.7777777778
No,Wyoming,56,.,.,.,0.5
Yes,Alabama,1,204,111,315,0.6476190476
Yes,Alaska,2,.,.,.,0.5
Yes,Arizona,4,104,48,152,0.6842105263
Yes,Arkansas,5,69,33,102,0.6764705882
Yes,California,6,1276,398,1674,0.7622461171
Yes,Colorado,8,111,37,148,0.75
Yes,Connecticut,9,224,69,293,0.7645051195
Yes,Delaware,10,40,16,56,0.7142857143
Yes,"District of Columbia",11,128,86,214,0.5981308411
Yes,Florida,12,1513,526,2039,0.7420304071
Yes,Georgia,13,527,350,877,0.6009122007
Yes,Hawaii,15,25,12,37,0.6756756757
Yes,Idaho,16,.,.,.,0.7
Yes,Illinois,17,347,174,521,0.6660268714
Yes,Indiana,18,169,52,221,0.7647058824
Yes,Iowa,19,50,18,68,0.7352941176
Yes,Kansas,20,35,13,48,0.7291666667
Yes,Kentucky,21,73,42,115,0.6347826087
Yes,Louisiana,22,289,183,472,0.6122881356
Yes,Maine,23,.,.,.,0.8245614035
Yes,Maryland,24,305,181,486,0.6275720165
Yes,Massachusetts,25,400,102,502,0.796812749
Yes,Michigan,26,189,74,263,0.7186311787
Yes,Minnesota,27,92,32,124,0.7419354839
Yes,Mississippi,28,126,89,215,0.5860465116
Yes,Missouri,29,201,76,277,0.725631769
Yes,Montana,30,.,.,.,0.7647058824
Yes,Nebraska,31,20,13,33,0.6060606061
Yes,Nevada,32,59,26,85,0.6941176471
Yes,"New Hampshire",33,.,.,.,0.7
Yes,"New Jersey",34,420,145,565,0.7433628319
Yes,"New Mexico",35,.,.,.,0.84375
Yes,"New York",36,1691,498,2189,0.7724988579
Yes,"North Carolina",37,397,162,559,0.71019678
Yes,"North Dakota",38,.,.,.,0.8333333333
Yes,Ohio,39,278,112,390,0.7128205128
Yes,Oklahoma,40,81,33,114,0.7105263158
Yes,Oregon,41,86,23,109,0.7889908257
Yes,Pennsylvania,42,332,126,458,0.7248908297
Yes,"Rhode Island",44,.,.,.,0.8461538462
Yes,"South Carolina",45,244,124,368,0.6630434783
Yes,"South Dakota",46,.,.,.,0.7857142857
Yes,Tennessee,47,246,117,363,0.6776859504
Yes,Texas,48,758,357,1115,0.6798206278
Yes,Utah,49,35,12,47,0.7446808511
Yes,Vermont,50,.,.,.,0.6315789474
Yes,Virginia,51,245,109,354,0.6920903955
Yes,Washington,53,178,63,241,0.7385892116
Yes,"West Virginia",54,40,19,59,0.6779661017
Yes,Wisconsin,55,79,30,109,0.7247706422
Yes,Wyoming,56,.,0,.,1
