RACE_NAME,ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,Arizona,4,"Maricopa County",4013,.,0,.,1
Unknown,Aged,California,6,"Alameda County",6001,0,.,.,0
Unknown,Aged,California,6,"Butte County",6007,.,0,.,1
Unknown,Aged,California,6,"Contra Costa County",6013,.,0,.,1
Unknown,Aged,California,6,"Humboldt County",6023,.,0,.,1
Unknown,Aged,California,6,"Los Angeles County",6037,.,.,.,0.8181818182
Unknown,Aged,California,6,"Orange County",6059,.,0,.,1
Unknown,Aged,California,6,"Riverside County",6065,.,0,.,1
Unknown,Aged,California,6,"San Francisco County",6075,.,0,.,1
Unknown,Aged,California,6,"Santa Clara County",6085,.,0,.,1
Unknown,Aged,California,6,"Santa Cruz County",6087,.,0,.,1
Unknown,Aged,California,6,"Ventura County",6111,.,0,.,1
Unknown,Aged,Colorado,8,"Larimer County",8069,.,0,.,1
Unknown,Aged,Connecticut,9,"Hartford County",9003,.,0,.,1
Unknown,Aged,"District of Columbia",11,"District of Columbia",11001,0,.,.,0
Unknown,Aged,Florida,12,"Broward County",12011,.,0,.,1
Unknown,Aged,Florida,12,"Collier County",12021,.,0,.,1
Unknown,Aged,Florida,12,"Lee County",12071,.,0,.,1
Unknown,Aged,Florida,12,,12086,.,0,.,1
Unknown,Aged,Florida,12,"Pinellas County",12103,.,0,.,1
Unknown,Aged,Florida,12,"Volusia County",12127,.,0,.,1
Unknown,Aged,Georgia,13,"Gwinnett County",13135,.,0,.,1
Unknown,Aged,Illinois,17,"Cook County",17031,.,.,.,0.75
Unknown,Aged,Indiana,18,"Henry County",18065,.,0,.,1
Unknown,Aged,Indiana,18,"Tippecanoe County",18157,.,0,.,1
Unknown,Aged,Kentucky,21,"Fayette County",21067,.,0,.,1
Unknown,Aged,Kentucky,21,"Jefferson County",21111,.,0,.,1
Unknown,Aged,Louisiana,22,"Orleans Parish",22071,.,0,.,1
Unknown,Aged,Louisiana,22,"Ouachita Parish",22073,.,0,.,1
Unknown,Aged,Maryland,24,"Frederick County",24021,.,0,.,1
Unknown,Aged,Massachusetts,25,"Barnstable County",25001,.,0,.,1
Unknown,Aged,Massachusetts,25,"Bristol County",25005,0,.,.,0
Unknown,Aged,Massachusetts,25,"Middlesex County",25017,.,0,.,1
Unknown,Aged,Massachusetts,25,"Plymouth County",25023,.,0,.,1
Unknown,Aged,Massachusetts,25,"Suffolk County",25025,.,0,.,1
Unknown,Aged,Massachusetts,25,"Worcester County",25027,.,0,.,1
Unknown,Aged,Michigan,26,"Kent County",26081,0,.,.,0
Unknown,Aged,Michigan,26,"Washtenaw County",26161,.,0,.,1
Unknown,Aged,Minnesota,27,"Hennepin County",27053,.,0,.,1
Unknown,Aged,Missouri,29,"St. Charles County",29183,.,0,.,1
Unknown,Aged,Nevada,32,"Clark County",32003,.,0,.,1
Unknown,Aged,Nevada,32,"Esmeralda County",32009,.,0,.,1
Unknown,Aged,"New York",36,"Bronx County",36005,.,0,.,1
Unknown,Aged,"New York",36,"Kings County",36047,.,.,.,0.6
Unknown,Aged,"New York",36,"Monroe County",36055,.,.,.,0.6666666667
Unknown,Aged,"New York",36,"New York County",36061,.,.,.,0.7777777778
Unknown,Aged,"New York",36,"Onondaga County",36067,.,0,.,1
Unknown,Aged,"New York",36,"Queens County",36081,.,.,.,0.75
Unknown,Aged,"New York",36,"Rockland County",36087,.,0,.,1
Unknown,Aged,"New York",36,"Suffolk County",36103,.,0,.,1
Unknown,Aged,"New York",36,"Westchester County",36119,.,0,.,1
Unknown,Aged,"North Carolina",37,"Lincoln County",37109,.,0,.,1
Unknown,Aged,Ohio,39,"Cuyahoga County",39035,.,0,.,1
Unknown,Aged,Ohio,39,"Summit County",39153,.,0,.,1
Unknown,Aged,Oregon,41,"Clatsop County",41007,.,0,.,1
Unknown,Aged,Oregon,41,"Multnomah County",41051,.,0,.,1
Unknown,Aged,Oregon,41,"Yamhill County",41071,0,.,.,0
Unknown,Aged,Pennsylvania,42,"Bucks County",42017,.,0,.,1
Unknown,Aged,Pennsylvania,42,"Chester County",42029,.,0,.,1
Unknown,Aged,Pennsylvania,42,"Dauphin County",42043,.,0,.,1
Unknown,Aged,Pennsylvania,42,"Monroe County",42089,0,.,.,0
Unknown,Aged,Pennsylvania,42,"Montgomery County",42091,.,0,.,1
Unknown,Aged,Pennsylvania,42,"Philadelphia County",42101,.,0,.,1
Unknown,Aged,Texas,48,"Austin County",48015,.,0,.,1
Unknown,Aged,Texas,48,"Colorado County",48089,.,0,.,1
Unknown,Aged,Texas,48,"Dallas County",48113,.,.,.,0.6666666667
Unknown,Aged,Texas,48,"Hood County",48221,.,0,.,1
Unknown,Aged,Utah,49,"Salt Lake County",49035,.,0,.,1
Unknown,Aged,Vermont,50,"Chittenden County",50007,.,0,.,1
