RACE_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,.,.,.,0.5
Unknown,Arizona,4,.,0,.,1
Unknown,California,6,.,.,.,0.9090909091
Unknown,Colorado,8,.,0,.,1
Unknown,Connecticut,9,.,0,.,1
Unknown,"District of Columbia",11,.,0,.,1
Unknown,Florida,12,.,.,.,0.8888888889
Unknown,Georgia,13,.,.,.,0.6
Unknown,Hawaii,15,.,0,.,1
Unknown,Illinois,17,.,0,.,1
Unknown,Indiana,18,.,0,.,1
Unknown,Iowa,19,.,0,.,1
Unknown,Kentucky,21,.,0,.,1
Unknown,Louisiana,22,.,.,.,0.8
Unknown,Maryland,24,.,0,.,1
Unknown,Massachusetts,25,.,.,.,0.9444444444
Unknown,Michigan,26,.,.,.,0.8
Unknown,Minnesota,27,.,0,.,1
Unknown,Missouri,29,.,.,.,0.6
Unknown,Nevada,32,.,0,.,1
Unknown,"New Jersey",34,.,0,.,1
Unknown,"New York",36,.,.,.,0.9090909091
Unknown,"North Carolina",37,.,.,.,0.4285714286
Unknown,"North Dakota",38,0,.,.,0
Unknown,Ohio,39,.,0,.,1
Unknown,Oregon,41,.,.,.,0.6666666667
Unknown,Pennsylvania,42,.,0,.,1
Unknown,"Rhode Island",44,.,0,.,1
Unknown,"South Carolina",45,.,0,.,1
Unknown,Tennessee,47,.,0,.,1
Unknown,Texas,48,.,.,.,0.9230769231
Unknown,Utah,49,.,0,.,1
Unknown,Vermont,50,.,0,.,1
Unknown,Virginia,51,.,0,.,1
Unknown,Washington,53,.,0,.,1
"Non-Hispanic White",Alabama,1,99,17,116,0.8534482759
"Non-Hispanic White",Alaska,2,.,0,.,1
"Non-Hispanic White",Arizona,4,124,20,144,0.8611111111
"Non-Hispanic White",Arkansas,5,.,.,.,0.8615384615
"Non-Hispanic White",California,6,1233,112,1345,0.9167286245
"Non-Hispanic White",Colorado,8,137,11,148,0.9256756757
"Non-Hispanic White",Connecticut,9,.,.,.,0.9345794393
"Non-Hispanic White",Delaware,10,.,.,.,0.84375
"Non-Hispanic White","District of Columbia",11,.,.,.,0.8076923077
"Non-Hispanic White",Florida,12,775,65,840,0.9226190476
