LIS,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
No,Alabama,1,185,52,237,0.7805907173
No,Alaska,2,.,.,.,0.8727272727
No,Arizona,4,268,62,330,0.8121212121
No,Arkansas,5,171,62,233,0.7339055794
No,California,6,650,186,836,0.7775119617
No,Colorado,8,106,25,131,0.8091603053
No,Connecticut,9,102,12,114,0.8947368421
No,Delaware,10,84,17,101,0.8316831683
No,"District of Columbia",11,.,.,.,0.8
No,Florida,12,751,192,943,0.7963944857
No,Georgia,13,312,94,406,0.7684729064
No,Hawaii,15,.,.,.,0.7894736842
No,Idaho,16,64,14,78,0.8205128205
No,Illinois,17,638,107,745,0.8563758389
No,Indiana,18,376,57,433,0.8683602771
No,Iowa,19,284,45,329,0.8632218845
No,Kansas,20,170,24,194,0.8762886598
No,Kentucky,21,186,43,229,0.8122270742
No,Louisiana,22,152,43,195,0.7794871795
No,Maine,23,.,.,.,0.8611111111
No,Maryland,24,225,33,258,0.8720930233
No,Massachusetts,25,346,63,409,0.8459657702
No,Michigan,26,361,75,436,0.8279816514
No,Minnesota,27,223,33,256,0.87109375
No,Mississippi,28,129,45,174,0.7413793103
No,Missouri,29,265,52,317,0.8359621451
No,Montana,30,.,.,.,0.9210526316
No,Nebraska,31,140,18,158,0.8860759494
No,Nevada,32,83,20,103,0.8058252427
No,"New Hampshire",33,110,16,126,0.873015873
No,"New Jersey",34,381,79,460,0.8282608696
No,"New Mexico",35,.,.,.,0.8717948718
No,"New York",36,608,116,724,0.8397790055
No,"North Carolina",37,421,89,510,0.8254901961
No,"North Dakota",38,.,.,.,0.8431372549
No,Ohio,39,570,117,687,0.8296943231
No,Oklahoma,40,196,51,247,0.7935222672
No,Oregon,41,144,26,170,0.8470588235
No,Pennsylvania,42,627,96,723,0.867219917
No,"Rhode Island",44,.,.,.,0.8292682927
No,"South Carolina",45,283,79,362,0.7817679558
No,"South Dakota",46,.,.,.,0.9431818182
No,Tennessee,47,312,72,384,0.8125
No,Texas,48,798,172,970,0.8226804124
No,Utah,49,99,26,125,0.792
No,Vermont,50,.,.,.,0.8888888889
No,Virginia,51,389,78,467,0.8329764454
No,Washington,53,230,39,269,0.8550185874
No,"West Virginia",54,94,23,117,0.8034188034
No,Wisconsin,55,220,17,237,0.9282700422
No,Wyoming,56,.,.,.,0.8113207547
Yes,Alabama,1,74,21,95,0.7789473684
Yes,Alaska,2,.,.,.,0.6666666667
Yes,Arizona,4,49,25,74,0.6621621622
Yes,Arkansas,5,64,20,84,0.7619047619
Yes,California,6,422,126,548,0.7700729927
Yes,Colorado,8,30,14,44,0.6818181818
Yes,Connecticut,9,.,.,.,0.8983050847
Yes,Delaware,10,.,.,.,0.7692307692
Yes,"District of Columbia",11,.,.,.,0.7
Yes,Florida,12,163,68,231,0.7056277056
Yes,Georgia,13,99,37,136,0.7279411765
Yes,Hawaii,15,.,.,.,0.7857142857
Yes,Idaho,16,.,.,.,0.7272727273
Yes,Illinois,17,154,36,190,0.8105263158
Yes,Indiana,18,76,23,99,0.7676767677
Yes,Iowa,19,.,.,.,0.8
Yes,Kansas,20,.,.,.,0.8947368421
Yes,Kentucky,21,78,20,98,0.7959183673
Yes,Louisiana,22,76,24,100,0.76
Yes,Maine,23,.,.,.,0.8
Yes,Maryland,24,69,27,96,0.71875
Yes,Massachusetts,25,100,19,119,0.8403361345
Yes,Michigan,26,116,29,145,0.8
Yes,Minnesota,27,31,11,42,0.7380952381
Yes,Mississippi,28,71,30,101,0.702970297
Yes,Missouri,29,51,11,62,0.8225806452
Yes,Montana,30,.,.,.,0.7058823529
Yes,Nebraska,31,.,.,.,0.8571428571
Yes,Nevada,32,.,.,.,0.7297297297
Yes,"New Hampshire",33,.,.,.,0.8571428571
Yes,"New Jersey",34,66,20,86,0.7674418605
Yes,"New Mexico",35,36,15,51,0.7058823529
Yes,"New York",36,194,42,236,0.8220338983
Yes,"North Carolina",37,120,45,165,0.7272727273
Yes,"North Dakota",38,.,.,.,0.8333333333
Yes,Ohio,39,92,39,131,0.7022900763
Yes,Oklahoma,40,54,18,72,0.75
Yes,Oregon,41,33,12,45,0.7333333333
Yes,Pennsylvania,42,112,30,142,0.7887323944
Yes,"Rhode Island",44,.,.,.,0.6666666667
Yes,"South Carolina",45,54,22,76,0.7105263158
Yes,"South Dakota",46,.,.,.,0.7272727273
Yes,Tennessee,47,80,23,103,0.7766990291
Yes,Texas,48,215,106,321,0.6697819315
Yes,Utah,49,.,.,.,0.7368421053
Yes,Vermont,50,.,.,.,0.7857142857
Yes,Virginia,51,86,22,108,0.7962962963
Yes,Washington,53,66,17,83,0.7951807229
Yes,"West Virginia",54,34,16,50,0.68
Yes,Wisconsin,55,36,22,58,0.6206896552
Yes,Wyoming,56,.,.,.,0.7777777778
