RACE_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,.,0,.,1
Unknown,Alaska,2,.,0,.,1
Unknown,Arizona,4,.,0,.,1
Unknown,Arkansas,5,.,0,.,1
Unknown,California,6,.,.,.,0.8
Unknown,Colorado,8,.,0,.,1
Unknown,Connecticut,9,.,0,.,1
Unknown,"District of Columbia",11,0,.,.,0
Unknown,Florida,12,.,.,.,0.8421052632
Unknown,Georgia,13,.,.,.,0.7142857143
Unknown,Idaho,16,.,0,.,1
Unknown,Illinois,17,.,.,.,0.7894736842
Unknown,Indiana,18,.,.,.,0.9230769231
Unknown,Iowa,19,.,0,.,1
Unknown,Kansas,20,.,0,.,1
Unknown,Kentucky,21,.,0,.,1
Unknown,Louisiana,22,.,0,.,1
Unknown,Maine,23,.,0,.,1
Unknown,Maryland,24,.,0,.,1
Unknown,Massachusetts,25,.,.,.,0.8
Unknown,Michigan,26,.,.,.,0.75
Unknown,Minnesota,27,.,.,.,0.8
Unknown,Mississippi,28,.,.,.,0.6666666667
Unknown,Missouri,29,.,0,.,1
Unknown,Nebraska,31,.,0,.,1
Unknown,Nevada,32,.,.,.,0.3333333333
Unknown,"New Hampshire",33,.,0,.,1
Unknown,"New Jersey",34,.,.,.,0.9166666667
Unknown,"New Mexico",35,.,.,.,0.3333333333
Unknown,"New York",36,.,.,.,0.88
Unknown,"North Carolina",37,.,.,.,0.7692307692
Unknown,"North Dakota",38,.,0,.,1
Unknown,Ohio,39,.,.,.,0.8709677419
Unknown,Oklahoma,40,.,0,.,1
Unknown,Oregon,41,.,0,.,1
Unknown,Pennsylvania,42,.,.,.,0.7894736842
Unknown,"South Carolina",45,.,.,.,0.8333333333
Unknown,"South Dakota",46,.,0,.,1
Unknown,Tennessee,47,.,.,.,0.75
Unknown,Texas,48,.,.,.,0.9411764706
Unknown,Vermont,50,.,0,.,1
Unknown,Virginia,51,.,.,.,0.8
Unknown,Washington,53,12,0,12,1
Unknown,"West Virginia",54,.,0,.,1
Unknown,Wisconsin,55,.,.,.,0.8333333333
"Non-Hispanic White",Alabama,1,218,60,278,0.7841726619
"Non-Hispanic White",Alaska,2,.,.,.,0.8653846154
"Non-Hispanic White",Arizona,4,263,69,332,0.7921686747
"Non-Hispanic White",Arkansas,5,199,71,270,0.737037037
"Non-Hispanic White",California,6,633,180,813,0.778597786
"Non-Hispanic White",Colorado,8,119,30,149,0.7986577181
"Non-Hispanic White",Connecticut,9,126,13,139,0.9064748201
"Non-Hispanic White",Delaware,10,81,15,96,0.84375
"Non-Hispanic White","District of Columbia",11,.,0,.,1
"Non-Hispanic White",Florida,12,734,195,929,0.7900968784
"Non-Hispanic White",Georgia,13,333,93,426,0.7816901408
"Non-Hispanic White",Hawaii,15,.,.,.,0.7692307692
"Non-Hispanic White",Idaho,16,69,15,84,0.8214285714
"Non-Hispanic White",Illinois,17,654,105,759,0.8616600791
"Non-Hispanic White",Indiana,18,406,73,479,0.8475991649
"Non-Hispanic White",Iowa,19,298,50,348,0.8563218391
"Non-Hispanic White",Kansas,20,168,24,192,0.875
"Non-Hispanic White",Kentucky,21,256,58,314,0.8152866242
"Non-Hispanic White",Louisiana,22,169,44,213,0.79342723
"Non-Hispanic White",Maine,23,93,18,111,0.8378378378
"Non-Hispanic White",Maryland,24,199,28,227,0.8766519824
"Non-Hispanic White",Massachusetts,25,391,66,457,0.8555798687
"Non-Hispanic White",Michigan,26,412,78,490,0.8408163265
"Non-Hispanic White",Minnesota,27,231,36,267,0.8651685393
"Non-Hispanic White",Mississippi,28,149,43,192,0.7760416667
"Non-Hispanic White",Missouri,29,293,62,355,0.8253521127
"Non-Hispanic White",Montana,30,81,11,92,0.8804347826
"Non-Hispanic White",Nebraska,31,150,20,170,0.8823529412
"Non-Hispanic White",Nevada,32,82,18,100,0.82
"Non-Hispanic White","New Hampshire",33,123,17,140,0.8785714286
"Non-Hispanic White","New Jersey",34,361,75,436,0.8279816514
"Non-Hispanic White","New Mexico",35,60,11,71,0.8450704225
"Non-Hispanic White","New York",36,633,112,745,0.8496644295
"Non-Hispanic White","North Carolina",37,441,91,532,0.8289473684
"Non-Hispanic White","North Dakota",38,.,.,.,0.8490566038
"Non-Hispanic White",Ohio,39,597,138,735,0.812244898
"Non-Hispanic White",Oklahoma,40,215,53,268,0.802238806
"Non-Hispanic White",Oregon,41,159,33,192,0.828125
"Non-Hispanic White",Pennsylvania,42,664,107,771,0.8612191958
"Non-Hispanic White","Rhode Island",44,.,.,.,0.82
"Non-Hispanic White","South Carolina",45,270,82,352,0.7670454545
"Non-Hispanic White","South Dakota",46,.,.,.,0.9306930693
"Non-Hispanic White",Tennessee,47,354,74,428,0.8271028037
"Non-Hispanic White",Texas,48,731,159,890,0.8213483146
