AGE_GROUP,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,"Autauga County",1001,.,.,.,0.75
_18-39,Alabama,1,"Baldwin County",1003,28,13,41,0.6829268293
_18-39,Alabama,1,"Barbour County",1005,.,.,.,0.5555555556
_18-39,Alabama,1,"Bibb County",1007,.,.,.,0.6
_18-39,Alabama,1,"Blount County",1009,.,.,.,0.6666666667
_18-39,Alabama,1,"Bullock County",1011,.,.,.,0.25
_18-39,Alabama,1,"Butler County",1013,.,.,.,0.5833333333
_18-39,Alabama,1,"Calhoun County",1015,32,17,49,0.6530612245
_18-39,Alabama,1,"Chambers County",1017,.,.,.,0.7333333333
_18-39,Alabama,1,"Cherokee County",1019,.,.,.,0.7142857143
_18-39,Alabama,1,"Chilton County",1021,.,.,.,0.3333333333
_18-39,Alabama,1,"Choctaw County",1023,.,.,.,0.6666666667
_18-39,Alabama,1,"Clarke County",1025,.,.,.,0.5
_18-39,Alabama,1,"Clay County",1027,.,.,.,0.8571428571
_18-39,Alabama,1,"Cleburne County",1029,.,.,.,0.5
_18-39,Alabama,1,"Coffee County",1031,.,.,.,0.6111111111
_18-39,Alabama,1,"Colbert County",1033,.,.,.,0.75
_18-39,Alabama,1,"Conecuh County",1035,.,.,.,0.5714285714
_18-39,Alabama,1,"Coosa County",1037,.,.,.,0.5714285714
_18-39,Alabama,1,"Covington County",1039,15,13,28,0.5357142857
_18-39,Alabama,1,"Crenshaw County",1041,.,.,.,0.25
_18-39,Alabama,1,"Cullman County",1043,.,.,.,0.6363636364
_18-39,Alabama,1,"Dale County",1045,.,.,.,0.7083333333
_18-39,Alabama,1,"Dallas County",1047,14,17,31,0.4516129032
_18-39,Alabama,1,"DeKalb County",1049,.,.,.,0.7368421053
_18-39,Alabama,1,"Elmore County",1051,.,.,.,0.6666666667
_18-39,Alabama,1,"Escambia County",1053,.,.,.,0.5333333333
_18-39,Alabama,1,"Etowah County",1055,44,18,62,0.7096774194
_18-39,Alabama,1,"Fayette County",1057,.,.,.,0.6153846154
_18-39,Alabama,1,"Franklin County",1059,.,0,.,1
_18-39,Alabama,1,"Geneva County",1061,.,.,.,0.5384615385
_18-39,Alabama,1,"Greene County",1063,.,.,.,0.25
_18-39,Alabama,1,"Hale County",1065,.,.,.,0.5
_18-39,Alabama,1,"Henry County",1067,.,.,.,0.5714285714
_18-39,Alabama,1,"Houston County",1069,31,21,52,0.5961538462
_18-39,Alabama,1,"Jackson County",1071,.,.,.,0.5
_18-39,Alabama,1,"Jefferson County",1073,123,75,198,0.6212121212
