STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Alabama,1,"Autauga County",1001,1148,241,1389,0.8264938805
Alabama,1,"Baldwin County",1003,5471,984,6455,0.847560031
Alabama,1,"Barbour County",1005,854,252,1106,0.7721518987
Alabama,1,"Bibb County",1007,531,171,702,0.7564102564
Alabama,1,"Blount County",1009,1648,326,1974,0.8348530902
Alabama,1,"Bullock County",1011,342,98,440,0.7772727273
Alabama,1,"Butler County",1013,870,228,1098,0.7923497268
Alabama,1,"Calhoun County",1015,3486,783,4269,0.8165846803
Alabama,1,"Chambers County",1017,1349,351,1700,0.7935294118
Alabama,1,"Cherokee County",1019,1156,267,1423,0.8123682361
Alabama,1,"Chilton County",1021,1073,255,1328,0.8079819277
Alabama,1,"Choctaw County",1023,807,155,962,0.8388773389
Alabama,1,"Clarke County",1025,1021,260,1281,0.7970335675
Alabama,1,"Clay County",1027,628,134,762,0.8241469816
Alabama,1,"Cleburne County",1029,540,120,660,0.8181818182
Alabama,1,"Coffee County",1031,1219,309,1528,0.7977748691
Alabama,1,"Colbert County",1033,2234,567,2801,0.7975722956
Alabama,1,"Conecuh County",1035,604,168,772,0.7823834197
Alabama,1,"Coosa County",1037,486,163,649,0.748844376
Alabama,1,"Covington County",1039,1584,466,2050,0.7726829268
Alabama,1,"Crenshaw County",1041,503,120,623,0.8073836276
Alabama,1,"Cullman County",1043,3269,541,3810,0.8580052493
Alabama,1,"Dale County",1045,1202,297,1499,0.8018679119
Alabama,1,"Dallas County",1047,1547,545,2092,0.7394837476
Alabama,1,"DeKalb County",1049,2475,546,3021,0.819265144
Alabama,1,"Elmore County",1051,1751,412,2163,0.8095238095
Alabama,1,"Escambia County",1053,1412,368,1780,0.793258427
Alabama,1,"Etowah County",1055,4077,946,5023,0.8116663349
Alabama,1,"Fayette County",1057,741,194,935,0.792513369
