ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Aged,Alabama,1,114894,28345,143239,0.8021139494
Aged,Alaska,2,11171,2606,13777,0.8108441606
Aged,Arizona,4,116192,27662,143854,0.8077078149
Aged,Arkansas,5,78848,21215,100063,0.7879835704
Aged,California,6,498066,123826,621892,0.8008882571
Aged,Colorado,8,61987,14801,76788,0.8072485284
Aged,Connecticut,9,89889,16356,106245,0.8460539319
Aged,Delaware,10,34610,6596,41206,0.8399262243
Aged,"District of Columbia",11,6509,2087,8596,0.757212657
Aged,Florida,12,456356,107841,564197,0.8088593169
Aged,Georgia,13,175436,47121,222557,0.7882744645
Aged,Hawaii,15,16430,3465,19895,0.8258356371
Aged,Idaho,16,28049,6391,34440,0.8144308943
Aged,Illinois,17,345007,69585,414592,0.8321602925
Aged,Indiana,18,185783,36731,222514,0.8349272405
Aged,Iowa,19,107471,16088,123559,0.8697949967
Aged,Kansas,20,74153,14938,89091,0.8323287425
Aged,Kentucky,21,125639,30354,155993,0.8054143455
Aged,Louisiana,22,97347,27975,125322,0.7767750275
Aged,Maine,23,39552,6323,45875,0.8621689373
Aged,Maryland,24,129060,28121,157181,0.8210916078
Aged,Massachusetts,25,186937,32074,219011,0.8535507349
Aged,Michigan,26,255826,53603,309429,0.8267680146
Aged,Minnesota,27,105198,15805,121003,0.8693834037
Aged,Mississippi,28,80869,23881,104750,0.7720190931
Aged,Missouri,29,149934,31627,181561,0.8258051013
Aged,Montana,30,25237,5028,30265,0.8338675037
Aged,Nebraska,31,58108,10305,68413,0.8493707336
Aged,Nevada,32,41261,11208,52469,0.786388153
Aged,"New Hampshire",33,41535,6855,48390,0.8583384997
Aged,"New Jersey",34,240036,51675,291711,0.8228554974
Aged,"New Mexico",35,29069,8121,37190,0.7816348481
Aged,"New York",36,399260,88113,487373,0.8192082861
Aged,"North Carolina",37,236096,55773,291869,0.808910847
Aged,"North Dakota",38,22743,3149,25892,0.8783794222
Aged,Ohio,39,287681,59353,347034,0.8289706484
Aged,Oklahoma,40,90082,24278,114360,0.7877054914
Aged,Oregon,41,65318,14247,79565,0.820938855
Aged,Pennsylvania,42,299008,55095,354103,0.8444096774
Aged,"Rhode Island",44,22846,4020,26866,0.8503684955
Aged,"South Carolina",45,128359,31808,160167,0.8014072812
Aged,"South Dakota",46,27116,4401,31517,0.860361075
Aged,Tennessee,47,152299,36093,188392,0.8084154317
Aged,Texas,48,443780,124252,568032,0.7812588023
Aged,Utah,49,26697,6940,33637,0.793679579
Aged,Vermont,50,20204,3376,23580,0.8568278202
Aged,Virginia,51,174578,38347,212925,0.819903722
Aged,Washington,53,115483,24995,140478,0.8220717835
Aged,"West Virginia",54,55111,11899,67010,0.8224294881
Aged,Wisconsin,55,132161,19819,151980,0.8695946835
Aged,Wyoming,56,13042,2872,15914,0.8195299736
Disabled,Alabama,1,19325,8852,28177,0.6858430635
Disabled,Alaska,2,1003,407,1410,0.7113475177
Disabled,Arizona,4,8266,4213,12479,0.6623928199
Disabled,Arkansas,5,13664,6539,20203,0.6763351977
Disabled,California,6,51564,21074,72638,0.7098763732
Disabled,Colorado,8,6457,2694,9151,0.7056059447
Disabled,Connecticut,9,8347,2701,11048,0.7555213613
Disabled,Delaware,10,2834,1098,3932,0.7207527976
Disabled,"District of Columbia",11,1096,690,1786,0.6136618141
Disabled,Florida,12,40889,16338,57227,0.7145053908
Disabled,Georgia,13,25304,12400,37704,0.6711224273
Disabled,Hawaii,15,1348,579,1927,0.6995329528
Disabled,Idaho,16,3331,1259,4590,0.725708061
Disabled,Illinois,17,30915,11389,42304,0.7307819592
Disabled,Indiana,18,22790,8063,30853,0.7386639873
Disabled,Iowa,19,8959,2707,11666,0.767958169
Disabled,Kansas,20,7599,2659,10258,0.7407876779
Disabled,Kentucky,21,23809,10105,33914,0.7020404553
Disabled,Louisiana,22,16185,8072,24257,0.6672300779
Disabled,Maine,23,6451,1762,8213,0.7854620723
Disabled,Maryland,24,12889,5359,18248,0.7063239807
Disabled,Massachusetts,25,21322,6734,28056,0.7599800399
Disabled,Michigan,26,34332,12791,47123,0.7285614244
Disabled,Minnesota,27,12679,3909,16588,0.7643477212
Disabled,Mississippi,28,14847,7689,22536,0.6588125666
Disabled,Missouri,29,22918,8609,31527,0.7269324706
Disabled,Montana,30,2215,846,3061,0.7236197321
Disabled,Nebraska,31,4253,1482,5735,0.741586748
Disabled,Nevada,32,3812,2153,5965,0.6390611903
Disabled,"New Hampshire",33,4018,1310,5328,0.7541291291
Disabled,"New Jersey",34,17985,6380,24365,0.7381489842
Disabled,"New Mexico",35,4063,1969,6032,0.6735742706
Disabled,"New York",36,40693,14617,55310,0.7357259085
Disabled,"North Carolina",37,31345,13148,44493,0.7044928416
Disabled,"North Dakota",38,1452,468,1920,0.75625
Disabled,Ohio,39,36556,13716,50272,0.7271642266
Disabled,Oklahoma,40,12204,6017,18221,0.6697766314
Disabled,Oregon,41,8063,3287,11350,0.7103964758
Disabled,Pennsylvania,42,34180,11749,45929,0.7441921226
Disabled,"Rhode Island",44,2954,914,3868,0.7637021717
Disabled,"South Carolina",45,15417,6992,22409,0.687982507
Disabled,"South Dakota",46,1809,574,2383,0.7591271507
Disabled,Tennessee,47,21573,9347,30920,0.6977037516
Disabled,Texas,48,43525,22187,65712,0.6623599951
Disabled,Utah,49,2481,1150,3631,0.6832828422
Disabled,Vermont,50,2254,630,2884,0.7815533981
Disabled,Virginia,51,18659,7555,26214,0.7117952239
Disabled,Washington,53,12405,4926,17331,0.7157694305
Disabled,"West Virginia",54,10728,3732,14460,0.7419087137
Disabled,Wisconsin,55,15275,4353,19628,0.7782249847
Disabled,Wyoming,56,1097,448,1545,0.7100323625
ESRD,Alabama,1,217,213,430,0.5046511628
ESRD,Alaska,2,32,36,68,0.4705882353
ESRD,Arizona,4,188,215,403,0.4665012407
ESRD,Arkansas,5,110,132,242,0.4545454545
ESRD,California,6,1890,1192,3082,0.613238157
ESRD,Colorado,8,130,97,227,0.5726872247
ESRD,Connecticut,9,139,81,220,0.6318181818
ESRD,Delaware,10,36,29,65,0.5538461538
ESRD,"District of Columbia",11,44,39,83,0.5301204819
ESRD,Florida,12,911,753,1664,0.5474759615
ESRD,Georgia,13,665,623,1288,0.5163043478
ESRD,Hawaii,15,110,56,166,0.6626506024
ESRD,Idaho,16,54,29,83,0.6506024096
ESRD,Illinois,17,503,368,871,0.5774971297
ESRD,Indiana,18,203,156,359,0.56545961
ESRD,Iowa,19,80,48,128,0.625
ESRD,Kansas,20,76,62,138,0.5507246377
ESRD,Kentucky,21,135,98,233,0.5793991416
ESRD,Louisiana,22,264,312,576,0.4583333333
ESRD,Maine,23,40,26,66,0.6060606061
ESRD,Maryland,24,217,175,392,0.5535714286
ESRD,Massachusetts,25,165,106,271,0.6088560886
ESRD,Michigan,26,444,299,743,0.597577389
ESRD,Minnesota,27,141,91,232,0.6077586207
ESRD,Mississippi,28,231,254,485,0.4762886598
ESRD,Missouri,29,264,197,461,0.5726681128
ESRD,Montana,30,34,21,55,0.6181818182
ESRD,Nebraska,31,50,48,98,0.5102040816
ESRD,Nevada,32,114,97,211,0.5402843602
ESRD,"New Hampshire",33,19,12,31,0.6129032258
ESRD,"New Jersey",34,317,185,502,0.6314741036
ESRD,"New Mexico",35,124,106,230,0.5391304348
ESRD,"New York",36,847,544,1391,0.60891445
ESRD,"North Carolina",37,491,467,958,0.512526096
ESRD,"North Dakota",38,20,12,32,0.625
ESRD,Ohio,39,399,283,682,0.5850439883
ESRD,Oklahoma,40,167,154,321,0.5202492212
ESRD,Oregon,41,138,101,239,0.5774058577
ESRD,Pennsylvania,42,403,262,665,0.6060150376
ESRD,"Rhode Island",44,25,11,36,0.6944444444
ESRD,"South Carolina",45,285,256,541,0.5268022181
ESRD,"South Dakota",46,25,36,61,0.4098360656
ESRD,Tennessee,47,272,230,502,0.5418326693
ESRD,Texas,48,1641,1575,3216,0.510261194
ESRD,Utah,49,44,54,98,0.4489795918
ESRD,Vermont,50,.,.,.,0.875
ESRD,Virginia,51,242,232,474,0.5105485232
ESRD,Washington,53,220,162,382,0.5759162304
ESRD,"West Virginia",54,55,44,99,0.5555555556
ESRD,Wisconsin,55,188,107,295,0.6372881356
ESRD,Wyoming,56,.,.,.,0.5882352941
"Disabled and ESRD",Alabama,1,189,139,328,0.5762195122
"Disabled and ESRD",Alaska,2,.,.,.,0.5333333333
"Disabled and ESRD",Arizona,4,53,45,98,0.5408163265
"Disabled and ESRD",Arkansas,5,97,101,198,0.4898989899
"Disabled and ESRD",California,6,377,206,583,0.6466552316
"Disabled and ESRD",Colorado,8,34,16,50,0.68
"Disabled and ESRD",Connecticut,9,59,28,87,0.6781609195
"Disabled and ESRD",Delaware,10,.,.,.,0.6315789474
"Disabled and ESRD","District of Columbia",11,.,.,.,0.3333333333
"Disabled and ESRD",Florida,12,276,212,488,0.5655737705
"Disabled and ESRD",Georgia,13,297,274,571,0.5201401051
"Disabled and ESRD",Hawaii,15,25,18,43,0.5813953488
"Disabled and ESRD",Idaho,16,28,13,41,0.6829268293
"Disabled and ESRD",Illinois,17,200,140,340,0.5882352941
"Disabled and ESRD",Indiana,18,136,87,223,0.6098654709
"Disabled and ESRD",Iowa,19,58,42,100,0.58
"Disabled and ESRD",Kansas,20,73,40,113,0.6460176991
"Disabled and ESRD",Kentucky,21,101,91,192,0.5260416667
"Disabled and ESRD",Louisiana,22,194,184,378,0.5132275132
"Disabled and ESRD",Maine,23,41,27,68,0.6029411765
"Disabled and ESRD",Maryland,24,49,39,88,0.5568181818
"Disabled and ESRD",Massachusetts,25,72,33,105,0.6857142857
"Disabled and ESRD",Michigan,26,165,109,274,0.602189781
"Disabled and ESRD",Minnesota,27,77,29,106,0.7264150943
"Disabled and ESRD",Mississippi,28,181,198,379,0.4775725594
"Disabled and ESRD",Missouri,29,176,145,321,0.5482866044
"Disabled and ESRD",Montana,30,19,15,34,0.5588235294
"Disabled and ESRD",Nebraska,31,27,16,43,0.6279069767
"Disabled and ESRD",Nevada,32,.,.,.,0.3703703704
"Disabled and ESRD","New Hampshire",33,.,.,.,0.4545454545
"Disabled and ESRD","New Jersey",34,106,75,181,0.5856353591
"Disabled and ESRD","New Mexico",35,38,47,85,0.4470588235
"Disabled and ESRD","New York",36,241,142,383,0.6292428198
"Disabled and ESRD","North Carolina",37,302,287,589,0.5127334465
"Disabled and ESRD","North Dakota",38,.,.,.,0.6111111111
