RACE_NAME,AGE_GROUP,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,_18-39,Alabama,1,32,26,58,0.5517241379
Unknown,_18-39,Alaska,2,.,.,.,0.4444444444
Unknown,_18-39,Arizona,3,24,14,38,0.6315789474
Unknown,_18-39,Arkansas,4,24,24,48,0.5
Unknown,_18-39,California,5,77,61,138,0.5579710145
Unknown,_18-39,Colorado,6,38,25,63,0.6031746032
Unknown,_18-39,Connecticut,7,.,.,.,0.6153846154
Unknown,_18-39,Delaware,8,.,.,.,0.6666666667
Unknown,_18-39,"District of Columbia",9,0,.,.,0
Unknown,_18-39,Florida,10,117,103,220,0.5318181818
Unknown,_18-39,Georgia,11,66,56,122,0.5409836066
Unknown,_18-39,Hawaii,12,.,.,.,0.625
Unknown,_18-39,Idaho,13,24,15,39,0.6153846154
Unknown,_18-39,Illinois,14,71,46,117,0.6068376068
Unknown,_18-39,Indiana,15,88,48,136,0.6470588235
Unknown,_18-39,Iowa,16,52,32,84,0.619047619
Unknown,_18-39,Kansas,17,.,.,.,0.7714285714
Unknown,_18-39,Kentucky,18,32,24,56,0.5714285714
Unknown,_18-39,Louisiana,19,55,47,102,0.5392156863
Unknown,_18-39,Maine,20,21,15,36,0.5833333333
Unknown,_18-39,Maryland,21,55,30,85,0.6470588235
Unknown,_18-39,Massachusetts,22,98,80,178,0.5505617978
Unknown,_18-39,Michigan,23,81,55,136,0.5955882353
Unknown,_18-39,Minnesota,24,103,58,161,0.6397515528
Unknown,_18-39,Mississippi,25,34,27,61,0.5573770492
Unknown,_18-39,Missouri,26,87,51,138,0.6304347826
Unknown,_18-39,Montana,27,18,12,30,0.6
Unknown,_18-39,Nebraska,28,14,12,26,0.5384615385
Unknown,_18-39,Nevada,29,.,.,.,0.5333333333
Unknown,_18-39,"New Hampshire",30,28,13,41,0.6829268293
Unknown,_18-39,"New Jersey",31,52,28,80,0.65
Unknown,_18-39,"New Mexico",32,.,.,.,0.619047619
Unknown,_18-39,"New York",33,122,81,203,0.6009852217
Unknown,_18-39,"North Carolina",34,85,75,160,0.53125
Unknown,_18-39,"North Dakota",35,.,.,.,0.4375
Unknown,_18-39,Ohio,36,142,75,217,0.6543778802
Unknown,_18-39,Oklahoma,37,19,14,33,0.5757575758
Unknown,_18-39,Oregon,38,33,33,66,0.5
Unknown,_18-39,Pennsylvania,39,130,80,210,0.619047619
Unknown,_18-39,"Rhode Island",41,.,.,.,0.8461538462
Unknown,_18-39,"South Carolina",42,44,23,67,0.6567164179
Unknown,_18-39,"South Dakota",43,.,.,.,0.6
Unknown,_18-39,Tennessee,44,39,35,74,0.527027027
Unknown,_18-39,Texas,45,100,72,172,0.5813953488
Unknown,_18-39,Utah,46,26,18,44,0.5909090909
Unknown,_18-39,Vermont,47,13,12,25,0.52
Unknown,_18-39,Virginia,49,31,37,68,0.4558823529
Unknown,_18-39,Washington,50,55,38,93,0.5913978495
Unknown,_18-39,"West Virginia",51,17,13,30,0.5666666667
Unknown,_18-39,Wisconsin,52,94,46,140,0.6714285714
Unknown,_18-39,Wyoming,53,.,.,.,0.25
Unknown,_40-64,Alabama,1,55,16,71,0.7746478873
Unknown,_40-64,Alaska,2,.,.,.,0.8235294118
Unknown,_40-64,Arizona,3,53,23,76,0.6973684211
Unknown,_40-64,Arkansas,4,24,15,39,0.6153846154
Unknown,_40-64,California,5,345,100,445,0.7752808989
Unknown,_40-64,Colorado,6,46,13,59,0.7796610169
Unknown,_40-64,Connecticut,7,107,38,145,0.7379310345
Unknown,_40-64,Delaware,8,.,.,.,0.8
Unknown,_40-64,"District of Columbia",9,.,.,.,0.6666666667
Unknown,_40-64,Florida,10,256,120,376,0.6808510638
Unknown,_40-64,Georgia,11,105,52,157,0.6687898089
Unknown,_40-64,Hawaii,12,.,.,.,0.5714285714
Unknown,_40-64,Idaho,13,.,.,.,0.6666666667
Unknown,_40-64,Illinois,14,196,63,259,0.7567567568
Unknown,_40-64,Indiana,15,114,29,143,0.7972027972
Unknown,_40-64,Iowa,16,.,.,.,0.8805970149
Unknown,_40-64,Kansas,17,18,11,29,0.6206896552
Unknown,_40-64,Kentucky,18,66,33,99,0.6666666667
Unknown,_40-64,Louisiana,19,54,29,83,0.6506024096
Unknown,_40-64,Maine,20,25,12,37,0.6756756757
Unknown,_40-64,Maryland,21,80,26,106,0.7547169811
Unknown,_40-64,Massachusetts,22,252,90,342,0.7368421053
Unknown,_40-64,Michigan,23,260,98,358,0.7262569832
Unknown,_40-64,Minnesota,24,89,33,122,0.7295081967
Unknown,_40-64,Mississippi,25,15,21,36,0.4166666667
Unknown,_40-64,Missouri,26,110,36,146,0.7534246575
Unknown,_40-64,Montana,27,.,.,.,0.8
Unknown,_40-64,Nebraska,28,.,.,.,0.7428571429
Unknown,_40-64,Nevada,29,.,.,.,0.6666666667
Unknown,_40-64,"New Hampshire",30,.,.,.,0.8571428571
Unknown,_40-64,"New Jersey",31,164,64,228,0.7192982456
Unknown,_40-64,"New Mexico",32,.,.,.,0.75
Unknown,_40-64,"New York",33,578,191,769,0.7516254876
Unknown,_40-64,"North Carolina",34,143,53,196,0.7295918367
Unknown,_40-64,"North Dakota",35,.,.,.,0.5
Unknown,_40-64,Ohio,36,250,86,336,0.744047619
Unknown,_40-64,Oklahoma,37,24,14,38,0.6315789474
Unknown,_40-64,Oregon,38,46,26,72,0.6388888889
Unknown,_40-64,Pennsylvania,39,209,64,273,0.7655677656
Unknown,_40-64,"Rhode Island",41,.,.,.,0.8409090909
Unknown,_40-64,"South Carolina",42,70,25,95,0.7368421053
Unknown,_40-64,"South Dakota",43,.,.,.,0.7272727273
Unknown,_40-64,Tennessee,44,86,24,110,0.7818181818
Unknown,_40-64,Texas,45,122,46,168,0.7261904762
Unknown,_40-64,Utah,46,.,.,.,0.7826086957
Unknown,_40-64,Vermont,47,.,.,.,0.7619047619
Unknown,_40-64,Virginia,49,90,33,123,0.7317073171
Unknown,_40-64,Washington,50,85,34,119,0.7142857143
Unknown,_40-64,"West Virginia",51,37,13,50,0.74
Unknown,_40-64,Wisconsin,52,67,24,91,0.7362637363
Unknown,_40-64,Wyoming,53,.,.,.,0.8
Unknown,_65-69,Alabama,1,209,49,258,0.8100775194
Unknown,_65-69,Alaska,2,66,12,78,0.8461538462
Unknown,_65-69,Arizona,3,596,123,719,0.8289290682
Unknown,_65-69,Arkansas,4,191,60,251,0.7609561753
Unknown,_65-69,California,5,2395,495,2890,0.8287197232
Unknown,_65-69,Colorado,6,474,92,566,0.8374558304
Unknown,_65-69,Connecticut,7,651,106,757,0.8599735799
Unknown,_65-69,Delaware,8,167,37,204,0.818627451
Unknown,_65-69,"District of Columbia",9,.,.,.,0.9117647059
Unknown,_65-69,Florida,10,2133,451,2584,0.8254643963
Unknown,_65-69,Georgia,11,670,135,805,0.8322981366
Unknown,_65-69,Hawaii,12,.,.,.,0.8245614035
Unknown,_65-69,Idaho,13,140,23,163,0.8588957055
Unknown,_65-69,Illinois,14,1754,314,2068,0.8481624758
Unknown,_65-69,Indiana,15,1055,192,1247,0.8460304731
Unknown,_65-69,Iowa,16,528,55,583,0.9056603774
Unknown,_65-69,Kansas,17,367,71,438,0.8378995434
Unknown,_65-69,Kentucky,18,389,84,473,0.822410148
Unknown,_65-69,Louisiana,19,392,86,478,0.820083682
Unknown,_65-69,Maine,20,182,30,212,0.858490566
Unknown,_65-69,Maryland,21,714,143,857,0.8331388565
Unknown,_65-69,Massachusetts,22,1250,220,1470,0.8503401361
Unknown,_65-69,Michigan,23,1384,228,1612,0.858560794
Unknown,_65-69,Minnesota,24,533,83,616,0.8652597403
Unknown,_65-69,Mississippi,25,151,40,191,0.7905759162
Unknown,_65-69,Missouri,26,558,111,669,0.8340807175
Unknown,_65-69,Montana,27,148,26,174,0.8505747126
Unknown,_65-69,Nebraska,28,381,66,447,0.8523489933
Unknown,_65-69,Nevada,29,174,50,224,0.7767857143
Unknown,_65-69,"New Hampshire",30,285,49,334,0.8532934132
Unknown,_65-69,"New Jersey",31,1205,210,1415,0.851590106
Unknown,_65-69,"New Mexico",32,121,33,154,0.7857142857
Unknown,_65-69,"New York",33,2712,578,3290,0.8243161094
Unknown,_65-69,"North Carolina",34,931,174,1105,0.8425339367
Unknown,_65-69,"North Dakota",35,.,.,.,0.9224137931
Unknown,_65-69,Ohio,36,2348,420,2768,0.848265896
Unknown,_65-69,Oklahoma,37,244,68,312,0.7820512821
Unknown,_65-69,Oregon,38,347,83,430,0.8069767442
Unknown,_65-69,Pennsylvania,39,1693,275,1968,0.8602642276
Unknown,_65-69,"Rhode Island",41,182,19,201,0.9054726368
Unknown,_65-69,"South Carolina",42,559,98,657,0.8508371385
Unknown,_65-69,"South Dakota",43,130,12,142,0.9154929577
Unknown,_65-69,Tennessee,44,574,111,685,0.8379562044
Unknown,_65-69,Texas,45,1389,349,1738,0.7991944764
Unknown,_65-69,Utah,46,108,25,133,0.8120300752
Unknown,_65-69,Vermont,47,169,19,188,0.8989361702
Unknown,_65-69,Virginia,49,792,163,955,0.8293193717
Unknown,_65-69,Washington,50,595,126,721,0.8252427184
Unknown,_65-69,"West Virginia",51,97,27,124,0.7822580645
Unknown,_65-69,Wisconsin,52,1091,146,1237,0.8819725141
