RACE_NAME,ENTLMT_RSN_CURR,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,107654,20243,127897,0.8417241999
Unknown,Disabled,6509,2965,9474,0.6870382098
Unknown,ESRD,379,273,652,0.5812883436
Unknown,"Disabled and ESRD",41,38,79,0.5189873418
"Non-Hispanic White",Aged,5437700,1108622,6546322,0.8306496381
"Non-Hispanic White",Disabled,510540,177105,687645,0.7424470475
"Non-Hispanic White",ESRD,3983,2618,6601,0.6033934252
"Non-Hispanic White","Disabled and ESRD",2184,1367,3551,0.6150380175
"Black or African-American",Aged,550516,197337,747853,0.7361286242
"Black or African-American",Disabled,162210,89248,251458,0.6450779057
"Black or African-American",ESRD,4619,4535,9154,0.5045881582
"Black or African-American","Disabled and ESRD",2312,2205,4517,0.5118441443
Other,Aged,49442,11299,60741,0.813980672
Other,Disabled,3852,1358,5210,0.7393474088
Other,ESRD,106,74,180,0.5888888889
Other,"Disabled and ESRD",32,25,57,0.5614035088
"Asian/Pacific Islander",Aged,192914,42885,235799,0.8181289997
"Asian/Pacific Islander",Disabled,12811,4542,17353,0.7382585144
"Asian/Pacific Islander",ESRD,1037,480,1517,0.683586025
"Asian/Pacific Islander","Disabled and ESRD",162,67,229,0.7074235808
Hispanic,Aged,379322,114820,494142,0.7676376426
Hispanic,Disabled,68640,30666,99306,0.6911969065
Hispanic,ESRD,3159,2474,5633,0.5608024143
Hispanic,"Disabled and ESRD",820,529,1349,0.6078576723
"American Indian / Alaska Native",Aged,17143,7637,24780,0.6918079096
"American Indian / Alaska Native",Disabled,5282,3450,8732,0.6049015117
"American Indian / Alaska Native",ESRD,160,258,418,0.3827751196
"American Indian / Alaska Native","Disabled and ESRD",66,102,168,0.3928571429
