RACE_NAME,SEX_NAME,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,Alabama,1,"Autauga County",1001,.,0,.,1
Unknown,Male,Alabama,1,"Baldwin County",1003,.,.,.,0.9074074074
Unknown,Male,Alabama,1,"Barbour County",1005,.,0,.,1
Unknown,Male,Alabama,1,"Bibb County",1007,.,0,.,1
Unknown,Male,Alabama,1,"Blount County",1009,.,0,.,1
Unknown,Male,Alabama,1,"Butler County",1013,.,0,.,1
Unknown,Male,Alabama,1,"Calhoun County",1015,.,.,.,0.9375
Unknown,Male,Alabama,1,"Chambers County",1017,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Cherokee County",1019,.,.,.,0.8888888889
Unknown,Male,Alabama,1,"Chilton County",1021,.,.,.,0.8333333333
Unknown,Male,Alabama,1,"Clarke County",1025,.,.,.,0.75
Unknown,Male,Alabama,1,"Clay County",1027,.,.,.,0.75
Unknown,Male,Alabama,1,"Cleburne County",1029,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Coffee County",1031,.,.,.,0.7142857143
Unknown,Male,Alabama,1,"Colbert County",1033,.,.,.,0.8
Unknown,Male,Alabama,1,"Conecuh County",1035,.,0,.,1
Unknown,Male,Alabama,1,"Coosa County",1037,.,.,.,0.3333333333
Unknown,Male,Alabama,1,"Covington County",1039,.,.,.,0.7142857143
Unknown,Male,Alabama,1,"Crenshaw County",1041,.,0,.,1
Unknown,Male,Alabama,1,"Cullman County",1043,.,.,.,0.8
Unknown,Male,Alabama,1,"Dale County",1045,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Dallas County",1047,.,.,.,0.8333333333
Unknown,Male,Alabama,1,"DeKalb County",1049,.,.,.,0.75
Unknown,Male,Alabama,1,"Elmore County",1051,.,.,.,0.9
Unknown,Male,Alabama,1,"Escambia County",1053,.,.,.,0.5555555556
Unknown,Male,Alabama,1,"Etowah County",1055,.,.,.,0.8888888889
Unknown,Male,Alabama,1,"Fayette County",1057,.,.,.,0.75
Unknown,Male,Alabama,1,"Franklin County",1059,.,0,.,1
Unknown,Male,Alabama,1,"Geneva County",1061,.,0,.,1
Unknown,Male,Alabama,1,"Greene County",1063,0,.,.,0
Unknown,Male,Alabama,1,"Hale County",1065,.,.,.,0.75
Unknown,Male,Alabama,1,"Henry County",1067,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Houston County",1069,.,.,.,0.7777777778
Unknown,Male,Alabama,1,"Jackson County",1071,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Jefferson County",1073,71,16,87,0.816091954
Unknown,Male,Alabama,1,"Lamar County",1075,.,0,.,1
Unknown,Male,Alabama,1,"Lauderdale County",1077,.,.,.,0.7727272727
Unknown,Male,Alabama,1,"Lawrence County",1079,.,0,.,1
Unknown,Male,Alabama,1,"Lee County",1081,.,.,.,0.75
