RACE_NAME,SEX_NAME,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,Alabama,1,573,128,701,0.817403709
Unknown,Male,Alaska,2,145,32,177,0.8192090395
Unknown,Male,Arizona,3,1432,292,1724,0.8306264501
Unknown,Male,Arkansas,4,419,137,556,0.7535971223
Unknown,Male,California,5,5470,1137,6607,0.8279097926
Unknown,Male,Colorado,6,1005,227,1232,0.8157467532
Unknown,Male,Connecticut,7,1513,272,1785,0.8476190476
Unknown,Male,Delaware,8,419,81,500,0.838
Unknown,Male,"District of Columbia",9,67,17,84,0.7976190476
Unknown,Male,Florida,10,5437,1191,6628,0.8203077852
Unknown,Male,Georgia,11,1549,353,1902,0.8144058885
Unknown,Male,Hawaii,12,107,25,132,0.8106060606
Unknown,Male,Idaho,13,296,69,365,0.8109589041
Unknown,Male,Illinois,14,3810,664,4474,0.8515869468
Unknown,Male,Indiana,15,2316,380,2696,0.8590504451
Unknown,Male,Iowa,16,1212,164,1376,0.8808139535
Unknown,Male,Kansas,17,775,157,932,0.8315450644
Unknown,Male,Kentucky,18,928,213,1141,0.8133216477
Unknown,Male,Louisiana,19,767,207,974,0.7874743326
Unknown,Male,Maine,20,481,100,581,0.8278829604
Unknown,Male,Maryland,21,1685,312,1997,0.8437656485
Unknown,Male,Massachusetts,22,2809,546,3355,0.8372578241
Unknown,Male,Michigan,23,3143,573,3716,0.8458019376
Unknown,Male,Minnesota,24,1185,234,1419,0.8350951374
Unknown,Male,Mississippi,25,321,105,426,0.7535211268
Unknown,Male,Missouri,26,1323,261,1584,0.8352272727
Unknown,Male,Montana,27,321,64,385,0.8337662338
Unknown,Male,Nebraska,28,749,134,883,0.8482446206
Unknown,Male,Nevada,29,453,116,569,0.7961335677
Unknown,Male,"New Hampshire",30,686,100,786,0.8727735369
Unknown,Male,"New Jersey",31,3029,522,3551,0.8529991552
Unknown,Male,"New Mexico",32,264,65,329,0.8024316109
Unknown,Male,"New York",33,6509,1383,7892,0.8247592499
Unknown,Male,"North Carolina",34,2144,440,2584,0.8297213622
Unknown,Male,"North Dakota",35,201,37,238,0.8445378151
Unknown,Male,Ohio,36,4891,874,5765,0.84839549
Unknown,Male,Oklahoma,37,569,159,728,0.7815934066
Unknown,Male,Oregon,38,782,199,981,0.7971457696
Unknown,Male,Pennsylvania,39,3926,627,4553,0.8622886009
Unknown,Male,"Rhode Island",41,369,50,419,0.8806682578
Unknown,Male,"South Carolina",42,1299,223,1522,0.8534822602
Unknown,Male,"South Dakota",43,247,32,279,0.8853046595
Unknown,Male,Tennessee,44,1325,254,1579,0.8391386954
Unknown,Male,Texas,45,3131,755,3886,0.8057128152
Unknown,Male,Utah,46,287,78,365,0.7863013699
Unknown,Male,Vermont,47,426,65,491,0.8676171079
Unknown,Male,Virginia,49,1964,392,2356,0.8336162988
Unknown,Male,Washington,50,1458,332,1790,0.8145251397
Unknown,Male,"West Virginia",51,293,70,363,0.8071625344
Unknown,Male,Wisconsin,52,2217,316,2533,0.875246743
Unknown,Male,Wyoming,53,153,38,191,0.8010471204
Unknown,Female,Alabama,1,265,70,335,0.7910447761
Unknown,Female,Alaska,2,68,14,82,0.8292682927
Unknown,Female,Arizona,3,541,140,681,0.7944199706
Unknown,Female,Arkansas,4,157,52,209,0.7511961722
Unknown,Female,California,5,4150,811,4961,0.8365248942
Unknown,Female,Colorado,6,379,85,464,0.8168103448
Unknown,Female,Connecticut,7,716,143,859,0.8335273574
Unknown,Female,Delaware,8,197,34,231,0.8528138528
Unknown,Female,"District of Columbia",9,.,.,.,0.7916666667
Unknown,Female,Florida,10,2392,573,2965,0.8067453626
Unknown,Female,Georgia,11,585,180,765,0.7647058824
Unknown,Female,Hawaii,12,61,15,76,0.8026315789
Unknown,Female,Idaho,13,127,26,153,0.8300653595
Unknown,Female,Illinois,14,1563,304,1867,0.8371719336
Unknown,Female,Indiana,15,857,172,1029,0.8328474247
Unknown,Female,Iowa,16,444,70,514,0.8638132296
Unknown,Female,Kansas,17,281,48,329,0.8541033435
Unknown,Female,Kentucky,18,313,86,399,0.7844611529
Unknown,Female,Louisiana,19,341,97,438,0.7785388128
Unknown,Female,Maine,20,224,38,262,0.8549618321
Unknown,Female,Maryland,21,986,260,1246,0.7913322632
Unknown,Female,Massachusetts,22,1908,370,2278,0.8375768218
Unknown,Female,Michigan,23,1887,322,2209,0.8542326845
Unknown,Female,Minnesota,24,568,136,704,0.8068181818
Unknown,Female,Mississippi,25,157,46,203,0.7733990148
Unknown,Female,Missouri,26,516,128,644,0.801242236
Unknown,Female,Montana,27,118,25,143,0.8251748252
Unknown,Female,Nebraska,28,309,49,358,0.8631284916
Unknown,Female,Nevada,29,236,58,294,0.8027210884
Unknown,Female,"New Hampshire",30,314,48,362,0.8674033149
Unknown,Female,"New Jersey",31,1610,326,1936,0.8316115702
Unknown,Female,"New Mexico",32,114,24,138,0.8260869565
Unknown,Female,"New York",33,4501,1102,5603,0.8033196502
Unknown,Female,"North Carolina",34,796,223,1019,0.781157998
Unknown,Female,"North Dakota",35,83,17,100,0.83
Unknown,Female,Ohio,36,1914,383,2297,0.8332607749
Unknown,Female,Oklahoma,37,224,49,273,0.8205128205
