RACE_NAME,SEX_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,79439,12668,92107,0.8624643078
Unknown,Female,39028,6967,45995,0.8485270138
"Non-Hispanic White",Male,2786917,488852,3275769,0.850767255
"Non-Hispanic White",Female,3389192,579158,3968350,0.8540557159
"Black or African-American",Male,282338,101674,384012,0.7352322323
"Black or African-American",Female,479300,149670,628970,0.7620395249
Other,Male,29779,5715,35494,0.838986871
Other,Female,25911,4783,30694,0.8441714993
"Asian/Pacific Islander",Male,97854,19099,116953,0.8366950826
"Asian/Pacific Islander",Female,117083,20862,137945,0.8487658125
Hispanic,Male,203591,57434,261025,0.7799674361
Hispanic,Female,271844,67561,339405,0.8009428264
"American Indian / Alaska Native",Male,10310,4458,14768,0.6981310943
"American Indian / Alaska Native",Female,13682,5648,19330,0.7078116917
