RACE_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,869,167,1036,0.8388030888
Unknown,Alaska,2,222,37,259,0.8571428571
Unknown,Arizona,4,2058,347,2405,0.8557172557
Unknown,Arkansas,5,600,165,765,0.7843137255
Unknown,California,6,9925,1643,11568,0.8579702628
Unknown,Colorado,8,1440,256,1696,0.8490566038
Unknown,Connecticut,9,2298,346,2644,0.8691376702
Unknown,Delaware,10,634,97,731,0.8673050616
Unknown,"District of Columbia",11,111,21,132,0.8409090909
Unknown,Florida,12,8160,1433,9593,0.8506202439
Unknown,Georgia,13,2216,451,2667,0.830896138
Unknown,Hawaii,15,177,31,208,0.8509615385
Unknown,Idaho,16,434,84,518,0.8378378378
Unknown,Illinois,17,5527,814,6341,0.8716290806
Unknown,Indiana,18,3269,456,3725,0.8775838926
Unknown,Iowa,19,1696,194,1890,0.8973544974
Unknown,Kansas,20,1077,184,1261,0.8540840603
Unknown,Kentucky,21,1279,261,1540,0.8305194805
Unknown,Louisiana,22,1146,266,1412,0.8116147309
Unknown,Maine,23,720,123,843,0.8540925267
Unknown,Maryland,24,2771,472,3243,0.8544557508
Unknown,Massachusetts,25,4866,767,5633,0.8638380969
Unknown,Michigan,26,5207,718,5925,0.8788185654
Unknown,Minnesota,27,1815,308,2123,0.8549222798
Unknown,Mississippi,28,498,131,629,0.7917329094
Unknown,Missouri,29,1899,329,2228,0.8523339318
Unknown,Montana,30,456,72,528,0.8636363636
Unknown,Nebraska,31,1092,149,1241,0.8799355359
Unknown,Nevada,32,715,148,863,0.8285052144
Unknown,"New Hampshire",33,1027,121,1148,0.8945993031
Unknown,"New Jersey",34,4790,697,5487,0.8729724804
Unknown,"New Mexico",35,393,74,467,0.8415417559
Unknown,"New York",36,11424,2071,13495,0.846535754
Unknown,"North Carolina",37,3029,574,3603,0.8406883153
Unknown,"North Dakota",38,291,47,338,0.8609467456
Unknown,Ohio,39,7029,1033,8062,0.8718680228
Unknown,Oklahoma,40,814,187,1001,0.8131868132
Unknown,Oregon,41,1147,249,1396,0.8216332378
Unknown,Pennsylvania,42,5850,794,6644,0.8804936785
Unknown,"Rhode Island",44,579,77,656,0.8826219512
Unknown,"South Carolina",45,1825,280,2105,0.8669833729
Unknown,"South Dakota",46,350,43,393,0.8905852417
Unknown,Tennessee,47,1859,312,2171,0.8562874251
Unknown,Texas,48,4580,974,5554,0.8246308967
Unknown,Utah,49,395,97,492,0.8028455285
Unknown,Vermont,50,603,79,682,0.8841642229
Unknown,Virginia,51,2818,483,3301,0.8536807028
Unknown,Washington,53,2590,454,3044,0.8508541393
Unknown,"West Virginia",54,420,84,504,0.8333333333
Unknown,Wisconsin,55,3217,376,3593,0.8953520735
Unknown,Wyoming,56,227,42,269,0.843866171
"Non-Hispanic White",Alabama,1,107714,21799,129513,0.8316848502
"Non-Hispanic White",Alaska,2,9891,1635,11526,0.8581467985
"Non-Hispanic White",Arizona,4,108659,19432,128091,0.8482953525
"Non-Hispanic White",Arkansas,5,82760,18914,101674,0.813974074
"Non-Hispanic White",California,6,336021,64829,400850,0.8382711738
"Non-Hispanic White",Colorado,8,60500,11251,71751,0.8431938231
"Non-Hispanic White",Connecticut,9,83704,11560,95264,0.8786530064
"Non-Hispanic White",Delaware,10,30871,4434,35305,0.874408724
"Non-Hispanic White","District of Columbia",11,1976,345,2321,0.8513571736
"Non-Hispanic White",Florida,12,399494,71251,470745,0.8486420461
"Non-Hispanic White",Georgia,13,152408,31646,184054,0.8280613298
"Non-Hispanic White",Hawaii,15,4886,1032,5918,0.8256167624
"Non-Hispanic White",Idaho,16,30451,5798,36249,0.84005076
"Non-Hispanic White",Illinois,17,310701,46868,357569,0.8689259975
"Non-Hispanic White",Indiana,18,193711,31295,225006,0.86091482
"Non-Hispanic White",Iowa,19,113895,14605,128500,0.8863424125
"Non-Hispanic White",Kansas,20,76492,13067,89559,0.8540961824
"Non-Hispanic White",Kentucky,21,144586,30986,175572,0.823514
"Non-Hispanic White",Louisiana,22,82382,17907,100289,0.821446021
"Non-Hispanic White",Maine,23,45791,6462,52253,0.8763324594
"Non-Hispanic White",Maryland,24,100952,15756,116708,0.8649964013
"Non-Hispanic White",Massachusetts,25,180358,24492,204850,0.8804393459
"Non-Hispanic White",Michigan,26,248945,39811,288756,0.8621292718
"Non-Hispanic White",Minnesota,27,111620,13678,125298,0.8908362464
"Non-Hispanic White",Mississippi,28,67724,15702,83426,0.8117852948
"Non-Hispanic White",Missouri,29,160367,28421,188788,0.8494554739
"Non-Hispanic White",Montana,30,26787,4463,31250,0.857184
"Non-Hispanic White",Nebraska,31,59903,8816,68719,0.8717094253
"Non-Hispanic White",Nevada,32,34681,7190,41871,0.8282821046
"Non-Hispanic White","New Hampshire",33,44838,6260,51098,0.8774903127
"Non-Hispanic White","New Jersey",34,202476,31281,233757,0.8661815475
"Non-Hispanic White","New Mexico",35,21774,4481,26255,0.8293277471
"Non-Hispanic White","New York",36,337468,54357,391825,0.8612722516
"Non-Hispanic White","North Carolina",37,213473,38851,252324,0.8460273299
"Non-Hispanic White","North Dakota",38,23688,2795,26483,0.8944605974
"Non-Hispanic White",Ohio,39,292143,48959,341102,0.8564681532
"Non-Hispanic White",Oklahoma,40,90815,20298,111113,0.8173211055
"Non-Hispanic White",Oregon,41,69448,12947,82395,0.8428666788
"Non-Hispanic White",Pennsylvania,42,301817,44733,346550,0.8709190593
"Non-Hispanic White","Rhode Island",44,22410,3245,25655,0.8735139349
"Non-Hispanic White","South Carolina",45,114431,21537,135968,0.8416024359
"Non-Hispanic White","South Dakota",46,28480,3718,32198,0.8845269893
"Non-Hispanic White",Tennessee,47,156194,30848,187042,0.8350744753
"Non-Hispanic White",Texas,48,352814,73458,426272,0.8276734104
"Non-Hispanic White",Utah,49,27925,6011,33936,0.8228724658
"Non-Hispanic White",Vermont,50,22127,3141,25268,0.8756925756
"Non-Hispanic White",Virginia,51,154337,26358,180695,0.8541298874
"Non-Hispanic White",Washington,53,113782,19506,133288,0.8536552428
"Non-Hispanic White","West Virginia",54,65508,12580,78088,0.8388997029
"Non-Hispanic White",Wisconsin,55,137549,16405,153954,0.893442197
"Non-Hispanic White",Wyoming,56,13600,2550,16150,0.8421052632
"Black or African-American",Alabama,1,29565,10015,39580,0.7469681657
"Black or African-American",Alaska,2,340,91,431,0.788863109
"Black or African-American",Arizona,4,3524,1192,4716,0.7472434266
"Black or African-American",Arkansas,5,11155,4526,15681,0.7113704483
"Black or African-American",California,6,30450,10036,40486,0.7521118411
"Black or African-American",Colorado,8,2007,670,2677,0.7497198356
"Black or African-American",Connecticut,9,7395,1838,9233,0.8009314416
"Black or African-American",Delaware,10,5770,1571,7341,0.7859964582
"Black or African-American","District of Columbia",11,5410,1885,7295,0.7416038382
"Black or African-American",Florida,12,42677,15007,57684,0.7398412038
"Black or African-American",Georgia,13,48727,17395,66122,0.7369256828
"Black or African-American",Hawaii,15,144,50,194,0.7422680412
"Black or African-American",Idaho,16,102,37,139,0.7338129496
"Black or African-American",Illinois,17,41768,13031,54799,0.7622036898
"Black or African-American",Indiana,18,14323,4324,18647,0.7681128332
"Black or African-American",Iowa,19,1934,514,2448,0.7900326797
"Black or African-American",Kansas,20,3435,1015,4450,0.7719101124
"Black or African-American",Kentucky,21,8250,2895,11145,0.7402422611
"Black or African-American",Louisiana,22,31963,12371,44334,0.7209590833
"Black or African-American",Maine,23,192,48,240,0.8
"Black or African-American",Maryland,24,33918,9890,43808,0.7742421476
"Black or African-American",Massachusetts,25,9620,2363,11983,0.8028039723
"Black or African-American",Michigan,26,36774,11881,48655,0.7558113246
"Black or African-American",Minnesota,27,3643,1202,4845,0.7519091847
"Black or African-American",Mississippi,28,30953,11766,42719,0.7245722044
"Black or African-American",Missouri,29,13956,4617,18573,0.7514133419
"Black or African-American",Montana,30,61,21,82,0.743902439
"Black or African-American",Nebraska,31,1473,454,1927,0.7644006227
"Black or African-American",Nevada,32,3792,1474,5266,0.7200911508
"Black or African-American","New Hampshire",33,281,76,357,0.7871148459
"Black or African-American","New Jersey",34,25901,7563,33464,0.7739959359
"Black or African-American","New Mexico",35,630,243,873,0.7216494845
"Black or African-American","New York",36,45964,14229,60193,0.7636103866
"Black or African-American","North Carolina",37,53919,16921,70840,0.7611377753
"Black or African-American","North Dakota",38,79,34,113,0.6991150442
"Black or African-American",Ohio,39,29935,9105,39040,0.7667776639
"Black or African-American",Oklahoma,40,5977,2177,8154,0.7330144714
"Black or African-American",Oregon,41,917,277,1194,0.7680067002
"Black or African-American",Pennsylvania,42,22771,6964,29735,0.7657978813
"Black or African-American","Rhode Island",44,977,241,1218,0.802134647
"Black or African-American","South Carolina",45,31505,10748,42253,0.7456275294
"Black or African-American","South Dakota",46,96,36,132,0.7272727273
"Black or African-American",Tennessee,47,20357,7072,27429,0.7421706952
"Black or African-American",Texas,48,51456,19588,71044,0.7242835426
"Black or African-American",Utah,49,186,77,263,0.7072243346
