SEX_NAME,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Male,Alabama,1,"Autauga County",1001,438,106,544,0.8051470588
Male,Alabama,1,"Baldwin County",1003,2431,529,2960,0.8212837838
Male,Alabama,1,"Barbour County",1005,311,122,433,0.7182448037
Male,Alabama,1,"Bibb County",1007,221,87,308,0.7175324675
Male,Alabama,1,"Blount County",1009,689,159,848,0.8125
Male,Alabama,1,"Bullock County",1011,125,44,169,0.7396449704
Male,Alabama,1,"Butler County",1013,311,103,414,0.7512077295
Male,Alabama,1,"Calhoun County",1015,1376,374,1750,0.7862857143
Male,Alabama,1,"Chambers County",1017,504,143,647,0.7789799073
Male,Alabama,1,"Cherokee County",1019,484,150,634,0.7634069401
Male,Alabama,1,"Chilton County",1021,423,128,551,0.7676950998
Male,Alabama,1,"Choctaw County",1023,304,77,381,0.7979002625
Male,Alabama,1,"Clarke County",1025,386,129,515,0.7495145631
Male,Alabama,1,"Clay County",1027,237,70,307,0.7719869707
Male,Alabama,1,"Cleburne County",1029,228,64,292,0.7808219178
Male,Alabama,1,"Coffee County",1031,458,126,584,0.7842465753
Male,Alabama,1,"Colbert County",1033,840,275,1115,0.7533632287
Male,Alabama,1,"Conecuh County",1035,226,81,307,0.7361563518
Male,Alabama,1,"Coosa County",1037,194,79,273,0.7106227106
Male,Alabama,1,"Covington County",1039,601,199,800,0.75125
Male,Alabama,1,"Crenshaw County",1041,195,59,254,0.7677165354
Male,Alabama,1,"Cullman County",1043,1380,281,1661,0.8308248043
Male,Alabama,1,"Dale County",1045,473,146,619,0.7641357027
Male,Alabama,1,"Dallas County",1047,550,254,804,0.684079602
Male,Alabama,1,"DeKalb County",1049,1068,267,1335,0.8
Male,Alabama,1,"Elmore County",1051,735,213,948,0.7753164557
Male,Alabama,1,"Escambia County",1053,547,189,736,0.7432065217
Male,Alabama,1,"Etowah County",1055,1597,439,2036,0.7843811395
Male,Alabama,1,"Fayette County",1057,293,84,377,0.7771883289
Male,Alabama,1,"Franklin County",1059,511,139,650,0.7861538462
Male,Alabama,1,"Geneva County",1061,373,132,505,0.7386138614
Male,Alabama,1,"Greene County",1063,94,42,136,0.6911764706
Male,Alabama,1,"Hale County",1065,247,85,332,0.7439759036
Male,Alabama,1,"Henry County",1067,279,74,353,0.790368272
Male,Alabama,1,"Houston County",1069,1283,370,1653,0.7761645493
Male,Alabama,1,"Jackson County",1071,1007,266,1273,0.7910447761
Male,Alabama,1,"Jefferson County",1073,5398,1469,6867,0.7860783457
Male,Alabama,1,"Lamar County",1075,286,82,368,0.777173913
