income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Less than $15,000",Alabama,1,60,33,93,58.3436861141569,46.6609421234552,70.0264301048587,59.8501278533273,41.8247091421877,77.8755465644669
"$15,000 to < $25,000",Alabama,1,122,43,165,74.1907371141446,65.3188848140124,83.0625894142768,69.9359519992293,56.7947347325273,83.0771692659314
"$25,000 to < $35,000",Alabama,1,104,37,141,62.7031493883265,52.123645415299,73.2826533613539,63.0125132411342,48.0100170027607,78.0150094795076
"$35,000 to < $50,000",Alabama,1,131,27,158,78.8843234446953,70.7839267808737,86.984720108517,79.6440338459225,66.5332144047094,92.7548532871356
"$50,000 to < $75,000",Alabama,1,138,26,164,81.7571775160375,74.522430533853,88.9919244982219,81.7361711758685,70.947693254859,92.524649096878
"$75,000 to < $100,000",Alabama,1,86,14,100,84.6492291395351,73.9607589072259,95.3376993718444,84.6172358561837,70.011051897727,99.2234198146405
"$100,000 to < $200,000",Alabama,1,125,18,143,88.5307057778332,82.4628824701943,94.5985290854721,88.3564834502518,80.3778270308428,96.3351398696608
"$200,000 or more",Alabama,1,28,4,32,85.6248984721086,66.1292057496607,100,87.5676596244855,68.8896344496295,100
"Don’t know/Not sure/Missing",Alabama,1,213,52,265,75.3614985064305,68.4722976866567,82.2506993262043,73.9123811438878,61.8148341482045,86.009928139571
"Less than $15,000",Alaska,2,25,32,57,51.4476650824358,35.0147558978762,67.8805742669954,54.1959013921248,37.6857781731302,70.7060246111193
"$15,000 to < $25,000",Alaska,2,51,43,94,51.4340901711967,38.0998931031567,64.7682872392366,49.9298242305515,32.7565560524619,67.1030924086411
"$25,000 to < $35,000",Alaska,2,68,43,111,56.8853272688494,43.8213602431191,69.9492942945798,58.545087242678,34.5247743924433,82.5654000929127
"$35,000 to < $50,000",Alaska,2,95,46,141,66.8119460304212,55.5959272495788,78.0279648112637,64.3139647414898,46.1630604517451,82.4648690312345
"$50,000 to < $75,000",Alaska,2,143,59,202,70.7022396516181,62.580256955927,78.8242223473092,69.9400212816507,56.8890909211688,82.9909516421326
"$75,000 to < $100,000",Alaska,2,120,55,175,66.5825736112475,59.074335592005,74.09081163049,67.5981952438413,55.870178196862,79.3262122908206
"$100,000 to < $200,000",Alaska,2,187,71,258,79.035265166067,73.2777911571888,84.7927391749452,76.4561418146882,66.1532882877556,86.7589953416209
"$200,000 or more",Alaska,2,44,12,56,79.230567966387,65.445045542402,93.016090390372,82.9686195058764,64.28357515448,100
"Don’t know/Not sure/Missing",Alaska,2,140,67,207,73.3062036620289,64.9832180591388,81.6291892649191,73.9175404381117,60.8665315452289,86.9685493309945
"Less than $15,000",Arizona,4,117,61,178,63.3707332803207,51.78050771517,74.9609588454714,63.8725116484706,46.8317503417821,80.9132729551592
"$15,000 to < $25,000",Arizona,4,149,87,236,64.5762350817028,54.25146818969,74.9010019737156,63.7316079463259,46.2759622656412,81.1872536270106
"$25,000 to < $35,000",Arizona,4,160,85,245,78.9110866861782,71.6118432173501,86.2103301550063,78.4726618755594,66.1895636639792,90.7557600871395
"$35,000 to < $50,000",Arizona,4,214,89,303,76.7498931606843,68.6347540573956,84.865032263973,76.3956155428837,63.5253380272153,89.2658930585522
"$50,000 to < $75,000",Arizona,4,261,115,376,72.7113914990683,65.6910384746303,79.7317445235065,72.1014496649375,60.5690787688159,83.6338205610592
"$75,000 to < $100,000",Arizona,4,185,59,244,75.0432300451947,66.4440990892119,83.6423610011776,75.0400020219829,61.7925905881994,88.2874134557664
"$100,000 to < $200,000",Arizona,4,258,69,327,85.6521623216475,80.5597188130885,90.7446058302065,87.7514371907192,80.8528732312341,94.6500011502042
"$200,000 or more",Arizona,4,54,14,68,84.6655403882933,70.5790388935802,98.7520418830064,80.0533898020296,47.5594323209276,100
"Don’t know/Not sure/Missing",Arizona,4,294,125,419,72.4389338057333,66.2112864609757,78.6665811504909,72.8322409134248,62.969124583019,82.6953572438305
"Less than $15,000",Arkansas,5,73,45,118,62.8131313560988,51.4279439851411,74.1983187270566,60.3676062009465,40.6435258620178,80.0916865398751
"$15,000 to < $25,000",Arkansas,5,120,58,178,70.2355590380053,62.0371345553341,78.4339835206766,70.6708963791087,57.2693597584561,84.0724329997614
"$25,000 to < $35,000",Arkansas,5,98,43,141,73.444687913389,65.3715977890653,81.5177780377128,72.6366006443229,61.8144370116755,83.4587642769703
"$35,000 to < $50,000",Arkansas,5,121,48,169,73.9943343625567,66.6051911928062,81.3834775323072,72.5471084797198,60.5778874809575,84.5163294784821
"$50,000 to < $75,000",Arkansas,5,131,37,168,76.3162385403621,68.1871850760912,84.4452920046331,76.7941199609676,64.0146942652418,89.5735456566934
"$75,000 to < $100,000",Arkansas,5,98,17,115,81.3735588085752,72.2251731440769,90.5219444730734,81.0623795303039,65.851340417387,96.2734186432209
"$100,000 to < $200,000",Arkansas,5,96,25,121,79.9944074570685,71.5557882987171,88.4330266154199,80.9762470055746,67.4811513750251,94.4713426361241
"$200,000 or more",Arkansas,5,30,3,33,94.3492591111484,87.2638576580955,100,93.7114292728876,80.3666372891234,100
"Don’t know/Not sure/Missing",Arkansas,5,175,68,243,76.055472822743,69.5063930413096,82.6045526041764,76.4063252810983,65.8232758697346,86.9893746924621
"Less than $15,000",California,6,68,41,109,65.1250362502109,53.1932710881842,77.0568014122377,69.118434217457,54.0993938955613,84.1374745393527
"$15,000 to < $25,000",California,6,102,45,147,71.2686853377355,61.0078087550527,81.5295619204182,72.1442367392242,55.4166003387051,88.8718731397433
"$25,000 to < $35,000",California,6,105,42,147,68.5631847556346,56.9623340265459,80.1640354847233,68.8917692286559,51.3979912418501,86.3855472154617
"$35,000 to < $50,000",California,6,114,32,146,81.6104923528013,73.0716827308685,90.1493019747342,81.3135430723838,66.7043254438942,95.9227607008734
"$50,000 to < $75,000",California,6,167,40,207,72.1532580327307,61.6476666782395,82.6588493872219,71.6641361624479,55.1152870682085,88.2129852566874
"$75,000 to < $100,000",California,6,172,35,207,84.2712290805537,77.5753391442748,90.9671190168326,83.6332542585107,72.5462899052079,94.7202186118136
"$100,000 to < $200,000",California,6,324,66,390,78.0474942170396,70.6904758331176,85.4045126009617,78.2826883150881,65.9494022347761,90.6159743954001
"$200,000 or more",California,6,138,29,167,89.4903040374456,84.7339604474544,94.2466476274368,88.8586825784417,79.9626161259554,97.754749030928
"Don’t know/Not sure/Missing",California,6,282,89,371,74.4757403796556,67.8932975251011,81.0581832342101,74.5470502599098,64.2745839436089,84.8195165762108
"Less than $15,000",Colorado,8,50,40,90,55.2448059583069,42.7183797754244,67.7712321411893,55.618039280374,34.8141739613938,76.4219045993542
