state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Alabama,1,1007,254,1261,76.3928777472259,73.1907390663224,79.5950164281293,76.7312211737769,71.7818298867779,81.6806124607759
Alaska,2,873,428,1301,68.7493776598382,64.9899187697234,72.5088365499529,68.5038130052512,62.4500298607368,74.5575961497657
Arizona,4,1692,704,2396,74.8676996978277,72.2013363355743,77.5340630600812,74.8864411990202,70.5565415969606,79.2163408010799
Arkansas,5,942,344,1286,74.9737349108199,72.111082587302,77.836387234338,75.000395593426,70.3436287565114,79.6571624303405
California,6,1472,419,1891,76.5067897062932,73.5179240512054,79.495655361381,76.8549506795119,72.185211081968,81.5246902770558
Colorado,8,1332,526,1858,71.1427437910964,68.2488373797255,74.0366502024672,71.6542449585096,66.7952105675237,76.5132793494956
Connecticut,9,1779,416,2195,81.653981422526,79.1619569867809,84.1460058582711,82.1587325497942,78.197106602571,86.1203584970173
Delaware,10,822,221,1043,79.7027949067762,76.6087445244806,82.7968452890718,79.50948630861,74.4844853715499,84.5344872456701
"District of Columbia",11,512,148,660,77.4361704804456,73.0089094705516,81.8634314903397,77.0045744981279,70.0445598026805,83.9645891935753
Florida,12,2423,756,3179,77.9831522781449,74.9941209493494,80.9721836069404,77.6871394971128,72.6620324322962,82.7122465619294
Georgia,13,1704,497,2201,76.3225856168764,73.6124776555283,79.0326935782246,76.6126588785826,72.4771572534039,80.7481605037612
Hawaii,15,1415,387,1802,78.5168838605276,75.701341786094,81.3324259349611,78.0909021233555,73.4660708422491,82.7157334044618
Idaho,16,933,419,1352,68.515967472812,65.587014239495,71.444920706129,68.0005031857836,63.2359454767959,72.7650608947712
Illinois,17,592,207,799,72.799383091132,68.6039898261616,76.9947763561024,73.6396878638214,67.1168095436895,80.1625661839534
Indiana,18,1865,516,2381,78.1439491360973,76.1547929954989,80.1331052766957,78.3375841980068,75.0819695328751,81.5931988631385
Iowa,19,1577,380,1957,79.6001926639735,77.2291062423821,81.9712790855649,79.9180874494286,76.1166191565828,83.7195557422743
Kansas,20,1970,634,2604,74.4611643575253,72.1707807355707,76.7515479794798,74.6454768787847,70.9617509236829,78.3292028338865
Kentucky,21,723,247,970,72.8977022236277,68.8405455734964,76.954858873759,72.3770444668792,65.7149231590381,79.0391657747203
