education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",Alabama,1,124,85,209,53.9491308370642,46.59545484132,61.3028068328083,48.4427360504943,35.7327503283683,61.1527217726204
"Graduated High School",Alabama,1,457,202,659,66.8603490628881,62.3414956527686,71.3792024730076,56.9628628662651,46.3176134807814,67.6081122517487
"Attended College or Technical School",Alabama,1,569,205,774,68.6728307807314,64.273772432345,73.0718891291179,59.1937299062503,50.6231275266798,67.7643322858208
"Graduated from College or Technical
School",Alabama,1,631,176,807,75.8106685028946,72.204997787493,79.4163392182962,66.5013349039578,58.2137094853326,74.7889603225831
"Don’t know/Not sure/Missing",Alabama,1,1,1,2,.,.,.,.,.,.
"Did not graduate High School",Alaska,2,54,67,121,39.0726642912473,26.7874629032565,51.3578656792381,37.1292302268222,23.5661873948391,50.6922730588052
"Graduated High School",Alaska,2,386,268,654,58.6854085777208,53.5529622016553,63.8178549537863,55.3583444357653,43.7041868570942,67.0125020144363
"Attended College or Technical School",Alaska,2,603,322,925,65.7494970562246,61.7473022197006,69.7516918927487,56.8850650990203,47.1079586410062,66.6621715570343
"Graduated from College or Technical
School",Alaska,2,902,402,1304,65.9613053930718,62.4390224669146,69.483588319229,57.8983978935092,50.955427009688,64.8413687773303
"Don’t know/Not sure/Missing",Alaska,2,4,4,8,.,.,.,.,.,.
"Did not graduate High School",Arizona,4,144,161,305,45.3426988500806,36.7623453085575,53.9230523916037,38.4209372814923,23.9323862551144,52.9094883078703
"Graduated High School",Arizona,4,536,399,935,55.5922901629808,50.4941660440741,60.6904142818874,45.3314787577603,36.0382419950732,54.6247155204473
"Attended College or Technical School",Arizona,4,1086,601,1687,66.0343265768255,62.4559539465589,69.6126992070921,57.3086329730773,49.2066010951544,65.4106648510001
"Graduated from College or Technical
School",Arizona,4,1524,658,2182,66.8311522878824,63.5621267326218,70.1001778431429,58.3028886558981,51.0352375316181,65.5705397801782
"Don’t know/Not sure/Missing",Arizona,4,9,12,21,.,.,.,.,.,.
"Did not graduate High School",Arkansas,5,117,79,196,56.9669243203884,48.8832701417447,65.050578499032,49.4920826073638,34.706941096784,64.2772241179436
"Graduated High School",Arkansas,5,537,307,844,61.0378297854568,57.1721058171158,64.9035537537978,54.6972499371247,46.3218786334462,63.0726212408033
"Attended College or Technical School",Arkansas,5,488,218,706,67.1854590963566,63.0967682037653,71.2741499889478,59.3029235891972,48.7305896312074,69.875257547187
"Graduated from College or Technical
School",Arkansas,5,643,258,901,68.3305436347477,64.6572431360159,72.0038441334795,60.1930269486922,52.28502325052,68.1010306468644
"Don’t know/Not sure/Missing",Arkansas,5,6,1,7,64.6236033792125,26.2239245413139,100,.,.,.
"Did not graduate High School",California,6,142,204,346,42.8900078913928,36.0961161916101,49.6838995911755,39.4741146672343,27.2180762385009,51.7301530959677
"Graduated High School",California,6,411,325,736,55.1622309228325,50.2189024821275,60.1055593635376,49.4845616171653,39.2908199245037,59.6783033098269
"Attended College or Technical School",California,6,758,405,1163,64.5870992175627,60.720169150179,68.4540292849465,54.3346041221995,46.9454458727531,61.723762371646
"Graduated from College or Technical
School",California,6,1569,668,2237,70.3209446874658,67.3942621469652,73.2476272279665,62.1173581911175,55.7374489721771,68.4972674100578
"Don’t know/Not sure/Missing",California,6,10,3,13,76.1740999126416,51.282117991904,100,64.8729126141157,54.2149683465462,75.5308568816851
"Did not graduate High School",Colorado,8,101,119,220,49.9717709077113,43.5051390605143,56.4384027549083,44.2709775665683,35.0446424502851,53.4973126828514
"Graduated High School",Colorado,8,428,302,730,60.2737393626909,55.7620767236136,64.7854020017682,50.6751264943083,42.9713616047688,58.3788913838478
