state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Alabama,1,1782,669,2451,67.6730643519563,65.0826995067463,70.2634291971663,58.6141272945252,53.2704601451405,63.95779444391
Alaska,2,1949,1063,3012,62.2045127555995,59.704693463496,64.704332047703,54.716469517818,49.4844324979961,59.9485065376398
Arizona,4,3299,1831,5130,61.6756093436782,59.4590243946626,63.8921942926938,52.9768326696526,48.3603034392013,57.5933619001038
Arkansas,5,1791,863,2654,64.027974595225,61.7587164919685,66.2972326984815,56.4016004711505,51.4633351721054,61.3398657701957
California,6,2890,1605,4495,61.4549598656167,59.2788303970022,63.6310893342311,54.0308049926865,49.6444948044556,58.4171151809174
Colorado,8,2945,1465,4410,65.5395722424459,63.7294310938328,67.3497133910591,56.5629743769844,53.2390716550873,59.8868770988816
Connecticut,9,3725,1146,4871,75.2994944258012,73.4298190156928,77.1691698359097,66.3395853156126,61.9843188116839,70.6948518195412
Delaware,10,1494,604,2098,70.0534479422214,67.3419617167674,72.7649341676754,59.4198575911302,53.0849940330665,65.754721149194
"District of Columbia",11,1013,364,1377,70.7503676988282,67.5920202230491,73.9087151746072,62.4421647035691,56.176116586625,68.7082128205133
Florida,12,4793,1867,6660,67.1086002937687,64.6251757099765,69.5920248775609,58.2712619917839,52.0863880465298,64.4561359370381
Georgia,13,3150,1277,4427,65.9913421607504,63.8381501415761,68.1445341799246,57.749777091273,53.1664830038989,62.3330711786471
Hawaii,15,2709,1210,3919,66.9351620635924,64.8060815196833,69.0642426075015,57.219102150389,52.5324301215571,61.905774179221
Idaho,16,1970,1094,3064,63.5734005773098,61.577972945273,65.5688282093467,54.8241842164283,50.8409022783786,58.8074661544779
Illinois,17,1178,708,1886,65.4745914397498,62.7906446469275,68.1585382325721,58.1810242136737,52.6489564688679,63.7130919584795
Indiana,18,3675,1453,5128,69.5531297002076,68.0241539278439,71.0821054725713,59.8941261090932,56.6416585870401,63.1465936311463
Iowa,19,3144,1268,4412,68.5238766204958,66.7987236314597,70.2490296095319,58.2419417750434,54.599715243861,61.8841683062259
Kansas,20,3844,1724,5568,65.0979014022259,63.3375111490576,66.8582916553942,56.1842345055045,52.4697779011661,59.8986911098429
Kentucky,21,1434,637,2071,67.2028989621232,64.3012673343527,70.1045305898937,59.80459197166,53.2261648596664,66.3830190836535
Louisiana,22,2011,802,2813,69.3435033874951,67.147433687609,71.5395730873812,59.1145118881098,54.397968377092,63.8310553991277
Maine,23,4525,1522,6047,72.1824161241924,70.5361149241266,73.8287173242583,60.2711564917997,56.6927879379057,63.8495250456936
Maryland,24,6057,2193,8250,71.75145873175,70.2214311304684,73.2814863330316,63.3662211608942,59.9033227033107,66.8291196184778
Massachusetts,25,3780,1418,5198,70.9439761753237,69.1611500169413,72.7268023337061,61.4268021755558,57.6703844763476,65.1832198747639
Michigan,26,3865,1292,5157,71.1964089843452,69.6248181709086,72.7679997977817,59.8778022841562,56.3876601710485,63.367944397264
Minnesota,27,6225,2314,8539,69.6675906179042,68.3005611479757,71.0346200878328,59.1273728643145,56.3506552730477,61.9040904555813
Mississippi,28,1322,752,2074,62.503018542064,59.8141354895828,65.1919015945453,54.7666166308574,49.6465607826796,59.8866724790352
Missouri,29,2433,1172,3605,65.8883107721778,63.759192852892,68.0174286914635,56.6000453526115,52.0665244350184,61.1335662702047
Montana,30,2559,1198,3757,65.6937007830216,63.7800745928992,67.6073269731439,54.3644980508529,50.2937935123712,58.4352025893346
Nebraska,31,2551,1259,3810,64.074593291616,62.0530015602185,66.0961850230136,55.0175625967074,50.7444079237271,59.2907172696876
Nevada,32,1044,532,1576,60.9442905444001,57.2237107605832,64.664870328217,51.868671404683,44.7507730072197,58.9865698021463
"New Hampshire",33,2801,854,3655,71.5797589088932,69.5685663194457,73.5909514983408,60.3751850638945,55.5603375409517,65.1900325868373
"New Jersey",34,2568,1193,3761,65.3973975950462,63.1620445404867,67.6327506496057,56.1317730220827,51.974309277036,60.2892367671293
"New Mexico",35,1532,913,2445,58.4116895602742,55.6765288871268,61.1468502334216,50.0981893075271,43.9379055315701,56.2584730834841
"New York",36,6067,2326,8393,68.9968476451235,67.4860269710341,70.5076683192128,60.0245679036179,56.7818875734349,63.2672482338009
"North Carolina",37,1512,685,2197,68.1222806270986,65.5437593533128,70.7008019008844,57.8516846219047,53.1130296349462,62.5903396088632
"North Dakota",38,1469,611,2080,66.3860444200961,63.9967183464848,68.7753704937075,55.7958710372311,50.8724954731229,60.7192466013393
Ohio,39,5940,2621,8561,67.6390949907307,66.1644394795159,69.1137505019454,57.9177373148127,54.876488977503,60.9589856521224
Oklahoma,40,1746,990,2736,61.0837175979374,58.9588467239218,63.2085884719529,53.1743072219703,48.9569707510824,57.3916436928581
Oregon,41,1898,946,2844,65.3751873676566,63.1439055511314,67.6064691841819,55.4885626282455,51.0888012322873,59.8883240242038
Pennsylvania,42,1599,654,2253,66.8570041349566,63.7575855216401,69.9564227482732,56.5250161433367,50.1846311573236,62.8654011293498
"Rhode Island",44,2384,691,3075,74.2746180389166,72.0548967832064,76.4943392946267,61.7484662321182,56.5852212874975,66.911711176739
"South Carolina",45,3821,1312,5133,70.6919016070437,69.0148194155405,72.3689837985469,59.2562135051342,55.7586741164078,62.7537528938607
"South Dakota",46,2725,1305,4030,65.544663218538,60.7699490783909,70.3193773586851,55.1600573859231,46.0552932457583,64.2648215260878
Tennessee,47,1733,867,2600,64.2558973321958,61.7242010434073,66.7875936209844,54.7599812894577,49.8834014188005,59.6365611601149
Texas,48,4084,2279,6363,61.3684329005709,59.1320169640787,63.604848837063,55.2769323587738,51.0423432970384,59.5115214205091
Utah,49,2888,1426,4314,65.2069717627933,63.3637765416059,67.0501669839808,57.4908605205666,54.0752749563259,60.9064460848072
Vermont,50,3597,1226,4823,69.5623434008618,67.6594603680694,71.4652264336542,57.1797069444356,53.649131060612,60.7102828282593
Virginia,51,3908,1386,5294,70.2912839411974,68.4875333470318,72.095034535363,62.0308025310061,58.1793189901139,65.8822860718982
