age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_55_59,Arkansas,5,46,109,155,24.1157483815166,16.4740734506624,31.7574233123709,.,.,.
_60_64,Arkansas,5,82,84,166,50.6343480315261,41.3000230294515,59.9686730336006,.,.,.
_65_69,Arkansas,5,91,118,209,45.1288768428598,37.0779940481513,53.1797596375683,.,.,.
_55_59,Delaware,10,35,68,103,36.3852216778059,23.4592420075164,49.3112013480954,.,.,.
_60_64,Delaware,10,55,96,151,38.5097274206964,27.3523072864574,49.6671475549354,.,.,.
_65_69,Delaware,10,82,76,158,59.2019296445607,49.7842095850906,68.6196497040308,.,.,.
_55_59,Massachusetts,25,33,64,97,33.9800328175763,22.8090789173042,45.1509867178483,.,.,.
_60_64,Massachusetts,25,40,56,96,33.0383882411902,20.9178691037364,45.158907378644,.,.,.
_65_69,Massachusetts,25,50,63,113,42.6564324958373,31.3582755199799,53.9545894716948,.,.,.
_55_59,Mississippi,28,46,105,151,26.8020599750562,18.7976344480913,34.8064855020212,.,.,.
_60_64,Mississippi,28,57,88,145,31.2582087038062,22.0551201109337,40.4612972966787,.,.,.
_65_69,Mississippi,28,66,62,128,51.6806809668436,40.6791192683982,62.6822426652889,.,.,.
_55_59,"New Jersey",34,28,69,97,25.5885054330996,15.4472415766687,35.7297692895304,.,.,.
_60_64,"New Jersey",34,48,54,102,31.5066784260739,18.9310307035812,44.0823261485666,.,.,.
_65_69,"New Jersey",34,52,49,101,50.586320288269,39.4662368886149,61.7064036879232,.,.,.
_55_59,"South Carolina",45,96,185,281,34.4378071698146,27.4318709335287,41.4437434061005,.,.,.
_60_64,"South Carolina",45,153,246,399,36.7675362989172,31.0751555286113,42.459917069223,.,.,.
_65_69,"South Carolina",45,222,185,407,52.9467583612208,46.5806957935211,59.3128209289205,.,.,.
