AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,716,433,1149,0.6231505657
_18-39,Alaska,2,35,12,47,0.7446808511
_18-39,Arizona,4,266,186,452,0.5884955752
_18-39,Arkansas,5,452,335,787,0.5743329098
_18-39,California,6,2054,875,2929,0.7012632298
_18-39,Colorado,8,205,96,301,0.6810631229
_18-39,Connecticut,9,290,102,392,0.7397959184
_18-39,Delaware,10,98,44,142,0.6901408451
_18-39,"District of Columbia",11,75,41,116,0.6465517241
_18-39,Florida,12,1441,783,2224,0.6479316547
_18-39,Georgia,13,1074,761,1835,0.5852861035
_18-39,Hawaii,15,62,27,89,0.6966292135
_18-39,Idaho,16,108,67,175,0.6171428571
_18-39,Illinois,17,997,506,1503,0.6633399867
_18-39,Indiana,18,671,301,972,0.6903292181
_18-39,Iowa,19,281,97,378,0.7433862434
_18-39,Kansas,20,237,102,339,0.6991150442
_18-39,Kentucky,21,482,232,714,0.675070028
_18-39,Louisiana,22,785,506,1291,0.6080557707
_18-39,Maine,23,117,39,156,0.75
_18-39,Maryland,24,604,258,862,0.7006960557
_18-39,Massachusetts,25,628,250,878,0.715261959
_18-39,Michigan,26,1086,524,1610,0.6745341615
_18-39,Minnesota,27,453,157,610,0.7426229508
_18-39,Mississippi,28,591,432,1023,0.57771261
_18-39,Missouri,29,772,382,1154,0.6689774697
_18-39,Montana,30,65,31,96,0.6770833333
_18-39,Nebraska,31,146,71,217,0.6728110599
_18-39,Nevada,32,164,94,258,0.6356589147
_18-39,"New Hampshire",33,91,40,131,0.6946564885
_18-39,"New Jersey",34,595,269,864,0.6886574074
_18-39,"New Mexico",35,133,85,218,0.6100917431
_18-39,"New York",36,1467,686,2153,0.6813748258
_18-39,"North Carolina",37,1187,654,1841,0.6447582835
_18-39,"North Dakota",38,57,19,76,0.75
_18-39,Ohio,39,1124,553,1677,0.6702444842
_18-39,Oklahoma,40,363,187,550,0.66
_18-39,Oregon,41,209,106,315,0.6634920635
_18-39,Pennsylvania,42,1028,504,1532,0.6710182768
_18-39,"Rhode Island",44,96,24,120,0.8
_18-39,"South Carolina",45,576,346,922,0.6247288503
_18-39,"South Dakota",46,49,24,73,0.6712328767
_18-39,Tennessee,47,631,365,996,0.6335341365
_18-39,Texas,48,1886,1144,3030,0.6224422442
_18-39,Utah,49,119,52,171,0.6959064327
_18-39,Vermont,50,66,19,85,0.7764705882
_18-39,Virginia,51,704,376,1080,0.6518518519
_18-39,Washington,53,388,167,555,0.6990990991
_18-39,"West Virginia",54,197,94,291,0.676975945
_18-39,Wisconsin,55,539,197,736,0.7323369565
_18-39,Wyoming,56,.,.,.,0.8928571429
_40-64,Alabama,1,16398,5803,22201,0.7386153777
_40-64,Alaska,2,590,193,783,0.7535121328
_40-64,Arizona,4,5571,2154,7725,0.7211650485
_40-64,Arkansas,5,10017,3820,13837,0.7239285972
_40-64,California,6,41075,12731,53806,0.7633906999
