ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Aged,Alabama,1,97800,22885,120685,0.8103741144
Aged,Alaska,2,8321,2018,10339,0.8048167134
Aged,Arizona,4,90594,20914,111508,0.8124439502
Aged,Arkansas,5,64435,16063,80498,0.8004546697
Aged,California,6,458863,109379,568242,0.8075133482
Aged,Colorado,8,47310,10260,57570,0.8217821782
Aged,Connecticut,9,70023,12584,82607,0.8476642415
Aged,Delaware,10,27069,5180,32249,0.8393748643
Aged,"District of Columbia",11,8746,2556,11302,0.7738453371
Aged,Florida,12,362575,85224,447799,0.8096824691
Aged,Georgia,13,156227,39961,196188,0.7963127205
Aged,Hawaii,15,18253,3609,21862,0.8349190376
Aged,Idaho,16,21759,4355,26114,0.833231217
Aged,Illinois,17,255268,51691,306959,0.8316029177
Aged,Indiana,18,140879,27239,168118,0.8379768972
Aged,Iowa,19,72101,10574,82675,0.8721016027
Aged,Kansas,20,58317,10560,68877,0.8466832179
Aged,Kentucky,21,90298,20738,111036,0.8132317447
Aged,Louisiana,22,89767,24279,114046,0.7871122179
Aged,Maine,23,25252,3708,28960,0.871961326
Aged,Maryland,24,113704,24684,138388,0.8216319334
Aged,Massachusetts,25,137930,23778,161708,0.8529571821
Aged,Michigan,26,186591,38864,225455,0.8276197024
Aged,Minnesota,27,67246,10761,78007,0.8620508416
Aged,Mississippi,28,75575,20660,96235,0.7853171923
Aged,Missouri,29,118232,23040,141272,0.8369103573
Aged,Montana,30,18135,3493,21628,0.8384963936
Aged,Nebraska,31,38887,6693,45580,0.8531592804
Aged,Nevada,32,36144,9136,45280,0.7982332155
Aged,"New Hampshire",33,28780,4624,33404,0.8615734643
Aged,"New Jersey",34,194962,42167,237129,0.8221769585
Aged,"New Mexico",35,23716,6262,29978,0.7911134832
Aged,"New York",36,315782,73897,389679,0.8103644282
Aged,"North Carolina",37,204333,44902,249235,0.8198407126
Aged,"North Dakota",38,15152,2147,17299,0.8758887797
Aged,Ohio,39,203636,41288,244924,0.8314252584
Aged,Oklahoma,40,67448,16165,83613,0.8066688194
Aged,Oregon,41,46028,9433,55461,0.8299165179
Aged,Pennsylvania,42,221542,40620,262162,0.8450576361
Aged,"Rhode Island",44,17419,2884,20303,0.8579520268
Aged,"South Carolina",45,119381,27930,147311,0.8104011242
Aged,"South Dakota",46,18178,2999,21177,0.858384096
Aged,Tennessee,47,127225,27858,155083,0.8203671582
Aged,Texas,48,357160,95244,452404,0.7894713575
Aged,Utah,49,21321,4848,26169,0.8147426344
Aged,Vermont,50,14391,2230,16621,0.8658323807
Aged,Virginia,51,144664,29978,174642,0.8283459878
Aged,Washington,53,86516,18097,104613,0.8270100274
Aged,"West Virginia",54,36072,7487,43559,0.8281181845
Aged,Wisconsin,55,87965,13670,101635,0.8654990899
Aged,Wyoming,56,9466,2056,11522,0.8215587572
Disabled,Alabama,1,15876,6792,22668,0.7003705664
Disabled,Alaska,2,575,210,785,0.7324840764
Disabled,Arizona,4,5238,2484,7722,0.6783216783
Disabled,Arkansas,5,9727,4516,14243,0.6829319666
Disabled,California,6,39061,14591,53652,0.728043689
Disabled,Colorado,8,4065,1493,5558,0.7313781936
Disabled,Connecticut,9,5912,1848,7760,0.7618556701
Disabled,Delaware,10,2151,842,2993,0.7186769128
Disabled,"District of Columbia",11,1667,859,2526,0.6599366587
Disabled,Florida,12,29216,11766,40982,0.7128983456
Disabled,Georgia,13,21347,10049,31396,0.6799273793
Disabled,Hawaii,15,1052,370,1422,0.7398030942
Disabled,Idaho,16,1831,687,2518,0.7271644162
Disabled,Illinois,17,21683,8359,30042,0.721756208
Disabled,Indiana,18,14162,5120,19282,0.7344673789
Disabled,Iowa,19,4887,1545,6432,0.7597947761
Disabled,Kansas,20,4727,1554,6281,0.7525871676
Disabled,Kentucky,21,13321,5523,18844,0.7069093611
Disabled,Louisiana,22,14448,7064,21512,0.6716251395
Disabled,Maine,23,3111,682,3793,0.8201950962
Disabled,Maryland,24,11038,4601,15639,0.7057996036
Disabled,Massachusetts,25,13626,4278,17904,0.7610589812
Disabled,Michigan,26,23739,9448,33187,0.7153102118
Disabled,Minnesota,27,7027,2198,9225,0.7617344173
Disabled,Mississippi,28,13014,6513,19527,0.6664618221
Disabled,Missouri,29,15017,5571,20588,0.7294054789
Disabled,Montana,30,1225,435,1660,0.7379518072
Disabled,Nebraska,31,2442,798,3240,0.7537037037
Disabled,Nevada,32,3065,1501,4566,0.6712658782
Disabled,"New Hampshire",33,2076,608,2684,0.7734724292
Disabled,"New Jersey",34,13969,5222,19191,0.7278932833
Disabled,"New Mexico",35,2673,1189,3862,0.6921284309
Disabled,"New York",36,30388,11552,41940,0.7245588937
Disabled,"North Carolina",37,25027,10075,35102,0.7129793174
Disabled,"North Dakota",38,808,247,1055,0.7658767773
Disabled,Ohio,39,22624,8644,31268,0.7235512345
Disabled,Oklahoma,40,7446,3352,10798,0.689572143
Disabled,Oregon,41,4318,1525,5843,0.7390039363
Disabled,Pennsylvania,42,23644,8115,31759,0.7444818792
Disabled,"Rhode Island",44,2042,550,2592,0.787808642
Disabled,"South Carolina",45,13810,5853,19663,0.7023343335
Disabled,"South Dakota",46,983,352,1335,0.736329588
Disabled,Tennessee,47,14792,6078,20870,0.7087685673
Disabled,Texas,48,32123,15319,47442,0.6771004595
Disabled,Utah,49,1462,620,2082,0.702209414
Disabled,Vermont,50,1168,329,1497,0.7802271209
Disabled,Virginia,51,13805,5321,19126,0.7217923246
Disabled,Washington,53,7451,2645,10096,0.7380150555
Disabled,"West Virginia",54,5594,1999,7593,0.7367311998
Disabled,Wisconsin,55,9278,2775,12053,0.769766863
Disabled,Wyoming,56,592,225,817,0.7246022032
ESRD,Alabama,1,206,172,378,0.544973545
ESRD,Alaska,2,21,15,36,0.5833333333
ESRD,Arizona,4,181,201,382,0.4738219895
ESRD,Arkansas,5,112,104,216,0.5185185185
ESRD,California,6,1766,996,2762,0.6393917451
ESRD,Colorado,8,114,70,184,0.6195652174
ESRD,Connecticut,9,101,72,173,0.5838150289
ESRD,Delaware,10,32,28,60,0.5333333333
ESRD,"District of Columbia",11,39,35,74,0.527027027
ESRD,Florida,12,818,563,1381,0.5923244026
ESRD,Georgia,13,619,535,1154,0.5363951473
ESRD,Hawaii,15,83,52,135,0.6148148148
ESRD,Idaho,16,38,34,72,0.5277777778
ESRD,Illinois,17,385,256,641,0.600624025
ESRD,Indiana,18,175,99,274,0.6386861314
ESRD,Iowa,19,58,34,92,0.6304347826
ESRD,Kansas,20,62,51,113,0.5486725664
ESRD,Kentucky,21,97,76,173,0.5606936416
ESRD,Louisiana,22,284,235,519,0.5472061657
ESRD,Maine,23,35,14,49,0.7142857143
ESRD,Maryland,24,217,122,339,0.6401179941
ESRD,Massachusetts,25,150,75,225,0.6666666667
ESRD,Michigan,26,366,193,559,0.6547406082
ESRD,Minnesota,27,111,69,180,0.6166666667
ESRD,Mississippi,28,236,205,441,0.5351473923
ESRD,Missouri,29,228,138,366,0.6229508197
ESRD,Montana,30,27,20,47,0.5744680851
