RACE_NAME,AGE_GROUP,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,_18-39,Alabama,1,22,19,41,0.5365853659
Unknown,_18-39,Alaska,2,.,0,.,1
Unknown,_18-39,Arizona,3,.,.,.,0.5789473684
Unknown,_18-39,Arkansas,4,.,.,.,0.3703703704
Unknown,_18-39,California,5,40,20,60,0.6666666667
Unknown,_18-39,Colorado,6,.,.,.,0.55
Unknown,_18-39,Connecticut,7,.,.,.,0.8333333333
Unknown,_18-39,Delaware,8,.,.,.,0.5
Unknown,_18-39,"District of Columbia",9,.,.,.,0.5
Unknown,_18-39,Florida,10,63,45,108,0.5833333333
Unknown,_18-39,Georgia,11,50,31,81,0.6172839506
Unknown,_18-39,Hawaii,12,.,0,.,1
Unknown,_18-39,Idaho,13,.,.,.,0.4
Unknown,_18-39,Illinois,14,28,25,53,0.5283018868
Unknown,_18-39,Indiana,15,.,.,.,0.7916666667
Unknown,_18-39,Iowa,16,.,.,.,0.724137931
Unknown,_18-39,Kansas,17,.,.,.,0.4285714286
Unknown,_18-39,Kentucky,18,13,15,28,0.4642857143
Unknown,_18-39,Louisiana,19,31,31,62,0.5
Unknown,_18-39,Maine,20,.,.,.,0.8333333333
Unknown,_18-39,Maryland,21,28,21,49,0.5714285714
Unknown,_18-39,Massachusetts,22,42,19,61,0.6885245902
Unknown,_18-39,Michigan,23,44,25,69,0.6376811594
Unknown,_18-39,Minnesota,24,.,.,.,0.6551724138
Unknown,_18-39,Mississippi,25,16,20,36,0.4444444444
Unknown,_18-39,Missouri,26,46,19,65,0.7076923077
Unknown,_18-39,Montana,27,.,.,.,0.4285714286
Unknown,_18-39,Nebraska,28,.,.,.,0.5
Unknown,_18-39,Nevada,29,.,.,.,0.7142857143
Unknown,_18-39,"New Hampshire",30,.,.,.,0.5
Unknown,_18-39,"New Jersey",31,23,17,40,0.575
Unknown,_18-39,"New Mexico",32,.,.,.,0.75
Unknown,_18-39,"New York",33,62,34,96,0.6458333333
Unknown,_18-39,"North Carolina",34,45,42,87,0.5172413793
Unknown,_18-39,"North Dakota",35,.,.,.,0.6666666667
Unknown,_18-39,Ohio,36,44,24,68,0.6470588235
Unknown,_18-39,Oklahoma,37,.,.,.,0.4
Unknown,_18-39,Oregon,38,.,.,.,0.4285714286
Unknown,_18-39,Pennsylvania,39,52,38,90,0.5777777778
Unknown,_18-39,"Rhode Island",41,.,.,.,0.75
Unknown,_18-39,"South Carolina",42,32,21,53,0.6037735849
Unknown,_18-39,"South Dakota",43,.,.,.,0.6
Unknown,_18-39,Tennessee,44,19,13,32,0.59375
Unknown,_18-39,Texas,45,51,40,91,0.5604395604
Unknown,_18-39,Utah,46,.,.,.,0.9
Unknown,_18-39,Vermont,47,.,.,.,0.5714285714
Unknown,_18-39,Virginia,49,23,20,43,0.5348837209
Unknown,_18-39,Washington,50,28,12,40,0.7
Unknown,_18-39,"West Virginia",51,.,.,.,0.5
