RACE_NAME,ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,Alabama,1,630,98,728,0.8653846154
Unknown,Aged,Alaska,2,150,36,186,0.8064516129
Unknown,Aged,Arizona,4,1484,263,1747,0.8494562106
Unknown,Aged,Arkansas,5,422,97,519,0.8131021195
Unknown,Aged,California,6,7789,1494,9283,0.8390606485
Unknown,Aged,Colorado,8,1058,184,1242,0.8518518519
Unknown,Aged,Connecticut,9,1755,245,2000,0.8775
Unknown,Aged,Delaware,10,461,77,538,0.8568773234
Unknown,Aged,"District of Columbia",11,109,24,133,0.8195488722
Unknown,Aged,Florida,12,6072,1199,7271,0.8350983359
Unknown,Aged,Georgia,13,1691,351,2042,0.8281096964
Unknown,Aged,Hawaii,15,179,36,215,0.8325581395
Unknown,Aged,Idaho,16,281,45,326,0.8619631902
Unknown,Aged,Illinois,17,3527,544,4071,0.8663718988
Unknown,Aged,Indiana,18,2180,337,2517,0.8661104489
Unknown,Aged,Iowa,19,1072,154,1226,0.8743882545
Unknown,Aged,Kansas,20,772,141,913,0.8455640745
Unknown,Aged,Kentucky,21,894,152,1046,0.8546845124
Unknown,Aged,Louisiana,22,895,157,1052,0.8507604563
Unknown,Aged,Maine,23,426,63,489,0.8711656442
Unknown,Aged,Maryland,24,2227,459,2686,0.8291139241
Unknown,Aged,Massachusetts,25,3406,597,4003,0.8508618536
Unknown,Aged,Michigan,26,3133,522,3655,0.8571819425
Unknown,Aged,Minnesota,27,1049,195,1244,0.8432475884
Unknown,Aged,Mississippi,28,388,78,466,0.8326180258
Unknown,Aged,Missouri,29,1258,195,1453,0.8657949071
Unknown,Aged,Montana,30,299,56,355,0.8422535211
Unknown,Aged,Nebraska,31,663,99,762,0.8700787402
Unknown,Aged,Nevada,32,555,128,683,0.8125915081
Unknown,Aged,"New Hampshire",33,651,96,747,0.8714859438
Unknown,Aged,"New Jersey",34,3558,646,4204,0.8463368221
Unknown,Aged,"New Mexico",35,336,52,388,0.8659793814
Unknown,Aged,"New York",36,8236,1860,10096,0.8157686212
Unknown,Aged,"North Carolina",37,2332,392,2724,0.8560939794
Unknown,Aged,"North Dakota",38,195,28,223,0.8744394619
Unknown,Aged,Ohio,39,4458,747,5205,0.8564841499
Unknown,Aged,Oklahoma,40,545,124,669,0.8146487294
Unknown,Aged,Oregon,41,730,159,889,0.8211473566
Unknown,Aged,Pennsylvania,42,3994,627,4621,0.8643150833
Unknown,Aged,"Rhode Island",44,432,58,490,0.8816326531
Unknown,Aged,"South Carolina",45,1390,234,1624,0.85591133
Unknown,Aged,"South Dakota",46,254,38,292,0.8698630137
Unknown,Aged,Tennessee,47,1433,247,1680,0.8529761905
Unknown,Aged,Texas,48,3344,661,4005,0.8349563046
Unknown,Aged,Utah,49,318,62,380,0.8368421053
Unknown,Aged,Vermont,50,487,65,552,0.8822463768
Unknown,Aged,Virginia,51,2128,318,2446,0.8699918234
Unknown,Aged,Washington,53,1834,380,2214,0.8283649503
Unknown,Aged,"West Virginia",54,254,38,292,0.8698630137
Unknown,Aged,Wisconsin,55,1925,259,2184,0.8814102564
Unknown,Aged,Wyoming,56,189,24,213,0.8873239437
Unknown,Disabled,Alabama,1,68,33,101,0.6732673267
Unknown,Disabled,Alaska,2,.,.,.,0.8
