RACE_NAME,SEX_NAME,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,Alabama,1,"Autauga County",1001,.,.,.,0.8333333333
Unknown,Male,Alabama,1,"Baldwin County",1003,42,0,42,1
Unknown,Male,Alabama,1,"Barbour County",1005,.,.,.,0.8
Unknown,Male,Alabama,1,"Blount County",1009,.,0,.,1
Unknown,Male,Alabama,1,"Butler County",1013,.,0,.,1
Unknown,Male,Alabama,1,"Calhoun County",1015,13,0,13,1
Unknown,Male,Alabama,1,"Cherokee County",1019,.,0,.,1
Unknown,Male,Alabama,1,"Chilton County",1021,.,0,.,1
Unknown,Male,Alabama,1,"Choctaw County",1023,.,0,.,1
Unknown,Male,Alabama,1,"Clarke County",1025,.,.,.,0.4
Unknown,Male,Alabama,1,"Clay County",1027,.,.,.,0.8
Unknown,Male,Alabama,1,"Cleburne County",1029,.,0,.,1
Unknown,Male,Alabama,1,"Coffee County",1031,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Colbert County",1033,.,.,.,0.8181818182
Unknown,Male,Alabama,1,"Conecuh County",1035,0,.,.,0
Unknown,Male,Alabama,1,"Coosa County",1037,.,.,.,0.75
Unknown,Male,Alabama,1,"Covington County",1039,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Cullman County",1043,.,.,.,0.8
Unknown,Male,Alabama,1,"Dale County",1045,0,.,.,0
Unknown,Male,Alabama,1,"Dallas County",1047,.,.,.,0.75
Unknown,Male,Alabama,1,"DeKalb County",1049,.,.,.,0.8333333333
Unknown,Male,Alabama,1,"Elmore County",1051,12,0,12,1
Unknown,Male,Alabama,1,"Escambia County",1053,.,.,.,0.7
Unknown,Male,Alabama,1,"Etowah County",1055,.,.,.,0.9
Unknown,Male,Alabama,1,"Fayette County",1057,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Franklin County",1059,.,.,.,0.8
Unknown,Male,Alabama,1,"Geneva County",1061,.,0,.,1
Unknown,Male,Alabama,1,"Greene County",1063,.,0,.,1
Unknown,Male,Alabama,1,"Hale County",1065,.,0,.,1
Unknown,Male,Alabama,1,"Henry County",1067,.,.,.,0.8333333333
Unknown,Male,Alabama,1,"Houston County",1069,.,.,.,0.7692307692
Unknown,Male,Alabama,1,"Jackson County",1071,.,.,.,0.75
Unknown,Male,Alabama,1,"Jefferson County",1073,.,.,.,0.8360655738
Unknown,Male,Alabama,1,"Lauderdale County",1077,.,.,.,0.875
Unknown,Male,Alabama,1,"Lawrence County",1079,.,0,.,1
Unknown,Male,Alabama,1,"Lee County",1081,.,.,.,0.8947368421
Unknown,Male,Alabama,1,"Limestone County",1083,.,0,.,1
Unknown,Male,Alabama,1,"Lowndes County",1085,.,0,.,1
Unknown,Male,Alabama,1,"Macon County",1087,.,0,.,1
Unknown,Male,Alabama,1,"Madison County",1089,.,.,.,0.8604651163
Unknown,Male,Alabama,1,"Marengo County",1091,.,0,.,1
Unknown,Male,Alabama,1,"Marion County",1093,.,0,.,1
Unknown,Male,Alabama,1,"Marshall County",1095,.,.,.,0.8
Unknown,Male,Alabama,1,"Mobile County",1097,.,.,.,0.8717948718
Unknown,Male,Alabama,1,"Monroe County",1099,.,.,.,0.6666666667
Unknown,Male,Alabama,1,"Montgomery County",1101,.,.,.,0.84
Unknown,Male,Alabama,1,"Morgan County",1103,.,.,.,0.8125
Unknown,Male,Alabama,1,"Pike County",1109,.,0,.,1
Unknown,Male,Alabama,1,"Russell County",1113,0,.,.,0
Unknown,Male,Alabama,1,"St. Clair County",1115,.,.,.,0.7857142857
Unknown,Male,Alabama,1,"Shelby County",1117,.,.,.,0.9166666667
Unknown,Male,Alabama,1,"Sumter County",1119,.,0,.,1
Unknown,Male,Alabama,1,"Talladega County",1121,.,.,.,0.8235294118
Unknown,Male,Alabama,1,"Tallapoosa County",1123,.,.,.,0.8333333333
Unknown,Male,Alabama,1,"Tuscaloosa County",1125,.,.,.,0.9411764706
Unknown,Male,Alabama,1,"Walker County",1127,.,.,.,0.75
Unknown,Male,Alabama,1,"Wilcox County",1131,0,.,.,0
Unknown,Male,Alabama,1,"Winston County",1133,.,0,.,1
Unknown,Male,Alaska,2,"Anchorage Borough",2020,.,.,.,0.8125
Unknown,Male,Alaska,2,"Bethel Census Area",2050,.,0,.,1
Unknown,Male,Alaska,2,"Bristol Bay Borough",2060,.,0,.,1
Unknown,Male,Alaska,2,"Denali Borough (created after 1990)",2068,.,0,.,1
Unknown,Male,Alaska,2,"Dillingham Census Area",2070,0,.,.,0
Unknown,Male,Alaska,2,"Fairbanks North Star Borough",2090,.,.,.,0.7857142857
Unknown,Male,Alaska,2,"Juneau Borough",2110,.,.,.,0.7647058824
Unknown,Male,Alaska,2,"Kenai Peninsula Borough",2122,.,.,.,0.75
Unknown,Male,Alaska,2,"Ketchikan Gateway Borough",2130,.,.,.,0.6
Unknown,Male,Alaska,2,"Matanuska-Susitna Borough",2170,.,.,.,0.9333333333
Unknown,Male,Alaska,2,,2195,.,0,.,1
Unknown,Male,Alaska,2,,2198,.,0,.,1
Unknown,Male,Alaska,2,"Sitka Borough",2220,.,0,.,1
Unknown,Male,Alaska,2,"Valdez-Cordova Census Area",2261,.,0,.,1
Unknown,Male,Alaska,2,,2275,0,.,.,0
Unknown,Male,Alaska,2,"Yukon-Koyukuk Census Area",2290,.,0,.,1
Unknown,Male,Arizona,4,"Apache County",4001,.,0,.,1
Unknown,Male,Arizona,4,"Cochise County",4003,.,.,.,0.9411764706
Unknown,Male,Arizona,4,"Coconino County",4005,.,.,.,0.7647058824
Unknown,Male,Arizona,4,"Gila County",4007,.,.,.,0.8666666667
Unknown,Male,Arizona,4,"Graham County",4009,.,0,.,1
Unknown,Male,Arizona,4,"Greenlee County",4011,.,0,.,1
Unknown,Male,Arizona,4,"La Paz County",4012,.,0,.,1
Unknown,Male,Arizona,4,"Maricopa County",4013,632,107,739,0.8552097429
Unknown,Male,Arizona,4,"Mohave County",4015,.,.,.,0.862745098
Unknown,Male,Arizona,4,"Navajo County",4017,.,.,.,0.8333333333
Unknown,Male,Arizona,4,"Pima County",4019,163,40,203,0.802955665
Unknown,Male,Arizona,4,"Pinal County",4021,61,17,78,0.7820512821
Unknown,Male,Arizona,4,"Santa Cruz County",4023,.,0,.,1
Unknown,Male,Arizona,4,"Yavapai County",4025,.,.,.,0.8888888889
Unknown,Male,Arizona,4,"Yuma County",4027,.,.,.,0.85
Unknown,Male,Arizona,4,,4999,.,0,.,1
Unknown,Male,Arkansas,5,"Arkansas County",5001,.,0,.,1
Unknown,Male,Arkansas,5,"Ashley County",5003,.,0,.,1
Unknown,Male,Arkansas,5,"Baxter County",5005,.,.,.,0.9090909091
Unknown,Male,Arkansas,5,"Benton County",5007,.,.,.,0.9459459459
Unknown,Male,Arkansas,5,"Boone County",5009,.,0,.,1
Unknown,Male,Arkansas,5,"Carroll County",5015,.,.,.,0.75
Unknown,Male,Arkansas,5,"Clark County",5019,.,0,.,1
Unknown,Male,Arkansas,5,"Clay County",5021,.,0,.,1
Unknown,Male,Arkansas,5,"Cleburne County",5023,.,.,.,0.6
Unknown,Male,Arkansas,5,"Columbia County",5027,.,.,.,0.5
Unknown,Male,Arkansas,5,"Conway County",5029,.,0,.,1
Unknown,Male,Arkansas,5,"Craighead County",5031,.,.,.,0.875
Unknown,Male,Arkansas,5,"Crawford County",5033,.,.,.,0.75
Unknown,Male,Arkansas,5,"Crittenden County",5035,.,.,.,0.6666666667
Unknown,Male,Arkansas,5,"Cross County",5037,.,0,.,1
Unknown,Male,Arkansas,5,"Dallas County",5039,.,0,.,1
Unknown,Male,Arkansas,5,"Desha County",5041,.,0,.,1
Unknown,Male,Arkansas,5,"Drew County",5043,.,0,.,1
Unknown,Male,Arkansas,5,"Faulkner County",5045,.,.,.,0.7058823529
Unknown,Male,Arkansas,5,"Franklin County",5047,.,0,.,1
Unknown,Male,Arkansas,5,"Fulton County",5049,.,.,.,0.3333333333
Unknown,Male,Arkansas,5,"Garland County",5051,.,.,.,0.8636363636
Unknown,Male,Arkansas,5,"Grant County",5053,.,0,.,1
Unknown,Male,Arkansas,5,"Greene County",5055,.,0,.,1
Unknown,Male,Arkansas,5,"Hempstead County",5057,.,.,.,0.75
Unknown,Male,Arkansas,5,"Hot Spring County",5059,.,.,.,0.8
Unknown,Male,Arkansas,5,"Howard County",5061,0,.,.,0
Unknown,Male,Arkansas,5,"Independence County",5063,.,.,.,0.8
Unknown,Male,Arkansas,5,"Jackson County",5067,.,0,.,1
Unknown,Male,Arkansas,5,"Jefferson County",5069,.,.,.,0.875
Unknown,Male,Arkansas,5,"Johnson County",5071,.,0,.,1
Unknown,Male,Arkansas,5,"Lawrence County",5075,.,0,.,1
Unknown,Male,Arkansas,5,"Lee County",5077,.,0,.,1
Unknown,Male,Arkansas,5,"Lincoln County",5079,.,0,.,1
Unknown,Male,Arkansas,5,"Little River County",5081,.,0,.,1
Unknown,Male,Arkansas,5,"Logan County",5083,.,0,.,1
Unknown,Male,Arkansas,5,"Lonoke County",5085,.,.,.,0.6666666667
Unknown,Male,Arkansas,5,"Madison County",5087,.,.,.,0.3333333333
Unknown,Male,Arkansas,5,"Marion County",5089,.,.,.,0.6
Unknown,Male,Arkansas,5,"Miller County",5091,.,.,.,0.875
Unknown,Male,Arkansas,5,"Mississippi County",5093,.,.,.,0.6666666667
Unknown,Male,Arkansas,5,"Monroe County",5095,.,0,.,1
Unknown,Male,Arkansas,5,"Montgomery County",5097,.,0,.,1
Unknown,Male,Arkansas,5,"Nevada County",5099,.,.,.,0.5
Unknown,Male,Arkansas,5,"Newton County",5101,0,.,.,0
Unknown,Male,Arkansas,5,"Ouachita County",5103,.,0,.,1
Unknown,Male,Arkansas,5,"Perry County",5105,.,0,.,1
Unknown,Male,Arkansas,5,"Phillips County",5107,.,0,.,1
Unknown,Male,Arkansas,5,"Pike County",5109,.,0,.,1
Unknown,Male,Arkansas,5,"Poinsett County",5111,.,.,.,0.8
Unknown,Male,Arkansas,5,"Polk County",5113,.,0,.,1
Unknown,Male,Arkansas,5,"Pope County",5115,.,.,.,0.7777777778
Unknown,Male,Arkansas,5,"Prairie County",5117,.,0,.,1
Unknown,Male,Arkansas,5,"Pulaski County",5119,53,12,65,0.8153846154
Unknown,Male,Arkansas,5,"Randolph County",5121,.,0,.,1
Unknown,Male,Arkansas,5,"Saline County",5125,.,.,.,0.85
Unknown,Male,Arkansas,5,"Searcy County",5129,.,.,.,0.6666666667
Unknown,Male,Arkansas,5,"Sebastian County",5131,.,.,.,0.7692307692
Unknown,Male,Arkansas,5,"Sevier County",5133,0,.,.,0
Unknown,Male,Arkansas,5,"Sharp County",5135,.,.,.,0.5
Unknown,Male,Arkansas,5,"Stone County",5137,.,0,.,1
Unknown,Male,Arkansas,5,"Union County",5139,.,0,.,1
Unknown,Male,Arkansas,5,"Van Buren County",5141,0,.,.,0
Unknown,Male,Arkansas,5,"Washington County",5143,.,.,.,0.7575757576
Unknown,Male,Arkansas,5,"White County",5145,.,.,.,0.8571428571
Unknown,Male,Arkansas,5,"Woodruff County",5147,.,0,.,1
Unknown,Male,Arkansas,5,"Yell County",5149,.,0,.,1
Unknown,Male,California,6,"Alameda County",6001,169,42,211,0.8009478673
Unknown,Male,California,6,"Amador County",6005,14,0,14,1
Unknown,Male,California,6,"Butte County",6007,.,.,.,0.8
Unknown,Male,California,6,"Calaveras County",6009,.,.,.,0.7777777778
Unknown,Male,California,6,"Colusa County",6011,0,.,.,0
Unknown,Male,California,6,"Contra Costa County",6013,147,28,175,0.84
Unknown,Male,California,6,"Del Norte County",6015,.,0,.,1
Unknown,Male,California,6,"El Dorado County",6017,.,.,.,0.8780487805
Unknown,Male,California,6,"Fresno County",6019,61,13,74,0.8243243243
Unknown,Male,California,6,"Glenn County",6021,.,0,.,1
Unknown,Male,California,6,"Humboldt County",6023,.,.,.,0.8333333333
Unknown,Male,California,6,"Imperial County",6025,.,0,.,1
Unknown,Male,California,6,"Inyo County",6027,.,0,.,1
Unknown,Male,California,6,"Kern County",6029,.,.,.,0.8431372549
Unknown,Male,California,6,"Kings County",6031,.,.,.,0.7272727273
