RACE_NAME,SEX_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,58752,10525,69277,0.8480736752
Unknown,Female,29396,6502,35898,0.8188757034
"Non-Hispanic White",Male,1848276,363879,2212155,0.8355092659
"Non-Hispanic White",Female,2358958,495402,2854360,0.8264402528
"Black or African-American",Male,331099,125092,456191,0.725790294
"Black or African-American",Female,573853,194830,768683,0.7465405115
Other,Male,22918,5296,28214,0.81229177
Other,Female,24890,5898,30788,0.8084318566
"Asian/Pacific Islander",Male,90441,20731,111172,0.8135231893
"Asian/Pacific Islander",Female,133168,28673,161841,0.822832286
Hispanic,Male,166644,55257,221901,0.7509835467
Hispanic,Female,233703,73328,307031,0.7611706961
"American Indian / Alaska Native",Male,7700,3397,11097,0.6938812292
"American Indian / Alaska Native",Female,11654,5227,16881,0.6903619454
