RACE_NAME,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,"Autauga County",1001,.,.,.,0.8333333333
Unknown,Alabama,1,"Baldwin County",1003,.,.,.,0.9285714286
Unknown,Alabama,1,"Barbour County",1005,.,.,.,0.8333333333
Unknown,Alabama,1,"Blount County",1009,.,0,.,1
Unknown,Alabama,1,"Butler County",1013,.,0,.,1
Unknown,Alabama,1,"Calhoun County",1015,.,.,.,0.8571428571
Unknown,Alabama,1,"Chambers County",1017,.,0,.,1
Unknown,Alabama,1,"Cherokee County",1019,.,.,.,0.7
Unknown,Alabama,1,"Chilton County",1021,.,.,.,0.8
Unknown,Alabama,1,"Choctaw County",1023,.,0,.,1
Unknown,Alabama,1,"Clarke County",1025,.,.,.,0.4
Unknown,Alabama,1,"Clay County",1027,.,.,.,0.8333333333
Unknown,Alabama,1,"Cleburne County",1029,.,0,.,1
Unknown,Alabama,1,"Coffee County",1031,.,.,.,0.75
Unknown,Alabama,1,"Colbert County",1033,.,.,.,0.7857142857
Unknown,Alabama,1,"Conecuh County",1035,.,.,.,0.3333333333
Unknown,Alabama,1,"Coosa County",1037,.,.,.,0.8
Unknown,Alabama,1,"Covington County",1039,.,.,.,0.75
Unknown,Alabama,1,"Cullman County",1043,.,.,.,0.7857142857
Unknown,Alabama,1,"Dale County",1045,.,.,.,0.75
Unknown,Alabama,1,"Dallas County",1047,.,.,.,0.8571428571
Unknown,Alabama,1,"DeKalb County",1049,.,.,.,0.8888888889
Unknown,Alabama,1,"Elmore County",1051,.,.,.,0.9285714286
Unknown,Alabama,1,"Escambia County",1053,.,.,.,0.7
Unknown,Alabama,1,"Etowah County",1055,.,.,.,0.9333333333
Unknown,Alabama,1,"Fayette County",1057,.,.,.,0.75
Unknown,Alabama,1,"Franklin County",1059,.,.,.,0.8
Unknown,Alabama,1,"Geneva County",1061,.,0,.,1
Unknown,Alabama,1,"Greene County",1063,.,0,.,1
Unknown,Alabama,1,"Hale County",1065,.,0,.,1
Unknown,Alabama,1,"Henry County",1067,.,.,.,0.8333333333
Unknown,Alabama,1,"Houston County",1069,.,.,.,0.8333333333
Unknown,Alabama,1,"Jackson County",1071,.,.,.,0.8
Unknown,Alabama,1,"Jefferson County",1073,78,17,95,0.8210526316
Unknown,Alabama,1,"Lauderdale County",1077,.,.,.,0.8636363636
Unknown,Alabama,1,"Lawrence County",1079,.,0,.,1
Unknown,Alabama,1,"Lee County",1081,.,.,.,0.8214285714
Unknown,Alabama,1,"Limestone County",1083,.,0,.,1
Unknown,Alabama,1,"Lowndes County",1085,.,0,.,1
Unknown,Alabama,1,"Macon County",1087,.,.,.,0.6
Unknown,Alabama,1,"Madison County",1089,.,.,.,0.8548387097
Unknown,Alabama,1,"Marengo County",1091,.,0,.,1
Unknown,Alabama,1,"Marion County",1093,.,.,.,0.5
Unknown,Alabama,1,"Marshall County",1095,.,.,.,0.8461538462
Unknown,Alabama,1,"Mobile County",1097,.,.,.,0.8596491228
Unknown,Alabama,1,"Monroe County",1099,.,.,.,0.6666666667
Unknown,Alabama,1,"Montgomery County",1101,.,.,.,0.8461538462
Unknown,Alabama,1,"Morgan County",1103,.,.,.,0.8260869565
