RACE_NAME,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,699,134,833,0.8391356543
Unknown,Alaska,2,155,37,192,0.8072916667
Unknown,Arizona,3,1526,279,1805,0.8454293629
Unknown,Arkansas,4,451,122,573,0.7870855148
Unknown,California,5,8059,1593,9652,0.8349564857
Unknown,Colorado,6,1103,202,1305,0.845210728
Unknown,Connecticut,7,1832,270,2102,0.8715509039
Unknown,Delaware,8,476,87,563,0.8454706927
Unknown,"District of Columbia",9,119,27,146,0.8150684932
Unknown,Florida,10,6340,1325,7665,0.827136334
Unknown,Georgia,11,1832,423,2255,0.8124168514
Unknown,Hawaii,12,186,39,225,0.8266666667
Unknown,Idaho,13,298,57,355,0.8394366197
Unknown,Illinois,14,3682,610,4292,0.8578751165
Unknown,Indiana,15,2287,370,2657,0.8607452014
Unknown,Iowa,16,1126,170,1296,0.8688271605
Unknown,Kansas,17,793,155,948,0.8364978903
Unknown,Kentucky,18,945,186,1131,0.8355437666
Unknown,Louisiana,19,970,208,1178,0.8234295416
Unknown,Maine,20,464,72,536,0.8656716418
Unknown,Maryland,21,2319,497,2816,0.8235085227
Unknown,Massachusetts,22,3643,692,4335,0.8403690888
Unknown,Michigan,23,3372,616,3988,0.8455366098
Unknown,Minnesota,24,1133,226,1359,0.8337012509
Unknown,Mississippi,25,429,109,538,0.7973977695
Unknown,Missouri,26,1372,240,1612,0.8511166253
Unknown,Montana,27,308,66,374,0.8235294118
Unknown,Nebraska,28,687,109,796,0.8630653266
Unknown,Nevada,29,577,136,713,0.809256662
Unknown,"New Hampshire",30,680,107,787,0.8640406607
Unknown,"New Jersey",31,3689,711,4400,0.8384090909
Unknown,"New Mexico",32,348,55,403,0.8635235732
Unknown,"New York",33,8716,2052,10768,0.809435364
Unknown,"North Carolina",34,2472,471,2943,0.8399592253
Unknown,"North Dakota",35,202,32,234,0.8632478632
Unknown,Ohio,36,4642,820,5462,0.8498718418
Unknown,Oklahoma,37,567,134,701,0.8088445078
Unknown,Oregon,38,768,187,955,0.8041884817
Unknown,Pennsylvania,39,4185,715,4900,0.8540816327
Unknown,"Rhode Island",41,467,66,533,0.8761726079
Unknown,"South Carolina",42,1481,274,1755,0.8438746439
Unknown,"South Dakota",43,265,43,308,0.8603896104
Unknown,Tennessee,44,1502,279,1781,0.8433464346
Unknown,Texas,45,3486,733,4219,0.8262621474
Unknown,Utah,46,336,66,402,0.8358208955
Unknown,Vermont,47,503,70,573,0.8778359511
Unknown,Virginia,49,2217,358,2575,0.8609708738
Unknown,Washington,50,1929,422,2351,0.8205019141
Unknown,"West Virginia",51,282,47,329,0.8571428571
Unknown,Wisconsin,52,2002,285,2287,0.8753825973
Unknown,Wyoming,53,192,25,217,0.8847926267
"Non-Hispanic White",Alabama,1,76519,17610,94129,0.812916317
"Non-Hispanic White",Alaska,2,6428,1423,7851,0.8187492039
"Non-Hispanic White",Arizona,3,76758,16668,93426,0.8215914199
"Non-Hispanic White",Arkansas,4,58982,14508,73490,0.8025853858
"Non-Hispanic White",California,5,253123,56392,309515,0.817805276
"Non-Hispanic White",Colorado,6,41517,8859,50376,0.8241424488
"Non-Hispanic White",Connecticut,7,58282,9918,68200,0.8545747801
"Non-Hispanic White",Delaware,8,20800,3696,24496,0.8491182234
"Non-Hispanic White","District of Columbia",9,1661,321,1982,0.8380423814
"Non-Hispanic White",Florida,10,282081,61811,343892,0.8202604306
"Non-Hispanic White",Georgia,11,109956,26008,135964,0.8087140714
"Non-Hispanic White",Hawaii,12,3795,862,4657,0.8149022976
"Non-Hispanic White",Idaho,13,21745,4569,26314,0.8263661929
"Non-Hispanic White",Illinois,14,198821,36276,235097,0.8456977333
"Non-Hispanic White",Indiana,15,132623,25525,158148,0.8386005514
"Non-Hispanic White",Iowa,16,72238,10912,83150,0.868767288
"Non-Hispanic White",Kansas,17,55340,10057,65397,0.8462161873
