SEX_NAME,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Male,Alabama,1,47566,12231,59797,0.7954579661
Male,Alaska,2,4090,1031,5121,0.7986721343
Male,Arizona,3,44739,10649,55388,0.8077381382
Male,Arkansas,4,31498,8561,40059,0.7862902219
Male,California,5,219177,54798,273975,0.7999890501
Male,Colorado,6,23101,5319,28420,0.8128430683
Male,Connecticut,7,32400,6103,38503,0.8414928707
Male,Delaware,8,12766,2472,15238,0.8377739861
Male,"District of Columbia",9,4059,1396,5455,0.7440879927
Male,Florida,10,176533,41852,218385,0.8083568011
Male,Georgia,11,74905,21100,96005,0.7802197802
Male,Hawaii,12,8476,1735,10211,0.8300852022
Male,Idaho,13,10756,2195,12951,0.8305150181
Male,Illinois,14,114836,24430,139266,0.8245802996
Male,Indiana,15,64920,13219,78139,0.8308271158
Male,Iowa,16,32567,5140,37707,0.8636857878
Male,Kansas,17,26560,5031,31591,0.840745782
Male,Kentucky,18,45958,11093,57051,0.8055599376
Male,Louisiana,19,43986,13045,57031,0.7712647507
Male,Maine,20,12386,1919,14305,0.865851101
Male,Maryland,21,50657,11571,62228,0.8140547663
Male,Massachusetts,22,65502,12028,77530,0.8448600542
Male,Michigan,23,88328,19996,108324,0.8154056349
Male,Minnesota,24,31830,5575,37405,0.8509557546
Male,Mississippi,25,36375,11217,47592,0.7643091276
Male,Missouri,26,56635,11923,68558,0.8260888591
Male,Montana,27,8688,1818,10506,0.8269560251
Male,Nebraska,28,17328,3090,20418,0.8486629445
Male,Nevada,29,17409,4570,21979,0.7920742527
Male,"New Hampshire",30,13838,2272,16110,0.8589695841
Male,"New Jersey",31,87763,19586,107349,0.8175483703
Male,"New Mexico",32,11886,3307,15193,0.7823339696
Male,"New York",33,144803,35465,180268,0.8032651386
Male,"North Carolina",34,96377,22871,119248,0.8082064269
Male,"North Dakota",35,6689,1035,7724,0.8660020715
Male,Ohio,36,97962,20975,118937,0.823646132
Male,Oklahoma,37,31623,7927,39550,0.7995701643
Male,Oregon,38,22683,4887,27570,0.822742111
Male,Pennsylvania,39,105886,21074,126960,0.834010712
Male,"Rhode Island",41,8384,1477,9861,0.8502180306
Male,"South Carolina",42,56776,14074,70850,0.8013549753
Male,"South Dakota",43,8143,1476,9619,0.8465536958
Male,Tennessee,44,61466,14223,75689,0.8120863005
Male,Texas,45,167698,46138,213836,0.7842365177
Male,Utah,46,10457,2374,12831,0.8149793469
Male,Vermont,47,6905,1202,8107,0.8517330702
Male,Virginia,49,67685,14347,82032,0.8251048371
Male,Washington,50,41643,9107,50750,0.8205517241
Male,"West Virginia",51,18495,4073,22568,0.8195232187
Male,Wisconsin,52,42909,7350,50259,0.853757536
Male,Wyoming,53,4454,990,5444,0.8181484203
Female,Alabama,1,66509,17726,84235,0.7895649077
Female,Alaska,2,4833,1217,6050,0.7988429752
Female,Arizona,3,51320,12983,64303,0.7980965118
Female,Arkansas,4,42853,12197,55050,0.7784377838
Female,California,5,280825,70312,351137,0.7997590684
Female,Colorado,6,28409,6525,34934,0.8132192134
Female,Connecticut,7,43667,8428,52095,0.838218639
Female,Delaware,8,16497,3582,20079,0.8216046616
Female,"District of Columbia",9,6395,2055,8450,0.7568047337
Female,Florida,10,216295,55861,272156,0.7947463954
Female,Georgia,11,103557,29663,133220,0.7773382375
Female,Hawaii,12,10941,2307,13248,0.8258605072
Female,Idaho,13,12891,2891,15782,0.8168166265
Female,Illinois,14,162648,35982,198630,0.8188491164
Female,Indiana,15,90399,19312,109711,0.8239738951
Female,Iowa,16,44525,7036,51561,0.8635402727
Female,Kansas,17,36603,7160,43763,0.8363914722
Female,Kentucky,18,57836,15307,73143,0.7907250181
Female,Louisiana,19,60706,18673,79379,0.7647614608
Female,Maine,20,16050,2501,18551,0.8651824699
Female,Maryland,21,74341,17861,92202,0.8062840285
Female,Massachusetts,22,86260,16130,102390,0.8424650845
Female,Michigan,23,122503,28581,151084,0.8108270896
Female,Minnesota,24,42599,7480,50079,0.8506359951
Female,Mississippi,25,52619,16300,68919,0.7634904743
Female,Missouri,26,76987,16927,93914,0.8197606321
Female,Montana,27,10713,2136,12849,0.8337613822
Female,Nebraska,28,24057,4446,28503,0.8440164193
Female,Nevada,29,21920,6157,28077,0.7807101898
Female,"New Hampshire",30,17041,2969,20010,0.8516241879
Female,"New Jersey",31,121504,27967,149471,0.812893471
Female,"New Mexico",32,14664,4278,18942,0.7741526766
Female,"New York",33,202278,50553,252831,0.8000522088
Female,"North Carolina",34,133729,32660,166389,0.8037129858
Female,"North Dakota",35,9295,1370,10665,0.8715424285
Female,Ohio,36,128754,29268,158022,0.8147852831
Female,Oklahoma,37,43495,11789,55284,0.7867556617
Female,Oregon,38,27813,6168,33981,0.8184868014
Female,Pennsylvania,39,139783,27977,167760,0.8332319981
Female,"Rhode Island",41,11114,1967,13081,0.8496292332
Female,"South Carolina",42,76840,20038,96878,0.7931625343
Female,"South Dakota",43,11056,1915,12971,0.8523629635
Female,Tennessee,44,80945,20034,100979,0.8016023134
Female,Texas,45,223484,65930,289414,0.7721948489
Female,Utah,46,12379,3126,15505,0.7983876169
Female,Vermont,47,8666,1360,10026,0.864352683
Female,Virginia,49,91154,21179,112333,0.8114623486
Female,Washington,50,52554,11786,64340,0.8168169102
Female,"West Virginia",51,23242,5476,28718,0.8093181976
Female,Wisconsin,52,54571,9209,63780,0.8556130448
Female,Wyoming,53,5618,1296,6914,0.8125542378
