AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,34,13,47,0.7234042553
_18-39,Alaska,2,.,.,.,0.7142857143
_18-39,Arizona,4,.,.,.,0.7142857143
_18-39,Arkansas,5,18,13,31,0.5806451613
_18-39,California,6,127,30,157,0.8089171975
_18-39,Colorado,8,.,.,.,0.7857142857
_18-39,Connecticut,9,.,.,.,0.8148148148
_18-39,Delaware,10,.,0,.,1
_18-39,"District of Columbia",11,.,.,.,0.3333333333
_18-39,Florida,12,128,41,169,0.7573964497
_18-39,Georgia,13,55,26,81,0.6790123457
_18-39,Hawaii,15,.,.,.,0.5
_18-39,Idaho,16,.,.,.,0.7272727273
_18-39,Illinois,17,60,22,82,0.7317073171
_18-39,Indiana,18,45,13,58,0.775862069
_18-39,Iowa,19,.,.,.,0.8235294118
_18-39,Kansas,20,.,.,.,0.7586206897
_18-39,Kentucky,21,44,14,58,0.7586206897
_18-39,Louisiana,22,28,19,47,0.5957446809
_18-39,Maine,23,.,.,.,0.76
_18-39,Maryland,24,.,.,.,0.8235294118
_18-39,Massachusetts,25,43,13,56,0.7678571429
_18-39,Michigan,26,77,14,91,0.8461538462
_18-39,Minnesota,27,.,.,.,0.7916666667
_18-39,Mississippi,28,27,12,39,0.6923076923
_18-39,Missouri,29,38,12,50,0.76
_18-39,Montana,30,.,.,.,0.8888888889
_18-39,Nebraska,31,.,.,.,0.8181818182
_18-39,Nevada,32,.,.,.,0.8888888889
_18-39,"New Hampshire",33,.,.,.,0.9166666667
_18-39,"New Jersey",34,46,18,64,0.71875
_18-39,"New Mexico",35,.,.,.,0.6470588235
_18-39,"New York",36,92,37,129,0.7131782946
_18-39,"North Carolina",37,76,29,105,0.7238095238
_18-39,"North Dakota",38,.,.,.,0.5
_18-39,Ohio,39,74,16,90,0.8222222222
_18-39,Oklahoma,40,.,.,.,0.7826086957
_18-39,Oregon,41,.,.,.,0.7307692308
_18-39,Pennsylvania,42,89,23,112,0.7946428571
_18-39,"Rhode Island",44,.,0,.,1
_18-39,"South Carolina",45,46,18,64,0.71875
_18-39,"South Dakota",46,.,.,.,0.875
_18-39,Tennessee,47,48,23,71,0.676056338
_18-39,Texas,48,115,46,161,0.7142857143
_18-39,Utah,49,.,.,.,0.7647058824
_18-39,Vermont,50,.,.,.,0.75
_18-39,Virginia,51,64,20,84,0.7619047619
_18-39,Washington,53,.,.,.,0.7333333333
_18-39,"West Virginia",54,.,.,.,0.8333333333
_18-39,Wisconsin,55,.,.,.,0.7777777778
_18-39,Wyoming,56,.,.,.,0.5714285714
_40-64,Alabama,1,986,323,1309,0.7532467532
_40-64,Alaska,2,72,19,91,0.7912087912
_40-64,Arizona,4,575,163,738,0.7791327913
_40-64,Arkansas,5,580,177,757,0.7661822985
_40-64,California,6,2779,738,3517,0.7901620699
_40-64,Colorado,8,594,106,700,0.8485714286
_40-64,Connecticut,9,657,153,810,0.8111111111
_40-64,Delaware,10,205,52,257,0.7976653696
_40-64,"District of Columbia",11,105,44,149,0.7046979866
_40-64,Florida,12,2658,823,3481,0.7635736857
_40-64,Georgia,13,1526,480,2006,0.7607178465
_40-64,Hawaii,15,109,25,134,0.8134328358
_40-64,Idaho,16,233,55,288,0.8090277778
_40-64,Illinois,17,1655,420,2075,0.7975903614
_40-64,Indiana,18,1428,343,1771,0.8063241107
_40-64,Iowa,19,463,93,556,0.8327338129
_40-64,Kansas,20,396,103,499,0.7935871743
_40-64,Kentucky,21,1150,295,1445,0.7958477509
_40-64,Louisiana,22,801,282,1083,0.7396121884
_40-64,Maine,23,486,74,560,0.8678571429
_40-64,Maryland,24,855,259,1114,0.7675044883
_40-64,Massachusetts,25,1296,229,1525,0.8498360656
_40-64,Michigan,26,2107,532,2639,0.7984084881
_40-64,Minnesota,27,541,100,641,0.8439937598
_40-64,Mississippi,28,700,240,940,0.7446808511
_40-64,Missouri,29,1082,268,1350,0.8014814815
_40-64,Montana,30,121,24,145,0.8344827586
_40-64,Nebraska,31,206,56,262,0.786259542
_40-64,Nevada,32,303,103,406,0.7463054187
_40-64,"New Hampshire",33,189,36,225,0.84
_40-64,"New Jersey",34,1132,259,1391,0.8138030194
_40-64,"New Mexico",35,231,60,291,0.793814433
_40-64,"New York",36,2467,553,3020,0.8168874172
_40-64,"North Carolina",37,1887,525,2412,0.7823383085
_40-64,"North Dakota",38,57,23,80,0.7125
_40-64,Ohio,39,2034,455,2489,0.8171956609
_40-64,Oklahoma,40,635,212,847,0.7497048406
_40-64,Oregon,41,510,105,615,0.8292682927
_40-64,Pennsylvania,42,1941,431,2372,0.818296796
_40-64,"Rhode Island",44,125,24,149,0.8389261745
_40-64,"South Carolina",45,1002,302,1304,0.768404908
_40-64,"South Dakota",46,90,19,109,0.8256880734
_40-64,Tennessee,47,1353,382,1735,0.7798270893
_40-64,Texas,48,2220,755,2975,0.7462184874
_40-64,Utah,49,200,49,249,0.8032128514
_40-64,Vermont,50,168,27,195,0.8615384615
_40-64,Virginia,51,1166,300,1466,0.795361528
_40-64,Washington,53,682,124,806,0.8461538462
_40-64,"West Virginia",54,639,154,793,0.8058007566
_40-64,Wisconsin,55,789,177,966,0.8167701863
_40-64,Wyoming,56,74,11,85,0.8705882353
_65-69,Alabama,1,1346,285,1631,0.8252605763
_65-69,Alaska,2,360,77,437,0.823798627
_65-69,Arizona,4,1949,348,2297,0.8484980409
_65-69,Arkansas,5,839,149,988,0.8491902834
_65-69,California,6,7316,1271,8587,0.8519855596
_65-69,Colorado,8,1517,216,1733,0.8753606463
_65-69,Connecticut,9,1380,181,1561,0.8840486867
_65-69,Delaware,10,721,101,822,0.8771289538
_65-69,"District of Columbia",11,122,41,163,0.7484662577
_65-69,Florida,12,6528,1227,7755,0.8417794971
_65-69,Georgia,13,2619,590,3209,0.8161421003
_65-69,Hawaii,15,333,54,387,0.8604651163
_65-69,Idaho,16,589,100,689,0.854862119
_65-69,Illinois,17,4496,738,5234,0.8589988536
_65-69,Indiana,18,2823,516,3339,0.8454627134
_65-69,Iowa,19,1417,146,1563,0.9065898912
_65-69,Kansas,20,975,139,1114,0.8752244165
_65-69,Kentucky,21,1686,361,2047,0.8236443576
_65-69,Louisiana,22,1202,287,1489,0.8072531901
_65-69,Maine,23,660,98,758,0.8707124011
_65-69,Maryland,24,2255,376,2631,0.8570885595
_65-69,Massachusetts,25,2962,343,3305,0.8962178517
_65-69,Michigan,26,4218,691,4909,0.859238134
_65-69,Minnesota,27,1488,148,1636,0.9095354523
_65-69,Mississippi,28,907,196,1103,0.8223028105
_65-69,Missouri,29,1972,329,2301,0.8570186875
_65-69,Montana,30,474,60,534,0.8876404494
_65-69,Nebraska,31,778,96,874,0.8901601831
_65-69,Nevada,32,783,139,922,0.8492407809
_65-69,"New Hampshire",33,639,73,712,0.8974719101
_65-69,"New Jersey",34,3171,546,3717,0.8531073446
_65-69,"New Mexico",35,503,87,590,0.8525423729
_65-69,"New York",36,5898,859,6757,0.8728725766
_65-69,"North Carolina",37,3525,576,4101,0.8595464521
_65-69,"North Dakota",38,264,30,294,0.8979591837
_65-69,Ohio,39,4309,692,5001,0.8616276745
_65-69,Oklahoma,40,1394,239,1633,0.8536436007
_65-69,Oregon,41,1426,195,1621,0.8797038865
_65-69,Pennsylvania,42,4746,684,5430,0.8740331492
_65-69,"Rhode Island",44,266,52,318,0.8364779874
_65-69,"South Carolina",45,2293,421,2714,0.8448784083
_65-69,"South Dakota",46,421,51,472,0.8919491525
_65-69,Tennessee,47,2383,471,2854,0.8349684653
_65-69,Texas,48,5550,1205,6755,0.8216136195
_65-69,Utah,49,574,121,695,0.8258992806
_65-69,Vermont,50,428,48,476,0.8991596639
_65-69,Virginia,51,2799,419,3218,0.8697949037
_65-69,Washington,53,1938,270,2208,0.8777173913
_65-69,"West Virginia",54,968,146,1114,0.868940754
_65-69,Wisconsin,55,2238,242,2480,0.9024193548
_65-69,Wyoming,56,298,38,336,0.8869047619
_70-74,Alabama,1,3007,587,3594,0.8366722315
_70-74,Alaska,2,608,83,691,0.8798842258
_70-74,Arizona,4,4100,654,4754,0.8624316365
_70-74,Arkansas,5,1432,267,1699,0.8428487345
_70-74,California,6,14208,2314,16522,0.8599443167
_70-74,Colorado,8,2659,336,2995,0.8878130217
_70-74,Connecticut,9,3216,357,3573,0.9000839631
_70-74,Delaware,10,1435,161,1596,0.899122807
_70-74,"District of Columbia",11,237,37,274,0.8649635036
_70-74,Florida,12,14049,2449,16498,0.8515577646
_70-74,Georgia,13,4951,989,5940,0.8335016835
_70-74,Hawaii,15,598,84,682,0.8768328446
_70-74,Idaho,16,942,139,1081,0.8714153562
_70-74,Illinois,17,8567,1164,9731,0.8803822834
_70-74,Indiana,18,4679,746,5425,0.8624884793
_70-74,Iowa,19,2168,192,2360,0.9186440678
_70-74,Kansas,20,1444,209,1653,0.8735632184
_70-74,Kentucky,21,2782,498,3280,0.8481707317
_70-74,Louisiana,22,2010,417,2427,0.8281829419
_70-74,Maine,23,1224,132,1356,0.9026548673
_70-74,Maryland,24,4213,606,4819,0.8742477692
_70-74,Massachusetts,25,5791,624,6415,0.9027279813
_70-74,Michigan,26,7458,1138,8596,0.8676128432
_70-74,Minnesota,27,2327,190,2517,0.9245133095
_70-74,Mississippi,28,1503,310,1813,0.8290126862
_70-74,Missouri,29,3366,534,3900,0.8630769231
_70-74,Montana,30,684,76,760,0.9
_70-74,Nebraska,31,1256,163,1419,0.8851303735
_70-74,Nevada,32,1441,298,1739,0.8286371478
_70-74,"New Hampshire",33,1295,136,1431,0.9049615653
_70-74,"New Jersey",34,7089,1108,8197,0.8648285958
_70-74,"New Mexico",35,844,151,995,0.848241206
_70-74,"New York",36,11683,1684,13367,0.8740181043
_70-74,"North Carolina",37,6639,1023,7662,0.8664839468
_70-74,"North Dakota",38,393,37,430,0.9139534884
_70-74,Ohio,39,7306,1089,8395,0.8702799285
_70-74,Oklahoma,40,2213,403,2616,0.8459480122
_70-74,Oregon,41,2245,289,2534,0.8859510655
_70-74,Pennsylvania,42,8164,1159,9323,0.8756837928
_70-74,"Rhode Island",44,530,58,588,0.9013605442
_70-74,"South Carolina",45,4230,723,4953,0.8540278619
_70-74,"South Dakota",46,596,73,669,0.8908819133
_70-74,Tennessee,47,4206,748,4954,0.8490109003
_70-74,Texas,48,10936,2148,13084,0.8358300214
_70-74,Utah,49,1059,180,1239,0.8547215496
_70-74,Vermont,50,742,68,810,0.9160493827
_70-74,Virginia,51,5073,725,5798,0.8749568817
_70-74,Washington,53,3629,473,4102,0.8846903949
_70-74,"West Virginia",54,1446,236,1682,0.8596908442
_70-74,Wisconsin,55,3358,326,3684,0.9115092291
_70-74,Wyoming,56,405,50,455,0.8901098901
_75-79,Alabama,1,3086,538,3624,0.8515452539
_75-79,Alaska,2,601,81,682,0.8812316716
_75-79,Arizona,4,4586,789,5375,0.8532093023
_75-79,Arkansas,5,1499,299,1798,0.8337041157
_75-79,California,6,17242,2826,20068,0.8591787921
_75-79,Colorado,8,2610,400,3010,0.8671096346
_75-79,Connecticut,9,3882,446,4328,0.8969500924
