ENTLMT_RSN_CURR,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Aged,Alabama,1,12479,2248,14727,0.8473551979
Aged,Alaska,2,2338,358,2696,0.8672106825
Aged,Arizona,3,17356,2984,20340,0.853294002
Aged,Arkansas,4,6142,1161,7303,0.8410242366
Aged,California,5,72970,11856,84826,0.8602315328
Aged,Colorado,6,10866,1596,12462,0.8719306692
Aged,Connecticut,7,16356,2020,18376,0.8900740096
Aged,Delaware,8,5902,792,6694,0.8816850911
Aged,"District of Columbia",9,1098,208,1306,0.8407350689
Aged,Florida,10,68101,12342,80443,0.8465745932
Aged,Georgia,11,21421,4070,25491,0.8403358048
Aged,Hawaii,12,2889,383,3272,0.8829462103
Aged,Idaho,13,4099,661,4760,0.8611344538
Aged,Illinois,14,39107,5846,44953,0.8699530621
Aged,Indiana,15,20882,3370,24252,0.8610423883
Aged,Iowa,16,9077,982,10059,0.9023759817
Aged,Kansas,17,6360,979,7339,0.8666030794
Aged,Kentucky,18,12622,2147,14769,0.8546279369
Aged,Louisiana,19,8744,1773,10517,0.831415803
Aged,Maine,20,6011,685,6696,0.8977001195
Aged,Maryland,21,18905,2849,21754,0.8690355797
Aged,Massachusetts,22,26300,2936,29236,0.8995758654
Aged,Michigan,23,36388,5463,41851,0.8694654847
Aged,Minnesota,24,11200,1077,12277,0.9122749857
Aged,Mississippi,25,6408,1343,7751,0.8267320346
Aged,Missouri,26,15311,2452,17763,0.8619602545
Aged,Montana,27,2885,381,3266,0.8833435395
Aged,Nebraska,28,5221,753,5974,0.8739537998
Aged,Nevada,29,6218,1215,7433,0.8365397551
Aged,"New Hampshire",30,5303,621,5924,0.895172181
Aged,"New Jersey",31,34650,5462,40112,0.8638312724
Aged,"New Mexico",32,3667,614,4281,0.8565755665
Aged,"New York",33,58695,8127,66822,0.8783783784
Aged,"North Carolina",34,29638,4364,34002,0.8716546086
Aged,"North Dakota",35,1723,201,1924,0.8955301455
Aged,Ohio,36,31618,4887,36505,0.8661279277
Aged,Oklahoma,37,9989,1766,11755,0.849766057
Aged,Oregon,38,9660,1324,10984,0.8794610342
Aged,Pennsylvania,39,35102,4988,40090,0.8755799451
Aged,"Rhode Island",41,2354,303,2657,0.8859616108
Aged,"South Carolina",42,17199,3005,20204,0.8512670758
Aged,"South Dakota",43,2410,274,2684,0.8979135618
Aged,Tennessee,44,17682,3279,20961,0.8435666237
Aged,Texas,45,52991,10200,63191,0.8385846086
Aged,Utah,46,4745,885,5630,0.8428063943
Aged,Vermont,47,3315,359,3674,0.9022863364
Aged,Virginia,49,22736,3367,26103,0.8710109949
Aged,Washington,50,16578,2152,18730,0.8851041111
Aged,"West Virginia",51,5848,978,6826,0.8567242895
Aged,Wisconsin,52,13814,1461,15275,0.9043535188
Aged,Wyoming,53,1728,223,1951,0.8856996412
Disabled,Alabama,1,1010,330,1340,0.7537313433
Disabled,Alaska,2,76,20,96,0.7916666667
Disabled,Arizona,3,595,169,764,0.7787958115
Disabled,Arkansas,4,596,189,785,0.7592356688
Disabled,California,5,2855,744,3599,0.79327591
Disabled,Colorado,6,621,112,733,0.8472032742
Disabled,Connecticut,7,674,157,831,0.8110709988
Disabled,Delaware,8,211,51,262,0.8053435115
Disabled,"District of Columbia",9,105,45,150,0.7
Disabled,Florida,10,2754,846,3600,0.765
Disabled,Georgia,11,1556,488,2044,0.7612524462
Disabled,Hawaii,12,108,27,135,0.8
Disabled,Idaho,13,238,57,295,0.806779661
Disabled,Illinois,14,1697,435,2132,0.7959662289
Disabled,Indiana,15,1467,354,1821,0.805601318
Disabled,Iowa,16,490,97,587,0.8347529813
Disabled,Kansas,17,414,109,523,0.7915869981
Disabled,Kentucky,18,1188,305,1493,0.7957133289
Disabled,Louisiana,19,812,288,1100,0.7381818182
Disabled,Maine,20,499,79,578,0.8633217993
Disabled,Maryland,21,889,265,1154,0.7703639515
Disabled,Massachusetts,22,1334,241,1575,0.846984127
Disabled,Michigan,23,2170,533,2703,0.8028116907
Disabled,Minnesota,24,578,108,686,0.8425655977
Disabled,Mississippi,25,716,247,963,0.743509865
Disabled,Missouri,26,1114,275,1389,0.8020158387
Disabled,Montana,27,127,24,151,0.8410596026
Disabled,Nebraska,28,213,58,271,0.7859778598
Disabled,Nevada,29,310,102,412,0.7524271845
Disabled,"New Hampshire",30,200,37,237,0.8438818565
Disabled,"New Jersey",31,1166,274,1440,0.8097222222
Disabled,"New Mexico",32,240,65,305,0.7868852459
Disabled,"New York",33,2534,576,3110,0.8147909968
Disabled,"North Carolina",34,1940,544,2484,0.7809983897
Disabled,"North Dakota",35,58,24,82,0.7073170732
Disabled,Ohio,36,2096,468,2564,0.8174726989
Disabled,Oklahoma,37,662,218,880,0.7522727273
Disabled,Oregon,38,524,108,632,0.8291139241
Disabled,Pennsylvania,39,2019,447,2466,0.8187347932
Disabled,"Rhode Island",41,128,24,152,0.8421052632
Disabled,"South Carolina",42,1037,310,1347,0.7698589458
Disabled,"South Dakota",43,97,20,117,0.8290598291
Disabled,Tennessee,44,1384,397,1781,0.7770915216
Disabled,Texas,45,2300,780,3080,0.7467532468
Disabled,Utah,46,213,50,263,0.8098859316
Disabled,Vermont,47,174,29,203,0.8571428571
Disabled,Virginia,49,1214,314,1528,0.7945026178
Disabled,Washington,50,703,130,833,0.843937575
Disabled,"West Virginia",51,646,156,802,0.8054862843
Disabled,Wisconsin,52,820,183,1003,0.8175473579
Disabled,Wyoming,53,77,14,91,0.8461538462
ESRD,Alabama,1,.,.,.,0.6666666667
ESRD,Alaska,2,.,0,.,1
ESRD,Arizona,3,.,.,.,0.5
ESRD,Arkansas,4,.,.,.,0.5
ESRD,California,5,45,22,67,0.671641791
ESRD,Colorado,6,.,.,.,0.8571428571
ESRD,Connecticut,7,.,.,.,0.5
ESRD,"District of Columbia",9,.,.,.,0.6666666667
ESRD,Florida,10,22,12,34,0.6470588235
ESRD,Georgia,11,12,12,24,0.5
ESRD,Hawaii,12,.,0,.,1
ESRD,Idaho,13,.,.,.,0.5
ESRD,Illinois,14,.,.,.,0.8
ESRD,Indiana,15,.,.,.,0.5
ESRD,Iowa,16,.,.,.,0.5
ESRD,Kansas,17,.,0,.,1
ESRD,Kentucky,18,.,.,.,0.75
ESRD,Louisiana,19,.,.,.,0.5
ESRD,Maine,20,.,0,.,1
ESRD,Maryland,21,.,.,.,0.8
ESRD,Massachusetts,22,.,0,.,1
ESRD,Michigan,23,.,.,.,0.5
ESRD,Minnesota,24,0,.,.,0
ESRD,Mississippi,25,.,0,.,1
ESRD,Missouri,26,.,.,.,0.4
ESRD,Montana,27,.,0,.,1
ESRD,Nebraska,28,.,0,.,1
ESRD,Nevada,29,.,.,.,0.7
ESRD,"New Jersey",31,.,.,.,0.7777777778
ESRD,"New Mexico",32,.,0,.,1
ESRD,"New York",33,22,11,33,0.6666666667
ESRD,"North Carolina",34,.,.,.,0.7
ESRD,Ohio,36,.,.,.,0.7142857143
ESRD,Oklahoma,37,.,.,.,0.8333333333
ESRD,Oregon,38,.,.,.,0.5
ESRD,Pennsylvania,39,.,.,.,0.7
ESRD,"South Carolina",42,.,.,.,0.5
ESRD,Tennessee,44,.,.,.,0.7142857143
ESRD,Texas,45,34,18,52,0.6538461538
ESRD,Utah,46,0,.,.,0
ESRD,Virginia,49,.,.,.,0.6666666667
ESRD,Washington,50,.,.,.,0.5
ESRD,"West Virginia",51,.,.,.,0.75
ESRD,Wisconsin,52,.,.,.,0.5
ESRD,Wyoming,53,.,0,.,1
"Disabled and ESRD",Alabama,1,.,.,.,0.5833333333
"Disabled and ESRD",Alaska,2,0,.,.,0
"Disabled and ESRD",Arizona,3,.,.,.,0.75
"Disabled and ESRD",Arkansas,4,.,0,.,1
"Disabled and ESRD",California,5,.,.,.,0.875
"Disabled and ESRD",Colorado,6,.,.,.,0.5
"Disabled and ESRD",Connecticut,7,.,0,.,1
"Disabled and ESRD",Delaware,8,.,.,.,0.5
"Disabled and ESRD",Florida,10,.,.,.,0.6666666667
"Disabled and ESRD",Georgia,11,.,.,.,0.619047619
"Disabled and ESRD",Hawaii,12,.,0,.,1
"Disabled and ESRD",Idaho,13,.,0,.,1
"Disabled and ESRD",Illinois,14,.,.,.,0.6
"Disabled and ESRD",Indiana,15,.,.,.,0.8333333333
"Disabled and ESRD",Iowa,16,.,.,.,0.5
"Disabled and ESRD",Kansas,17,.,0,.,1
"Disabled and ESRD",Kentucky,18,.,.,.,0.5
"Disabled and ESRD",Louisiana,19,.,.,.,0.6875
"Disabled and ESRD",Maine,20,.,.,.,0.75
"Disabled and ESRD",Maryland,21,.,.,.,0.5
"Disabled and ESRD",Massachusetts,22,.,.,.,0.5
"Disabled and ESRD",Michigan,23,.,.,.,0.4545454545
"Disabled and ESRD",Minnesota,24,0,.,.,0
"Disabled and ESRD",Mississippi,25,.,.,.,0.4444444444
"Disabled and ESRD",Missouri,26,.,.,.,0.8
"Disabled and ESRD",Montana,27,0,.,.,0
"Disabled and ESRD",Nevada,29,.,0,.,1
"Disabled and ESRD","New Jersey",31,.,.,.,0.8
"Disabled and ESRD","New Mexico",32,.,.,.,0.5
"Disabled and ESRD","New York",33,.,.,.,0.5714285714
"Disabled and ESRD","North Carolina",34,.,.,.,0.7142857143
"Disabled and ESRD",Ohio,36,.,.,.,0.8571428571
"Disabled and ESRD",Oklahoma,37,.,.,.,0.5714285714
"Disabled and ESRD",Oregon,38,.,.,.,0.5
"Disabled and ESRD",Pennsylvania,39,.,.,.,0.6666666667
"Disabled and ESRD","South Carolina",42,.,.,.,0.5833333333
"Disabled and ESRD",Tennessee,44,.,.,.,0.625
"Disabled and ESRD",Texas,45,.,.,.,0.6
"Disabled and ESRD",Utah,46,.,0,.,1
"Disabled and ESRD",Virginia,49,.,.,.,0.7692307692
"Disabled and ESRD","West Virginia",51,.,0,.,1
"Disabled and ESRD",Wisconsin,52,.,.,.,0.6666666667
