RACE_NAME,AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,_18-39,99,25,124,0.7983870968
Unknown,_40-64,282,75,357,0.7899159664
Unknown,_65-69,3865,492,4357,0.8870782649
Unknown,_70-74,8778,1049,9827,0.8932532818
Unknown,_75-79,1201,183,1384,0.8677745665
Unknown,_80-84,325,38,363,0.8953168044
Unknown,_85+,304,37,341,0.8914956012
"Non-Hispanic White",_18-39,1087,281,1368,0.7945906433
"Non-Hispanic White",_40-64,30733,6840,37573,0.8179543821
"Non-Hispanic White",_65-69,83349,12624,95973,0.8684630052
"Non-Hispanic White",_70-74,156156,22287,178443,0.8751029741
"Non-Hispanic White",_75-79,183928,26562,210490,0.873808732
"Non-Hispanic White",_80-84,154313,23658,177971,0.8670682302
"Non-Hispanic White",_85+,162636,24471,187107,0.8692138723
"Black or African-American",_18-39,405,214,619,0.6542810985
"Black or African-American",_40-64,9017,3425,12442,0.7247227134
"Black or African-American",_65-69,7141,2251,9392,0.7603279387
"Black or African-American",_70-74,9867,2764,12631,0.7811733038
"Black or African-American",_75-79,9014,2318,11332,0.7954465231
"Black or African-American",_80-84,7141,1699,8840,0.8078054299
"Black or African-American",_85+,7245,1596,8841,0.8194774347
Other,_18-39,.,.,.,0.8333333333
Other,_40-64,174,37,211,0.8246445498
Other,_65-69,468,72,540,0.8666666667
Other,_70-74,1057,196,1253,0.843575419
Other,_75-79,1621,272,1893,0.8563127311
Other,_80-84,1302,214,1516,0.8588390501
Other,_85+,1039,160,1199,0.8665554629
"Asian/Pacific Islander",_18-39,25,12,37,0.6756756757
"Asian/Pacific Islander",_40-64,518,121,639,0.8106416275
"Asian/Pacific Islander",_65-69,1586,296,1882,0.8427205101
"Asian/Pacific Islander",_70-74,3342,588,3930,0.8503816794
"Asian/Pacific Islander",_75-79,4068,673,4741,0.8580468256
"Asian/Pacific Islander",_80-84,4247,624,4871,0.8718948881
"Asian/Pacific Islander",_85+,4964,634,5598,0.8867452662
Hispanic,_18-39,196,66,262,0.7480916031
Hispanic,_40-64,3357,1005,4362,0.7696011004
Hispanic,_65-69,4200,999,5199,0.807847663
Hispanic,_70-74,7058,1720,8778,0.8040555935
Hispanic,_75-79,8155,1866,10021,0.8137910388
Hispanic,_80-84,7697,1717,9414,0.8176120671
Hispanic,_85+,8600,1692,10292,0.8356004664
"American Indian / Alaska Native",_18-39,.,.,.,0.8461538462
"American Indian / Alaska Native",_40-64,236,76,312,0.7564102564
"American Indian / Alaska Native",_65-69,226,63,289,0.7820069204
"American Indian / Alaska Native",_70-74,368,96,464,0.7931034483
"American Indian / Alaska Native",_75-79,350,81,431,0.8120649652
"American Indian / Alaska Native",_80-84,301,61,362,0.8314917127
"American Indian / Alaska Native",_85+,279,59,338,0.825443787
