RACE_NAME,ENTLMT_RSN_CURR,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,Alabama,1,107,12,119,0.8991596639
Unknown,Aged,Alaska,2,.,.,.,0.8863636364
Unknown,Aged,Arizona,3,281,39,320,0.878125
Unknown,Aged,Arkansas,4,.,.,.,0.9322033898
Unknown,Aged,California,5,1123,147,1270,0.8842519685
Unknown,Aged,Colorado,6,248,36,284,0.8732394366
Unknown,Aged,Connecticut,7,413,43,456,0.9057017544
Unknown,Aged,Delaware,8,.,.,.,0.9180327869
Unknown,Aged,"District of Columbia",9,.,.,.,0.8947368421
Unknown,Aged,Florida,10,1107,178,1285,0.8614785992
Unknown,Aged,Georgia,11,288,45,333,0.8648648649
Unknown,Aged,Hawaii,12,.,.,.,0.8787878788
Unknown,Aged,Idaho,13,.,.,.,0.8970588235
Unknown,Aged,Illinois,14,617,99,716,0.8617318436
Unknown,Aged,Indiana,15,366,46,412,0.8883495146
Unknown,Aged,Iowa,16,151,14,165,0.9151515152
Unknown,Aged,Kansas,17,.,.,.,0.9139784946
Unknown,Aged,Kentucky,18,129,12,141,0.914893617
Unknown,Aged,Louisiana,19,.,.,.,0.92
Unknown,Aged,Maine,20,104,13,117,0.8888888889
Unknown,Aged,Maryland,21,410,50,460,0.8913043478
Unknown,Aged,Massachusetts,22,621,47,668,0.9296407186
Unknown,Aged,Michigan,23,639,65,704,0.9076704545
Unknown,Aged,Minnesota,24,.,.,.,0.9551569507
Unknown,Aged,Mississippi,25,.,.,.,0.825
Unknown,Aged,Missouri,26,205,21,226,0.907079646
Unknown,Aged,Montana,27,.,.,.,0.9807692308
Unknown,Aged,Nebraska,28,.,.,.,0.9224137931
Unknown,Aged,Nevada,29,105,13,118,0.8898305085
Unknown,Aged,"New Hampshire",30,118,19,137,0.8613138686
Unknown,Aged,"New Jersey",31,623,77,700,0.89
Unknown,Aged,"New Mexico",32,.,.,.,0.9682539683
Unknown,Aged,"New York",33,1323,155,1478,0.8951285521
Unknown,Aged,"North Carolina",34,404,59,463,0.8725701944
Unknown,Aged,"North Dakota",35,.,.,.,0.7037037037
Unknown,Aged,Ohio,36,686,86,772,0.8886010363
Unknown,Aged,Oklahoma,37,91,14,105,0.8666666667
Unknown,Aged,Oregon,38,180,22,202,0.8910891089
Unknown,Aged,Pennsylvania,39,684,94,778,0.8791773779
Unknown,Aged,"Rhode Island",41,.,.,.,0.8787878788
Unknown,Aged,"South Carolina",42,250,30,280,0.8928571429
Unknown,Aged,"South Dakota",43,.,.,.,0.9047619048
Unknown,Aged,Tennessee,44,207,22,229,0.903930131
Unknown,Aged,Texas,45,552,94,646,0.8544891641
Unknown,Aged,Utah,46,.,.,.,0.90625
Unknown,Aged,Vermont,47,.,.,.,0.9285714286
Unknown,Aged,Virginia,49,431,47,478,0.9016736402
Unknown,Aged,Washington,50,345,47,392,0.8801020408
Unknown,Aged,"West Virginia",51,.,.,.,0.8947368421
Unknown,Aged,Wisconsin,52,338,32,370,0.9135135135
Unknown,Aged,Wyoming,53,.,.,.,0.9285714286
Unknown,Disabled,Alabama,1,.,.,.,0.5
Unknown,Disabled,Alaska,2,.,0,.,1
Unknown,Disabled,Arizona,3,.,0,.,1
Unknown,Disabled,Arkansas,4,.,.,.,0.75
Unknown,Disabled,California,5,.,.,.,0.8235294118
Unknown,Disabled,Colorado,6,.,0,.,1
Unknown,Disabled,Connecticut,7,.,.,.,0.8333333333
Unknown,Disabled,Delaware,8,.,0,.,1
Unknown,Disabled,Florida,10,.,.,.,0.8571428571
Unknown,Disabled,Georgia,11,.,.,.,0.7333333333
Unknown,Disabled,Hawaii,12,.,0,.,1
Unknown,Disabled,Idaho,13,.,.,.,0.6
Unknown,Disabled,Illinois,14,.,.,.,0.875
Unknown,Disabled,Indiana,15,.,.,.,0.8333333333
Unknown,Disabled,Iowa,16,.,.,.,0.7777777778
Unknown,Disabled,Kansas,17,.,.,.,0.6666666667
Unknown,Disabled,Kentucky,18,.,.,.,0.4
Unknown,Disabled,Louisiana,19,.,0,.,1
Unknown,Disabled,Maine,20,.,.,.,0.8333333333
Unknown,Disabled,Maryland,21,.,.,.,0.6363636364
Unknown,Disabled,Massachusetts,22,.,.,.,0.7826086957
Unknown,Disabled,Michigan,23,.,.,.,0.6842105263
Unknown,Disabled,Minnesota,24,.,.,.,0.8888888889
Unknown,Disabled,Mississippi,25,.,.,.,0.6
Unknown,Disabled,Missouri,26,.,.,.,0.8888888889
Unknown,Disabled,Nebraska,28,.,.,.,0.5
Unknown,Disabled,Nevada,29,.,.,.,0.75
Unknown,Disabled,"New Hampshire",30,.,0,.,1
Unknown,Disabled,"New Jersey",31,.,.,.,0.7368421053
Unknown,Disabled,"New York",33,.,.,.,0.8157894737
Unknown,Disabled,"North Carolina",34,.,.,.,0.7
Unknown,Disabled,Ohio,36,.,.,.,0.8636363636
Unknown,Disabled,Oklahoma,37,.,0,.,1
Unknown,Disabled,Oregon,38,.,0,.,1
Unknown,Disabled,Pennsylvania,39,.,.,.,0.8421052632
Unknown,Disabled,"Rhode Island",41,.,0,.,1
Unknown,Disabled,"South Carolina",42,.,.,.,0.875
Unknown,Disabled,Tennessee,44,.,.,.,0.7857142857
Unknown,Disabled,Texas,45,.,.,.,0.7647058824
Unknown,Disabled,Utah,46,.,.,.,0.6666666667
Unknown,Disabled,Vermont,47,.,0,.,1
