RACE_NAME,SEX_NAME,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,Alabama,1,80,14,94,0.8510638298
Unknown,Male,Alaska,2,.,.,.,0.8571428571
Unknown,Male,Arizona,3,232,30,262,0.8854961832
Unknown,Male,Arkansas,4,.,.,.,0.8936170213
Unknown,Male,California,5,804,106,910,0.8835164835
Unknown,Male,Colorado,6,199,27,226,0.8805309735
Unknown,Male,Connecticut,7,301,35,336,0.8958333333
Unknown,Male,Delaware,8,.,.,.,0.9166666667
Unknown,Male,"District of Columbia",9,.,.,.,0.9285714286
Unknown,Male,Florida,10,875,144,1019,0.8586849853
Unknown,Male,Georgia,11,238,42,280,0.85
Unknown,Male,Hawaii,12,.,.,.,0.9
Unknown,Male,Idaho,13,.,.,.,0.8833333333
Unknown,Male,Illinois,14,501,78,579,0.8652849741
Unknown,Male,Indiana,15,297,39,336,0.8839285714
Unknown,Male,Iowa,16,129,14,143,0.9020979021
Unknown,Male,Kansas,17,.,.,.,0.8860759494
Unknown,Male,Kentucky,18,.,.,.,0.918699187
Unknown,Male,Louisiana,19,.,.,.,0.9324324324
Unknown,Male,Maine,20,.,.,.,0.9010989011
Unknown,Male,Maryland,21,314,42,356,0.8820224719
Unknown,Male,Massachusetts,22,438,37,475,0.9221052632
Unknown,Male,Michigan,23,439,55,494,0.8886639676
Unknown,Male,Minnesota,24,.,.,.,0.9404761905
Unknown,Male,Mississippi,25,.,.,.,0.7878787879
Unknown,Male,Missouri,26,177,17,194,0.912371134
Unknown,Male,Montana,27,.,.,.,0.9772727273
Unknown,Male,Nebraska,28,.,.,.,0.9101123596
Unknown,Male,Nevada,29,87,12,99,0.8787878788
Unknown,Male,"New Hampshire",30,91,13,104,0.875
Unknown,Male,"New Jersey",31,466,61,527,0.8842504744
Unknown,Male,"New Mexico",32,.,.,.,0.9523809524
Unknown,Male,"New York",33,928,118,1046,0.8871892925
Unknown,Male,"North Carolina",34,322,49,371,0.8679245283
Unknown,Male,"North Dakota",35,.,.,.,0.7619047619
Unknown,Male,Ohio,36,557,69,626,0.8897763578
Unknown,Male,Oklahoma,37,71,11,82,0.8658536585
Unknown,Male,Oregon,38,151,16,167,0.9041916168
Unknown,Male,Pennsylvania,39,538,71,609,0.8834154351
Unknown,Male,"Rhode Island",41,.,.,.,0.8863636364
Unknown,Male,"South Carolina",42,206,19,225,0.9155555556
Unknown,Male,"South Dakota",43,.,.,.,0.9285714286
Unknown,Male,Tennessee,44,173,21,194,0.8917525773
Unknown,Male,Texas,45,430,74,504,0.8531746032
Unknown,Male,Utah,46,.,.,.,0.9259259259
Unknown,Male,Vermont,47,.,.,.,0.9186046512
Unknown,Male,Virginia,49,347,39,386,0.8989637306
Unknown,Male,Washington,50,227,30,257,0.8832684825
Unknown,Male,"West Virginia",51,.,.,.,0.8823529412
Unknown,Male,Wisconsin,52,275,26,301,0.9136212625
Unknown,Male,Wyoming,53,23,0,23,1
Unknown,Female,Alabama,1,29,0,29,1
Unknown,Female,Alaska,2,12,0,12,1
Unknown,Female,Arizona,3,.,.,.,0.8548387097
Unknown,Female,Arkansas,4,16,0,16,1
Unknown,Female,California,5,347,47,394,0.8807106599
Unknown,Female,Colorado,6,.,.,.,0.8636363636
Unknown,Female,Connecticut,7,.,.,.,0.9242424242
Unknown,Female,Delaware,8,.,.,.,0.9259259259
Unknown,Female,"District of Columbia",9,.,.,.,0.8
Unknown,Female,Florida,10,256,38,294,0.8707482993
Unknown,Female,Georgia,11,.,.,.,0.8714285714
Unknown,Female,Hawaii,12,.,.,.,0.75
Unknown,Female,Idaho,13,.,.,.,0.8461538462
Unknown,Female,Illinois,14,137,24,161,0.850931677
Unknown,Female,Indiana,15,.,.,.,0.8977272727
Unknown,Female,Iowa,16,.,.,.,0.935483871
Unknown,Female,Kansas,17,17,0,17,1
Unknown,Female,Kentucky,18,.,.,.,0.7826086957
Unknown,Female,Louisiana,19,.,.,.,0.90625
Unknown,Female,Maine,20,.,.,.,0.84375
Unknown,Female,Maryland,21,103,12,115,0.8956521739
Unknown,Female,Massachusetts,22,201,15,216,0.9305555556
Unknown,Female,Michigan,23,213,16,229,0.9301310044
Unknown,Female,Minnesota,24,.,.,.,0.984375
Unknown,Female,Mississippi,25,.,.,.,0.8333333333
Unknown,Female,Missouri,26,.,.,.,0.8780487805
Unknown,Female,Montana,27,.,0,.,1
Unknown,Female,Nebraska,28,.,.,.,0.9032258065
Unknown,Female,Nevada,29,.,.,.,0.9130434783
Unknown,Female,"New Hampshire",30,.,.,.,0.8235294118
Unknown,Female,"New Jersey",31,171,21,192,0.890625
Unknown,Female,"New Mexico",32,21,0,21,1
Unknown,Female,"New York",33,428,45,473,0.9048625793
Unknown,Female,"North Carolina",34,89,13,102,0.8725490196
Unknown,Female,"North Dakota",35,.,.,.,0.5
