RACE_NAME,SEX_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,11121,1430,12551,0.8860648554
Unknown,Female,3733,469,4202,0.8883864826
"Non-Hispanic White",Male,392678,60156,452834,0.8671566181
"Non-Hispanic White",Female,379524,56567,436091,0.8702862476
"Black or African-American",Male,19080,6200,25280,0.7547468354
"Black or African-American",Female,30750,8067,38817,0.7921786846
Other,Male,3348,552,3900,0.8584615385
Other,Female,2323,401,2724,0.8527900147
"Asian/Pacific Islander",Male,9068,1589,10657,0.8508961246
"Asian/Pacific Islander",Female,9682,1359,11041,0.8769133231
Hispanic,Male,17074,4292,21366,0.7991200974
Hispanic,Female,22189,4773,26962,0.8229730732
"American Indian / Alaska Native",Male,810,212,1022,0.7925636008
"American Indian / Alaska Native",Female,972,228,1200,0.81
