STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Alabama,1,13498,2584,16082,0.8393234672
Alaska,2,2415,379,2794,0.8643521832
Arizona,3,17956,3156,21112,0.8505115574
Arkansas,4,6740,1351,8091,0.833024348
California,5,75884,12624,88508,0.8573688254
Colorado,6,11494,1710,13204,0.8704937898
Connecticut,7,17035,2178,19213,0.8866392547
Delaware,8,6114,844,6958,0.8787007761
"District of Columbia",9,1205,254,1459,0.8259081563
Florida,10,70887,13205,84092,0.8429696047
Georgia,11,23002,4578,27580,0.8340101523
Hawaii,12,3001,410,3411,0.879800645
Idaho,13,4340,719,5059,0.8578770508
Illinois,14,40822,6288,47110,0.8665251539
Indiana,15,22355,3726,26081,0.8571373797
Iowa,16,9569,1081,10650,0.8984976526
Kansas,17,6778,1088,7866,0.8616831935
Kentucky,18,13816,2456,16272,0.84906588
Louisiana,19,9573,2072,11645,0.8220695578
Maine,20,6515,765,7280,0.8949175824
Maryland,21,19803,3117,22920,0.8640052356
Massachusetts,22,27639,3178,30817,0.8968751014
Michigan,23,38571,6010,44581,0.8651892062
Minnesota,24,11778,1187,12965,0.9084458157
Mississippi,25,7134,1595,8729,0.8172757475
Missouri,26,16431,2731,19162,0.8574783426
Montana,27,3014,406,3420,0.8812865497
Nebraska,28,5436,811,6247,0.8701776853
Nevada,29,6536,1320,7856,0.8319755601
"New Hampshire",30,5503,658,6161,0.893199156
"New Jersey",31,35827,5739,41566,0.8619304239
"New Mexico",32,3909,680,4589,0.8518195685
"New York",33,61255,8717,69972,0.8754215972
"North Carolina",34,31602,4918,36520,0.8653340635
"North Dakota",35,1781,225,2006,0.8878364905
Ohio,36,33725,5358,39083,0.8629071463
Oklahoma,37,10660,1988,12648,0.8428209994
Oregon,38,10188,1436,11624,0.8764624914
Pennsylvania,39,37132,5440,42572,0.8722164803
"Rhode Island",41,2482,327,2809,0.8835884656
"South Carolina",42,18248,3325,21573,0.845872155
"South Dakota",43,2507,294,2801,0.8950374866
Tennessee,44,19081,3684,22765,0.8381726334
Texas,45,55331,11002,66333,0.83413987
Utah,46,4959,938,5897,0.8409360692
Vermont,47,3489,388,3877,0.8999226206
Virginia,49,23966,3687,27653,0.8666690775
Washington,50,17282,2283,19565,0.8833120368
"West Virginia",51,6501,1135,7636,0.8513619696
Wisconsin,52,14638,1647,16285,0.8988639853
Wyoming,53,1806,237,2043,0.8839941263
