RACE_NAME,AGE_GROUP,BENE_N,TOTAL_N,PER_100K
Unknown,_18-39,131,53220,246.1480646373544
Unknown,_40-64,446,32293,1381.1042640819992
Unknown,_65-69,2070,233732,885.6296955487483
Unknown,_70-74,3585,357610,1002.4887447219038
Unknown,_75-79,549,41965,1308.2330513523173
Unknown,_80-84,146,8299,1759.2481021809856
Unknown,_85+,210,8184,2565.982404692082
"Non-Hispanic White",_18-39,1359,517286,262.7173362511261
"Non-Hispanic White",_40-64,43158,3476663,1241.3627665379129
"Non-Hispanic White",_65-69,68964,6135335,1124.046201226176
"Non-Hispanic White",_70-74,93289,7782490,1198.703756766793
"Non-Hispanic White",_75-79,90738,5886684,1541.4110898427705
"Non-Hispanic White",_80-84,80426,3910514,2056.6605822150236
"Non-Hispanic White",_85+,126438,4294265,2944.345539923596
"Black or African-American",_18-39,1119,212890,525.6235614636666
"Black or African-American",_40-64,16073,1082590,1484.6802575305517
"Black or African-American",_65-69,11131,820808,1356.102767029561
"Black or African-American",_70-74,11679,897763,1300.9001262025724
"Black or African-American",_75-79,9464,590253,1603.3802454201843
"Black or African-American",_80-84,7652,363960,2102.4288383338826
"Black or African-American",_85+,11034,362506,3043.811688634119
Other,_18-39,19,5903,321.8702354734881
Other,_40-64,349,28163,1239.2145723111885
Other,_65-69,591,56491,1046.1843479492309
Other,_70-74,916,84612,1082.5887580957783
Other,_75-79,1020,74831,1363.071454343788
Other,_80-84,938,47282,1983.841631064676
Other,_85+,911,35344,2577.52376641014
"Asian/Pacific Islander",_18-39,88,20898,421.0929275528759
"Asian/Pacific Islander",_40-64,1468,92669,1584.1327736351961
"Asian/Pacific Islander",_65-69,1872,230445,812.3413395821129
"Asian/Pacific Islander",_70-74,2455,307359,798.7402353599537
"Asian/Pacific Islander",_75-79,2397,226676,1057.456457675272
"Asian/Pacific Islander",_80-84,2335,159965,1459.6943081299034
"Asian/Pacific Islander",_85+,4178,171124,2441.504406161614
Hispanic,_18-39,406,112349,361.37393301230986
Hispanic,_40-64,7049,531821,1325.4459677222223
Hispanic,_65-69,6058,557466,1086.7030455669046
Hispanic,_70-74,6702,672802,996.1325917580507
Hispanic,_75-79,5878,487437,1205.8994290544213
Hispanic,_80-84,5382,314364,1712.0280948200177
Hispanic,_85+,7612,310633,2450.4801485997946
"American Indian / Alaska Native",_18-39,59,11073,532.8275986634155
"American Indian / Alaska Native",_40-64,1047,51846,2019.442194190487
"American Indian / Alaska Native",_65-69,834,37695,2212.4950258654994
"American Indian / Alaska Native",_70-74,1010,47517,2125.5550645032304
"American Indian / Alaska Native",_75-79,836,30953,2700.869059541886
"American Indian / Alaska Native",_80-84,689,20130,3422.7521112767013
"American Indian / Alaska Native",_85+,710,17640,4024.9433106575966
