RACE_NAME,ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_N,TOTAL_N,PER_100K
Unknown,Aged,Alabama,1,"Autauga County",1001,.,.,1785.7142857142856
Unknown,Aged,Alabama,1,"Baldwin County",1003,.,.,593.4718100890208
Unknown,Aged,Alabama,1,"Blount County",1009,.,.,4545.454545454546
Unknown,Aged,Alabama,1,"Calhoun County",1015,.,.,2255.6390977443607
Unknown,Aged,Alabama,1,"Chilton County",1021,.,.,5555.555555555556
Unknown,Aged,Alabama,1,"Coffee County",1031,.,.,1694.915254237288
Unknown,Aged,Alabama,1,"Colbert County",1033,.,.,1492.5373134328358
Unknown,Aged,Alabama,1,"Covington County",1039,.,.,5882.35294117647
Unknown,Aged,Alabama,1,"Crenshaw County",1041,.,.,7142.857142857142
Unknown,Aged,Alabama,1,"Cullman County",1043,.,.,1515.1515151515152
Unknown,Aged,Alabama,1,"Dale County",1045,.,.,2941.176470588235
Unknown,Aged,Alabama,1,"DeKalb County",1049,.,.,2272.727272727273
Unknown,Aged,Alabama,1,"Elmore County",1051,.,.,1709.4017094017095
Unknown,Aged,Alabama,1,"Escambia County",1053,.,.,3571.428571428571
Unknown,Aged,Alabama,1,"Etowah County",1055,.,.,1176.4705882352941
Unknown,Aged,Alabama,1,"Houston County",1069,.,.,2247.191011235955
Unknown,Aged,Alabama,1,"Jackson County",1071,.,.,3225.806451612903
Unknown,Aged,Alabama,1,"Jefferson County",1073,.,.,1174.496644295302
Unknown,Aged,Alabama,1,"Lauderdale County",1077,.,.,813.0081300813009
Unknown,Aged,Alabama,1,"Limestone County",1083,.,.,2105.2631578947367
Unknown,Aged,Alabama,1,"Lowndes County",1085,.,.,8333.333333333332
Unknown,Aged,Alabama,1,"Madison County",1089,.,.,978.4735812133072
Unknown,Aged,Alabama,1,"Shelby County",1117,.,.,1515.1515151515152
Unknown,Aged,Alabama,1,"Tuscaloosa County",1125,.,.,571.4285714285714
Unknown,Aged,Alaska,2,"Anchorage Borough",2020,.,.,973.5744089012517
Unknown,Aged,Alaska,2,"Bristol Bay Borough",2060,.,.,25000
Unknown,Aged,Alaska,2,"Fairbanks North Star Borough",2090,.,.,813.0081300813009
Unknown,Aged,Alaska,2,,2105,.,.,5263.157894736842
Unknown,Aged,Alaska,2,"Juneau Borough",2110,.,.,826.4462809917355
Unknown,Aged,Alaska,2,"Kenai Peninsula Borough",2122,.,.,505.0505050505051
Unknown,Aged,Alaska,2,"Kodiak Island Borough",2150,.,.,3333.3333333333335
Unknown,Aged,Alaska,2,"Matanuska-Susitna Borough",2170,.,.,2439.0243902439024
Unknown,Aged,Arizona,4,"Cochise County",4003,.,.,732.6007326007326
Unknown,Aged,Arizona,4,"Coconino County",4005,.,.,318.47133757961785
Unknown,Aged,Arizona,4,"Gila County",4007,.,.,649.3506493506494
Unknown,Aged,Arizona,4,"La Paz County",4012,.,.,2564.102564102564
Unknown,Aged,Arizona,4,"Maricopa County",4013,55,7615,722.2586999343401
Unknown,Aged,Arizona,4,"Mohave County",4015,.,.,1785.7142857142856
Unknown,Aged,Arizona,4,"Navajo County",4017,.,.,546.448087431694
Unknown,Aged,Arizona,4,"Pima County",4019,19,2409,788.70900788709
Unknown,Aged,Arizona,4,"Pinal County",4021,.,.,879.7653958944283
Unknown,Aged,Arizona,4,"Yavapai County",4025,.,.,671.7850287907869
Unknown,Aged,Arizona,4,"Yuma County",4027,.,.,1785.7142857142856
Unknown,Aged,Arkansas,5,"Baxter County",5005,.,.,1063.8297872340424
Unknown,Aged,Arkansas,5,"Benton County",5007,.,.,294.9852507374631
Unknown,Aged,Arkansas,5,"Boone County",5009,.,.,1315.7894736842104
Unknown,Aged,Arkansas,5,"Cleburne County",5023,.,.,3333.3333333333335
Unknown,Aged,Arkansas,5,"Craighead County",5031,.,.,1351.3513513513515
Unknown,Aged,Arkansas,5,"Faulkner County",5045,.,.,2325.5813953488373
Unknown,Aged,Arkansas,5,"Garland County",5051,.,.,537.6344086021505
Unknown,Aged,Arkansas,5,"Greene County",5055,.,.,4347.826086956522
Unknown,Aged,Arkansas,5,"Howard County",5061,.,.,20000
Unknown,Aged,Arkansas,5,"Independence County",5063,.,.,3333.3333333333335
Unknown,Aged,Arkansas,5,"Jefferson County",5069,.,.,1960.7843137254902
Unknown,Aged,Arkansas,5,"Marion County",5089,.,.,6060.606060606061
Unknown,Aged,Arkansas,5,"Pope County",5115,.,.,1724.1379310344828
Unknown,Aged,Arkansas,5,"Pulaski County",5119,.,.,687.2852233676975
Unknown,Aged,Arkansas,5,"Randolph County",5121,.,.,5882.35294117647
Unknown,Aged,Arkansas,5,"Saline County",5125,.,.,1530.612244897959
Unknown,Aged,Arkansas,5,"Sebastian County",5131,.,.,5000
