RACE_NAME,ENTLMT_RSN_CURR,BENE_N,TOTAL_N,PER_100K
Unknown,Aged,6550,649716,1008.1327841703144
Unknown,Disabled,503,83330,603.6241449657987
Unknown,ESRD,71,2192,3239.051094890511
Unknown,"Disabled and ESRD",13,150,8666.666666666666
"Non-Hispanic White",Aged,459851,28009592,1641.7625790479206
"Non-Hispanic White",Disabled,42196,3961933,1065.0356782913793
"Non-Hispanic White",ESRD,1584,24674,6419.71305827997
"Non-Hispanic White","Disabled and ESRD",741,7731,9584.788513775708
"Black or African-American",Aged,50920,3034942,1677.7915360491238
"Black or African-American",Disabled,14945,1262854,1183.4305469990989
"Black or African-American",ESRD,1579,24073,6559.215718855149
"Black or African-American","Disabled and ESRD",708,9024,7845.744680851063
Other,Aged,4374,298550,1465.0812259253055
Other,Disabled,311,33226,936.0139649671943
Other,ESRD,45,746,6032.171581769437
Other,"Disabled and ESRD",14,141,9929.078014184397
"Asian/Pacific Islander",Aged,13222,1095393,1207.055367343045
"Asian/Pacific Islander",Disabled,1241,108540,1143.3572876358946
"Asian/Pacific Islander",ESRD,298,4741,6285.5937565914355
"Asian/Pacific Islander","Disabled and ESRD",33,497,6639.839034205232
Hispanic,Aged,31582,2342228,1348.3742829476892
Hispanic,Disabled,6211,626179,991.8889007775732
Hispanic,ESRD,1041,15746,6611.202845167026
Hispanic,"Disabled and ESRD",253,2949,8579.179382841641
"American Indian / Alaska Native",Aged,4081,153926,2651.273988799813
"American Indian / Alaska Native",Disabled,934,61203,1526.0689835465582
"American Indian / Alaska Native",ESRD,128,1309,9778.456837280366
"American Indian / Alaska Native","Disabled and ESRD",42,422,9952.60663507109
