AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
_18-39,Alabama,1,196,19768,991.5014164305949
_18-39,Alaska,2,.,.,367.140890316659
_18-39,Arizona,4,70,13109,533.9842856053093
_18-39,Arkansas,5,81,14009,578.1997287458063
_18-39,California,6,527,73588,716.1493721802468
_18-39,Colorado,8,50,11348,440.60627423334506
_18-39,Connecticut,9,61,9870,618.0344478216819
_18-39,Delaware,10,23,2861,803.9147151345683
_18-39,"District of Columbia",11,127,2284,5560.420315236427
_18-39,Florida,12,740,49850,1484.4533600802408
_18-39,Georgia,13,551,27666,1991.6142557651992
_18-39,Hawaii,15,.,.,324.6753246753247
_18-39,Idaho,16,.,.,134.54423141607805
_18-39,Illinois,17,268,34231,782.91607022874
_18-39,Indiana,18,133,22352,595.0250536864711
_18-39,Iowa,19,16,11042,144.90128599891324
_18-39,Kansas,20,44,9393,468.43394016821037
_18-39,Kentucky,21,75,18519,404.9894702737729
_18-39,Louisiana,22,292,18971,1539.1913973960254
_18-39,Maine,23,17,7556,224.98676548438328
_18-39,Maryland,24,377,17793,2118.8107682796604
_18-39,Massachusetts,25,178,29034,613.074326651512
_18-39,Michigan,26,179,37640,475.55791710945806
_18-39,Minnesota,27,76,18671,407.0483637726956
_18-39,Mississippi,28,119,12208,974.7706422018349
_18-39,Missouri,29,144,23045,624.8643957474507
_18-39,Montana,30,.,.,167.87912702853944
_18-39,Nebraska,31,13,5708,227.75052557813595
_18-39,Nevada,32,87,6670,1304.3478260869565
_18-39,"New Hampshire",33,19,7475,254.18060200668899
_18-39,"New Jersey",34,156,20903,746.304358226092
_18-39,"New Mexico",35,29,7275,398.6254295532646
_18-39,"New York",36,566,52434,1079.4522637982989
_18-39,"North Carolina",37,353,31941,1105.162643624182
_18-39,"North Dakota",38,.,.,211.05951878429718
_18-39,Ohio,39,160,39791,402.10097760800176
_18-39,Oklahoma,40,59,14024,420.70735881346263
_18-39,Oregon,41,51,12313,414.19637781206853
_18-39,Pennsylvania,42,300,40632,738.3343177790904
_18-39,"Rhode Island",44,17,4412,385.312783318223
_18-39,"South Carolina",45,187,15183,1231.6406507277877
_18-39,"South Dakota",46,.,.,173.61111111111111
_18-39,Tennessee,47,139,18441,753.7552193481915
_18-39,Texas,48,643,64437,997.8738923289415
_18-39,Utah,49,14,6812,205.51967116852612
_18-39,Vermont,50,.,.,218.34061135371178
_18-39,Virginia,51,172,23328,737.3113854595337
