RACE_NAME,AGE_GROUP,BENE_N,TOTAL_N,PER_100K
Unknown,_18-39,319,53220,599.3987222848554
Unknown,_40-64,287,32293,888.7374972904344
Unknown,_65-69,430,233732,183.97138603186553
Unknown,_70-74,409,357610,114.37040351220604
Unknown,_75-79,50,41965,119.14690813773382
Unknown,_80-84,.,.,84.34751174840342
Unknown,_85+,.,.,36.65689149560117
"Non-Hispanic White",_18-39,1674,517286,323.612083064301
"Non-Hispanic White",_40-64,27045,3476663,777.9011080452722
"Non-Hispanic White",_65-69,10503,6135335,171.18869629775716
"Non-Hispanic White",_70-74,6648,7782490,85.42253186319546
"Non-Hispanic White",_75-79,3057,5886684,51.93076441677521
"Non-Hispanic White",_80-84,1338,3910514,34.21545096117799
"Non-Hispanic White",_85+,766,4294265,17.837744060974345
"Black or African-American",_18-39,4552,212890,2138.1934332284277
"Black or African-American",_40-64,27158,1082590,2508.613602564221
"Black or African-American",_65-69,8081,820808,984.5176947593103
"Black or African-American",_70-74,4504,897763,501.6914263563992
"Black or African-American",_75-79,1779,590253,301.3961809596902
"Black or African-American",_80-84,696,363960,191.22980547312892
"Black or African-American",_85+,341,362506,94.06740853944487
Other,_18-39,17,5903,287.98915805522614
Other,_40-64,381,28163,1352.8388310904377
Other,_65-69,169,56491,299.16269848294417
Other,_70-74,152,84612,179.64354937833878
Other,_75-79,49,74831,65.4808835910251
Other,_80-84,25,47282,52.87424389831225
Other,_85+,15,35344,42.440018107741054
"Asian/Pacific Islander",_18-39,61,20898,291.89396114460715
"Asian/Pacific Islander",_40-64,654,92669,705.7376253115929
"Asian/Pacific Islander",_65-69,268,230445,116.29673023931957
"Asian/Pacific Islander",_70-74,183,307359,59.53949615921447
"Asian/Pacific Islander",_75-79,72,226676,31.763397977730328
"Asian/Pacific Islander",_80-84,57,159965,35.6327946738349
"Asian/Pacific Islander",_85+,40,171124,23.374862672681797
Hispanic,_18-39,859,112349,764.5817942304782
Hispanic,_40-64,8340,531821,1568.1968181023315
Hispanic,_65-69,2413,557466,432.8515102266326
Hispanic,_70-74,1432,672802,212.84122223180074
Hispanic,_75-79,691,487437,141.7619097442336
Hispanic,_80-84,293,314364,93.2040564441221
Hispanic,_85+,148,310633,47.64464818612318
"American Indian / Alaska Native",_18-39,58,11073,523.796622414883
"American Indian / Alaska Native",_40-64,453,51846,873.741465108205
"American Indian / Alaska Native",_65-69,64,37695,169.78379095370738
"American Indian / Alaska Native",_70-74,49,47517,103.12098827787949
"American Indian / Alaska Native",_75-79,14,30953,45.22986463347656
"American Indian / Alaska Native",_80-84,.,.,39.74167908594138
"American Indian / Alaska Native",_85+,.,.,28.34467120181406
