RACE_NAME,ENTLMT_RSN_CURR,BENE_N,TOTAL_N,PER_100K
Unknown,Aged,899,649716,138.3681485449027
Unknown,Disabled,572,83330,686.4274570982839
Unknown,ESRD,29,2192,1322.992700729927
Unknown,"Disabled and ESRD",.,.,3333.3333333333335
"Non-Hispanic White",Aged,22316,28009592,79.67270640714794
"Non-Hispanic White",Disabled,28544,3961933,720.4564034777973
"Non-Hispanic White",ESRD,107,24674,433.6548593661344
"Non-Hispanic White","Disabled and ESRD",64,7731,827.8359849954727
"Black or African-American",Aged,15395,3034942,507.2584583165016
"Black or African-American",Disabled,30309,1262854,2400.039909601585
"Black or African-American",ESRD,1014,24073,4212.187928384497
"Black or African-American","Disabled and ESRD",393,9024,4355.053191489362
Other,Aged,409,298550,136.99547814436443
Other,Disabled,391,33226,1176.789261421778
Other,ESRD,.,.,536.1930294906166
Other,"Disabled and ESRD",.,.,2836.8794326241136
"Asian/Pacific Islander",Aged,621,1095393,56.69198178188102
"Asian/Pacific Islander",Disabled,694,108540,639.3956145199926
"Asian/Pacific Islander",ESRD,16,4741,337.4815439780637
"Asian/Pacific Islander","Disabled and ESRD",.,.,804.8289738430584
Hispanic,Aged,4977,2342228,212.48998816511457
Hispanic,Disabled,9038,626179,1443.3572508819364
Hispanic,ESRD,118,15746,749.39667217071
Hispanic,"Disabled and ESRD",43,2949,1458.1213970837573
"American Indian / Alaska Native",Aged,139,153926,90.30313267414212
"American Indian / Alaska Native",Disabled,505,61203,825.122951489306
"American Indian / Alaska Native",ESRD,.,.,458.3651642475172
"American Indian / Alaska Native","Disabled and ESRD",.,.,236.96682464454977
