SEX_NAME,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Male,Alabama,1,1243,336804,369.0573746155034
Male,Alaska,2,103,45546,226.14499626750975
Male,Arizona,4,1098,416947,263.3428229487201
Male,Arkansas,5,543,234682,231.37692707578765
Male,California,6,12324,1666181,739.6555356230805
Male,Colorado,8,810,271410,298.4414723112634
Male,Connecticut,9,924,204570,451.67913183751284
Male,Delaware,10,530,82767,640.3518310437735
Male,"District of Columbia",11,1164,29834,3901.588791311926
Male,Florida,12,8743,1324353,660.171419553548
Male,Georgia,13,3505,537753,651.7862289936086
Male,Hawaii,15,186,68649,270.9434951710877
Male,Idaho,16,152,115896,131.15206737074618
Male,Illinois,17,3123,797743,391.479461430561
Male,Indiana,18,1185,432489,273.99540797569415
Male,Iowa,19,341,234856,145.19535374868005
Male,Kansas,20,417,202031,206.403967707926
Male,Kentucky,21,789,324492,243.14929181613107
Male,Louisiana,22,1788,279804,639.018741690612
Male,Maine,23,323,112388,287.3972310211055
Male,Maryland,24,3187,367875,866.3268773360517
Male,Massachusetts,25,2634,443997,593.2472516706193
Male,Michigan,26,1846,666613,276.9222922445257
Male,Minnesota,27,649,277334,234.01386054360444
Male,Mississippi,28,1000,230795,433.28494984726706
Male,Missouri,29,1462,404632,361.3159611696554
Male,Montana,30,122,93914,129.90608428988222
Male,Nebraska,31,185,131842,140.3194733089607
Male,Nevada,32,718,170545,421.0032542730658
Male,"New Hampshire",33,228,115260,197.8136387298282
Male,"New Jersey",34,2462,538519,457.17978381449865
Male,"New Mexico",35,487,139218,349.81108764671234
Male,"New York",36,8441,975258,865.5145612750678
Male,"North Carolina",37,2951,666913,442.4865012377926
Male,"North Dakota",38,53,51968,101.98583743842364
Male,Ohio,39,1776,708130,250.80140652140145
Male,Oklahoma,40,738,270699,272.62753094765776
Male,Oregon,41,651,243116,267.7734085786209
Male,Pennsylvania,42,3065,756962,404.90804029792776
Male,"Rhode Island",44,242,59835,404.44555861953705
Male,"South Carolina",45,1528,388607,393.1992990347574
Male,"South Dakota",46,59,69545,84.83715579840391
Male,Tennessee,47,1379,428751,321.63190289935187
Male,Texas,48,6003,1328695,451.79668772743184
Male,Utah,49,208,121762,170.82505215091737
Male,Vermont,50,165,59880,275.55110220440883
Male,Virginia,51,1920,534580,359.1604624190954
Male,Washington,53,1354,438924,308.4816505818775
Male,"West Virginia",54,318,156262,203.50437086431762
Male,Wisconsin,55,670,356052,188.17476098996778
Male,Wyoming,56,64,49148,130.21893057703264
Female,Alabama,1,551,413195,133.35108120863032
Female,Alaska,2,35,45549,76.84032580298141
Female,Arizona,4,191,462232,41.32124128143443
Female,Arkansas,5,206,281168,73.26580549706937
Female,California,6,2039,1916952,106.36677392026509
Female,Colorado,8,166,303994,54.60634091462331
Female,Connecticut,9,493,258616,190.63012342623813
Female,Delaware,10,200,102657,194.8235385799312
Female,"District of Columbia",11,532,39950,1331.6645807259074
Female,Florida,12,3747,1549937,241.7517615232103
Female,Georgia,13,1429,649014,220.18015019706817
Female,Hawaii,15,25,75386,33.16265619611068
Female,Idaho,16,41,124419,32.95316631704161
Female,Illinois,17,996,986972,100.9147169321926
Female,Indiana,18,342,533793,64.06977985848447
Female,Iowa,19,89,283426,31.401494570011216
Female,Kansas,20,113,244316,46.251575828026
Female,Kentucky,21,204,370890,55.00283102806762
Female,Louisiana,22,776,329115,235.78384455281588
Female,Maine,23,70,130139,53.78864137575977
Female,Maryland,24,1876,484366,387.3104222839753
Female,Massachusetts,25,994,556964,178.46754906959876
Female,Michigan,26,643,801933,80.18126202563057
Female,Minnesota,27,247,318729,77.49530165124604
Female,Mississippi,28,439,285656,153.6813509956031
Female,Missouri,29,346,482132,71.76457899496404
Female,Montana,30,23,99424,23.133247505632443
Female,Nebraska,31,57,161119,35.377578063418966
Female,Nevada,32,250,182864,136.71362323912854
Female,"New Hampshire",33,69,138069,49.97501249375312
Female,"New Jersey",34,1397,699525,199.70694399771273
Female,"New Mexico",35,72,152466,47.22364330408091
Female,"New York",36,3699,1210017,305.6981844056736
Female,"North Carolina",37,1405,825499,170.2000850394731
Female,"North Dakota",38,16,59735,26.784966937306436
Female,Ohio,39,430,827531,51.96179961838288
Female,Oklahoma,40,174,327285,53.16467299142949
Female,Oregon,41,134,263110,50.92926912698111
Female,Pennsylvania,42,1202,913739,131.54741124106556
Female,"Rhode Island",44,42,72725,57.75180474389825
Female,"South Carolina",45,757,471704,160.48199718467512
Female,"South Dakota",46,22,79032,27.836825589634582
Female,Tennessee,47,453,516549,87.69739172856787
Female,Texas,48,1956,1574124,124.25958819000283
Female,Utah,49,35,138195,25.32653135062774
Female,Vermont,50,42,69464,60.46297362662674
Female,Virginia,51,870,665194,130.78891270817238
Female,Washington,53,245,499580,49.04119460346692
Female,"West Virginia",54,82,167507,48.953178076140105
Female,Wisconsin,55,189,413575,45.699087227226016
Female,Wyoming,56,17,53011,32.06881590613269
