AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
_18-39,Alabama,1,1384,19768,7001.214083367057
_18-39,Alaska,2,304,2179,13951.353832033043
_18-39,Arizona,4,1105,13109,8429.32336562667
_18-39,Arkansas,5,1232,14009,8794.346491541153
_18-39,California,6,8638,73588,11738.326901125183
_18-39,Colorado,8,1145,11348,10089.883679943603
_18-39,Connecticut,9,1254,9870,12705.16717325228
_18-39,Delaware,10,256,2861,8947.92030758476
_18-39,"District of Columbia",11,210,2284,9194.395796847637
_18-39,Florida,12,4299,49850,8623.871614844533
_18-39,Georgia,13,2339,27666,8454.420588447914
_18-39,Hawaii,15,193,2156,8951.762523191095
_18-39,Idaho,16,585,5946,9838.546922300706
_18-39,Illinois,17,2844,34231,8308.258596009466
_18-39,Indiana,18,1940,22352,8679.31281317108
_18-39,Iowa,19,1108,11042,10034.414055424742
_18-39,Kansas,20,934,9393,9943.575002661557
_18-39,Kentucky,21,1138,18519,6145.040228954047
_18-39,Louisiana,22,1656,18971,8729.11285646513
_18-39,Maine,23,551,7556,7292.218104817363
_18-39,Maryland,24,1969,17793,11066.149609396954
_18-39,Massachusetts,,2618,29034,9017.014534683474
_18-39,Michigan,26,3157,37640,8387.353878852284
_18-39,Minnesota,27,2152,18671,11525.895774195276
_18-39,Mississippi,28,1122,12208,9190.694626474442
_18-39,Missouri,29,2604,23045,11299.631156433064
_18-39,Montana,30,358,3574,10016.787912702854
_18-39,Nebraska,31,613,5708,10739.313244569026
_18-39,Nevada,32,785,6670,11769.11544227886
_18-39,"New Hampshire",33,490,7475,6555.183946488294
_18-39,"New Jersey",34,1943,20903,9295.316461751901
_18-39,"New Mexico",35,569,7275,7821.305841924399
_18-39,"New York",36,4905,52434,9354.617233093031
_18-39,"North Carolina",37,3262,31941,10212.579443348674
_18-39,"North Dakota",38,259,2369,10932.883073026593
_18-39,Ohio,39,3255,39791,8180.241763212786
_18-39,Oklahoma,40,1305,14024,9305.476326297776
_18-39,Oregon,41,1186,12313,9632.096158531633
_18-39,Pennsylvania,42,3122,40632,7683.599133687734
_18-39,"Rhode Island",44,301,4412,6822.302810516772
_18-39,"South Carolina",45,1349,15183,8884.937100704736
_18-39,"South Dakota",46,246,2880,8541.666666666666
_18-39,Tennessee,47,1275,18441,6913.941760208232
_18-39,Texas,48,5117,64437,7941.089746574173
_18-39,Utah,49,542,6812,7956.54726952437
_18-39,Vermont,50,252,3664,6877.72925764192
_18-39,Virginia,51,2363,23328,10129.458161865568
_18-39,Washington,53,1796,21295,8433.904672458324
_18-39,"West Virginia",54,495,7685,6441.119063109954
_18-39,Wisconsin,55,1736,20827,8335.333941518222
_18-39,Wyoming,56,153,1760,8693.181818181818
_40-64,Alabama,1,4028,132149,3048.0745219411424
_40-64,Alaska,2,675,9026,7478.395745623753
_40-64,Arizona,4,2861,77050,3713.173264114211
_40-64,Arkansas,5,2887,86558,3335.3358441738487
_40-64,California,6,29313,404838,7240.674047396737
_40-64,Colorado,8,2863,61476,4657.101958487865
_40-64,Connecticut,9,4494,52577,8547.463719877513
_40-64,Delaware,10,907,19223,4718.306195703064
_40-64,"District of Columbia",11,911,10158,8968.30084662335
_40-64,Florida,12,13019,293451,4436.515806727529
_40-64,Georgia,13,6924,176105,3931.7452656085857
_40-64,Hawaii,15,597,12900,4627.906976744186
_40-64,Idaho,16,1427,27735,5145.123490174869
_40-64,Illinois,17,11305,193980,5827.9204041653775
_40-64,Indiana,18,6526,131457,4964.360969746761
_40-64,Iowa,19,3332,51342,6489.813408125901
_40-64,Kansas,20,2744,49055,5593.721333197432
_40-64,Kentucky,21,3737,131856,2834.152408688266
