BENE_N,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Aged,Alabama,1,2631,598084,439.9047625417166
Aged,Alaska,2,239,79884,299.18381653397427
Aged,Arizona,4,1359,788969,172.2501137560538
Aged,Arkansas,5,1688,415286,406.46686861584544
Aged,California,6,22821,3104369,735.1252380113317
Aged,Colorado,8,1346,502560,267.82871696911815
Aged,Connecticut,9,2813,400736,701.9583965503473
Aged,Delaware,10,573,163336,350.8105990106284
Aged,"District of Columbia",11,775,57312,1352.247347850363
Aged,Florida,12,13965,2530886,551.7830514689322
Aged,Georgia,13,4352,982921,442.76193101988866
Aged,Hawaii,15,387,128947,300.1233064747532
Aged,Idaho,16,575,206615,278.2953802966871
Aged,Illinois,17,7780,1556384,499.8766371281123
Aged,Indiana,18,4077,812440,501.82167298508193
Aged,Iowa,19,2040,455903,447.4636051967195
Aged,Kansas,20,1915,387884,493.70430334842376
Aged,Kentucky,21,2522,545020,462.73531246559753
Aged,Louisiana,22,4068,488103,833.4306488589499
Aged,Maine,23,808,194365,415.7127054768091
Aged,Maryland,24,4271,744260,573.8585978018434
Aged,Massachusetts,,5844,830291,703.849614171417
Aged,Michigan,26,7238,1207674,599.3339262085628
Aged,Minnesota,27,2209,496838,444.6117245460291
Aged,Mississippi,28,2868,414051,692.668294485462
Aged,Missouri,29,4071,729521,558.0373971414119
Aged,Montana,30,546,171116,319.08179246826717
Aged,Nebraska,31,930,260584,356.8906763270193
Aged,Nevada,32,1147,307921,372.4981407568825
Aged,"New Hampshire",33,751,214357,350.3501168611242
Aged,"New Jersey",34,6394,1090699,586.2295647103371
Aged,"New Mexico",35,626,243271,257.32619177789377
Aged,"New York",36,17258,1838428,938.7367903447946
Aged,"North Carolina",37,5989,1254166,477.52849303840156
Aged,"North Dakota",38,461,99278,464.3526259594271
Aged,Ohio,39,7459,1278047,583.6248588666928
Aged,Oklahoma,40,2410,499199,482.7734029915925
Aged,Oregon,41,1416,430764,328.7182772933672
Aged,Pennsylvania,42,7542,1403276,537.4566371832768
Aged,"Rhode Island",44,510,106730,477.8412817389675
Aged,"South Carolina",45,2376,735883,322.8774139367264
Aged,"South Dakota",46,499,132832,375.6624909660323
Aged,Tennessee,47,3763,785725,478.920741989882
Aged,Texas,48,11337,2508160,452.0046568002041
Aged,Utah,49,648,226521,286.06619253844013
Aged,Vermont,50,495,110002,449.9918183305758
Aged,Virginia,51,4455,1048012,425.090552398255
Aged,Washington,53,2648,808590,327.48364436859225
Aged,"West Virginia",54,1428,256135,557.5184961055693
Aged,Wisconsin,55,3159,651244,485.0716474931055
Aged,Wyoming,56,229,90675,252.5503170664461
Disabled,Alabama,1,5388,149859,3595.3796568774646
Disabled,Alaska,2,977,11004,8878.589603780443
Disabled,Arizona,4,3950,88522,4462.167596755609
Disabled,Arkansas,5,4110,99496,4130.819329420278
Disabled,California,6,37857,469540,8062.571878860162
Disabled,Colorado,8,4002,71891,5566.760790641388
Disabled,Connecticut,9,5736,61679,9299.761669287764
Disabled,Delaware,10,1163,21799,5335.107115005276
Disabled,"District of Columbia",11,1115,12195,9143.091430914308
Disabled,Florida,12,17259,337782,5109.5084995648085
Disabled,Georgia,13,9201,198922,4625.43107348609
Disabled,Hawaii,15,788,14336,5496.651785714285
Disabled,Idaho,16,2009,33313,6030.678714015549
Disabled,Illinois,17,14117,224951,6275.588906028424
Disabled,Indiana,18,8443,152019,5553.91102427986
Disabled,Iowa,19,4426,61700,7173.419773095624
Disabled,Kansas,20,3656,57646,6342.1573049300905
Disabled,Kentucky,21,4858,149272,3254.461653893564
Disabled,Louisiana,22,6435,118556,5427.814703599986
Disabled,Maine,23,2198,47833,4595.153973198419
Disabled,Maryland,24,8112,106373,7625.995318360862
Disabled,Massachusetts,25,11135,169657,6563.242306536128
Disabled,Michigan,26,14449,258162,5596.873281118057
Disabled,Minnesota,27,8746,98208,8905.588139459107
Disabled,Mississippi,28,5105,100390,5085.167845402928
Disabled,Missouri,29,10172,155269,6551.211123920422
Disabled,Montana,30,1394,21968,6345.593590677349
Disabled,Nebraska,31,2289,31922,7170.603345655034
Disabled,Nevada,32,2942,44654,6588.435526492588
Disabled,"New Hampshire",33,1844,38799,4752.699811850821
Disabled,"New Jersey",34,9768,145136,6730.239223900342
Disabled,"New Mexico",35,1867,47567,3924.990014085395
Disabled,"New York",36,24170,342279,7061.490772147868
Disabled,"North Carolina",37,12779,234338,5453.234217241762
Disabled,"North Dakota",38,1031,12252,8414.952660790075
Disabled,Ohio,39,13333,254721,5234.354450555706
Disabled,Oklahoma,40,5330,97304,5477.678204390364
Disabled,Oregon,41,4096,74564,5493.267528566064
Disabled,Pennsylvania,42,12938,264799,4885.970113180186
Disabled,"Rhode Island",44,1086,25651,4233.753070055748
Disabled,"South Carolina",45,5217,122228,4268.252773505253
Disabled,"South Dakota",46,1028,15479,6641.255895083661
Disabled,Tennessee,47,5520,157325,3508.6604163356105
Disabled,Texas,48,19413,383258,5065.2563025429345
Disabled,Utah,49,1930,32865,5872.508747908109
Disabled,Vermont,50,1018,19282,5279.53531791308
Disabled,Virginia,51,9203,149441,6158.283202066367
Disabled,Washington,53,6587,128285,5134.66110613088
Disabled,"West Virginia",54,2306,67160,3433.591423466349
Disabled,Wisconsin,55,6762,117035,5777.758790105524
Disabled,Wyoming,56,633,11384,5560.435699226985
ESRD,Alabama,1,11,1283,857.3655494933749
ESRD,Alaska,2,.,.,1190.4761904761904
ESRD,Arizona,4,16,1424,1123.5955056179776
ESRD,Arkansas,5,.,.,420.16806722689074
ESRD,California,6,74,8061,918.0002481081752
ESRD,Colorado,8,.,.,245.09803921568627
ESRD,Connecticut,9,.,.,1164.7254575707154
ESRD,"District of Columbia",11,.,.,1185.7707509881423
ESRD,Florida,12,39,4582,851.1567001309471
ESRD,Georgia,13,44,3720,1182.7956989247311
ESRD,Hawaii,15,.,.,150.82956259426848
ESRD,Idaho,16,.,.,706.7137809187279
ESRD,Illinois,17,.,.,296.07698001480384
ESRD,Indiana,18,.,.,677.2009029345372
ESRD,Iowa,19,.,.,213.67521367521368
ESRD,Kansas,20,11,564,1950.3546099290782
ESRD,Kentucky,21,.,.,886.2629246676514
ESRD,Louisiana,22,14,1532,913.8381201044386
ESRD,Maine,23,.,.,531.9148936170212
ESRD,Maryland,24,.,.,635.1446718419196
ESRD,Massachusetts,25,.,.,249.06600249066003
ESRD,Michigan,26,13,2095,620.5250596658711
ESRD,Minnesota,27,.,.,745.3416149068323
ESRD,Mississippi,28,16,1240,1290.3225806451612
ESRD,Missouri,29,22,1405,1565.8362989323844
ESRD,Montana,30,.,.,574.7126436781609
ESRD,Nebraska,31,.,.,279.3296089385475
ESRD,Nevada,32,.,.,390.625
ESRD,"New Hampshire",33,.,.,694.4444444444445
ESRD,"New Jersey",34,.,.,384.19319429198686
ESRD,"New Mexico",35,.,.,314.96062992125985
ESRD,"New York",36,31,3757,825.1264306627629
ESRD,"North Carolina",37,32,2690,1189.5910780669144
ESRD,Ohio,39,15,2172,690.6077348066298
ESRD,Oklahoma,40,11,1122,980.3921568627451
ESRD,Oregon,41,.,.,1344.0860215053763
ESRD,Pennsylvania,42,23,1882,1222.104144527099
ESRD,"South Carolina",45,13,1494,870.1472556894245
ESRD,"South Dakota",46,.,.,507.6142131979695
ESRD,Tennessee,47,19,1531,1241.01894186806
ESRD,Texas,48,71,9534,744.7031676106567
ESRD,Utah,49,.,.,587.0841487279843
ESRD,Virginia,51,17,1739,977.57331799885
ESRD,Washington,53,14,1374,1018.9228529839884
ESRD,"West Virginia",54,.,.,673.4006734006733
ESRD,Wisconsin,55,.,.,788.1773399014778
"Disabled and ESRD",Alabama,1,14,773,1811.1254851228975
"Disabled and ESRD",Arizona,4,.,.,378.7878787878788
"Disabled and ESRD",Arkansas,5,.,.,845.0704225352112
"Disabled and ESRD",California,6,23,1163,1977.6440240756665
"Disabled and ESRD",Colorado,8,.,.,1459.85401459854
"Disabled and ESRD",Connecticut,9,.,.,2352.9411764705883
"Disabled and ESRD","District of Columbia",11,.,.,4166.666666666666
"Disabled and ESRD",Florida,12,17,1041,1633.0451488952929
"Disabled and ESRD",Georgia,13,19,1204,1578.0730897009967
"Disabled and ESRD",Idaho,16,.,.,1923.076923076923
"Disabled and ESRD",Illinois,17,23,678,3392.3303834808257
"Disabled and ESRD",Indiana,18,13,494,2631.578947368421
"Disabled and ESRD",Iowa,19,13,211,6161.137440758293
"Disabled and ESRD",Kansas,20,11,253,4347.826086956522
"Disabled and ESRD",Kentucky,21,12,413,2905.5690072639227
"Disabled and ESRD",Louisiana,22,18,728,2472.5274725274726
"Disabled and ESRD",Maine,23,.,.,3546.099290780142
"Disabled and ESRD",Maryland,24,.,.,1570.6806282722512
"Disabled and ESRD",Massachusetts,25,.,.,2380.9523809523807
"Disabled and ESRD",Michigan,26,18,615,2926.829268292683
"Disabled and ESRD",Minnesota,27,.,.,2358.4905660377362
"Disabled and ESRD",Mississippi,28,11,770,1428.5714285714284
"Disabled and ESRD",Missouri,29,12,569,2108.96309314587
"Disabled and ESRD",Montana,30,.,.,3750
"Disabled and ESRD","New Hampshire",33,.,.,3448.2758620689656
"Disabled and ESRD","New Jersey",34,.,.,2067.1834625323
