RACE_NAME,SEX_NAME,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Unknown,Male,Alabama,1,56,4014,1395.1170901843548
Unknown,Male,Alaska,2,15,1270,1181.1023622047244
Unknown,Male,Arizona,4,50,9877,506.2265870203503
Unknown,Male,Arkansas,5,46,2825,1628.3185840707963
Unknown,Male,California,6,354,34662,1021.291327678726
Unknown,Male,Colorado,8,80,9291,861.0483263373156
Unknown,Male,Connecticut,9,87,8151,1067.3536989326465
Unknown,Male,Delaware,10,21,2446,858.5445625511038
Unknown,Male,"District of Columbia",11,.,.,1171.875
Unknown,Male,Florida,12,304,33309,912.6662463598427
Unknown,Male,Georgia,13,128,10531,1215.4591206912924
Unknown,Male,Hawaii,15,13,1143,1137.3578302712162
Unknown,Male,Idaho,16,45,2827,1591.793420587195
Unknown,Male,Illinois,17,172,19373,887.8335828214526
Unknown,Male,Indiana,18,155,11566,1340.1348780909564
Unknown,Male,Iowa,19,114,6371,1789.3580285669439
Unknown,Male,Kansas,20,65,4675,1390.3743315508023
Unknown,Male,Kentucky,21,51,5349,953.4492428491307
Unknown,Male,Louisiana,22,101,4973,2030.967223004223
Unknown,Male,Maine,23,54,3309,1631.9129646418858
Unknown,Male,Maryland,24,121,11166,1083.6467848826796
Unknown,Male,,25,298,15975,1865.4147104851331
Unknown,Male,Michigan,26,251,16507,1520.567032168171
Unknown,Male,Minnesota,27,223,7542,2956.775391142933
Unknown,Male,Mississippi,28,42,2223,1889.3387314439947
Unknown,Male,Missouri,29,156,7845,1988.527724665392
Unknown,Male,Montana,30,22,2675,822.4299065420561
Unknown,Male,Nebraska,31,51,3944,1293.103448275862
Unknown,Male,Nevada,32,29,3413,849.6923527688251
Unknown,Male,"New Hampshire",33,46,4510,1019.9556541019956
Unknown,Male,"New Jersey",34,141,15248,924.7114375655823
Unknown,Male,"New Mexico",35,27,2583,1045.2961672473868
Unknown,Male,"New York",36,427,34485,1238.2195157314775
Unknown,Male,"North Carolina",37,188,14279,1316.6188108410952
Unknown,Male,"North Dakota",38,31,1139,2721.6856892010537
Unknown,Male,Ohio,39,257,25561,1005.4379719103321
Unknown,Male,Oklahoma,40,30,3431,874.3806470416789
Unknown,Male,Oregon,41,75,6310,1188.5895404120445
Unknown,Male,Pennsylvania,42,243,20937,1160.6247313368679
Unknown,Male,"Rhode Island",44,36,2060,1747.5728155339807
Unknown,Male,"South Carolina",45,83,8229,1008.6280228460323
Unknown,Male,"South Dakota",46,16,1586,1008.827238335435
Unknown,Male,Tennessee,47,67,7991,838.4432486547365
Unknown,Male,Texas,48,208,20511,1014.0900004875433
Unknown,Male,Utah,49,62,2757,2248.821182444686
Unknown,Male,Vermont,50,36,3078,1169.5906432748538
Unknown,Male,Virginia,51,140,14699,952.4457446084768
Unknown,Male,Washington,53,134,11880,1127.946127946128
Unknown,Male,"West Virginia",54,25,1899,1316.4823591363875
Unknown,Male,Wisconsin,55,160,12927,1237.7195018179007
Unknown,Male,Wyoming,56,.,.,489.853044086774
Unknown,Female,Alabama,1,31,2010,1542.2885572139303
Unknown,Female,Alaska,2,.,.,608.8280060882801
Unknown,Female,Arizona,4,20,5031,397.5352812562115
Unknown,Female,Arkansas,5,25,1396,1790.8309455587391
Unknown,Female,California,6,187,23614,791.9031083255695
Unknown,Female,Colorado,8,32,4667,685.6653096207414
Unknown,Female,Connecticut,9,48,5005,959.040959040959
Unknown,Female,Delaware,10,13,1401,927.9086366880799
Unknown,Female,"District of Columbia",11,.,.,929.6148738379815
Unknown,Female,Florida,12,135,18176,742.737676056338
Unknown,Female,Georgia,13,55,5316,1034.6124905944318
Unknown,Female,Hawaii,15,11,751,1464.7137150466044
Unknown,Female,Idaho,16,20,1267,1578.531965272297
Unknown,Female,Illinois,17,74,10223,723.8579673285728
Unknown,Female,Indiana,18,52,5584,931.2320916905445
Unknown,Female,Iowa,19,32,2885,1109.1854419410745
Unknown,Female,Kansas,20,27,2394,1127.8195488721803
Unknown,Female,Kentucky,21,28,2297,1218.9812799303438
Unknown,Female,Louisiana,22,44,2486,1769.9115044247787
Unknown,Female,Maine,23,18,1815,991.7355371900827
Unknown,Female,Maryland,24,82,7984,1027.054108216433
Unknown,Female,Massachusetts,25,117,12802,913.9197000468677
Unknown,Female,Michigan,26,100,9469,1056.0777273207307
Unknown,Female,Minnesota,27,95,4440,2139.6396396396394
Unknown,Female,Mississippi,28,16,1168,1369.86301369863
Unknown,Female,Missouri,29,72,3892,1849.9486125385406
Unknown,Female,Montana,30,15,1334,1124.4377811094453
Unknown,Female,Nebraska,31,20,2066,968.054211035818
Unknown,Female,Nevada,32,.,.,389.10505836575874
Unknown,Female,"New Hampshire",33,12,2644,453.85779122541607
Unknown,Female,"New Jersey",34,74,9940,744.4668008048291
Unknown,Female,"New Mexico",35,.,.,400.8016032064128
