BENE_N,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Unknown,"North Carolina",37,.,.,100000
Male,Alabama,1,4378,336804,1299.8657973183217
Male,Alaska,2,746,45546,1637.90453607342
Male,Arizona,4,3196,416947,766.5242824627591
Male,Arkansas,5,3205,234682,1365.677810824861
Male,California,6,34891,1666181,2094.0702120597944
Male,Colorado,8,3351,271410,1234.6634243395602
Male,Connecticut,9,4868,204570,2379.6255560443856
Male,Delaware,10,888,82767,1072.8913697488128
Male,"District of Columbia",11,977,29834,3274.787155594289
Male,Florida,12,16367,1324353,1235.8487502954274
Male,Georgia,13,7452,537753,1385.766327663444
Male,Hawaii,15,709,68649,1032.7899896575334
Male,Idaho,16,1498,115896,1292.5381376406433
Male,Illinois,17,12340,797743,1546.8640903148007
Male,Indiana,18,7009,432489,1620.6192527440003
Male,Iowa,19,3678,234856,1566.0660149197806
Male,Kansas,20,3025,202031,1497.2949695838759
Male,Kentucky,21,4098,324492,1262.8970822084982
Male,Louisiana,22,5854,279804,2092.1788108819032
Male,Maine,23,1852,112388,1647.862761148877
Male,Maryland,,6641,367875,1805.2327556914713
Male,Massachusetts,25,9771,443997,2200.6905452063866
Male,Michigan,26,12381,666613,1857.299512610765
Male,Minnesota,27,6394,277334,2305.5233040305193
Male,Mississippi,28,4348,230795,1883.922961935917
Male,Missouri,29,8198,404632,2026.0384744656874
Male,Montana,30,1135,93914,1208.5525054837406
Male,Nebraska,31,1798,131842,1363.7535838351967
Male,Nevada,32,2276,170545,1334.5451347151777
Male,"New Hampshire",33,1476,115260,1280.5830296720458
Male,"New Jersey",34,8473,538519,1573.3892397482728
Male,"New Mexico",35,1535,139218,1102.5873091123274
Male,"New York",36,23389,975258,2398.2371844168415
Male,"North Carolina",37,10129,666913,1518.7888075356154
Male,"North Dakota",38,852,51968,1639.4704433497536
Male,Ohio,39,11536,708130,1629.0794063236976
Male,Oklahoma,40,4196,270699,1550.061138016764
Male,Oregon,41,3403,243116,1399.7433324009937
Male,Pennsylvania,42,11318,756962,1495.1873409761652
Male,"Rhode Island",44,970,59835,1621.1247597559957
Male,"South Carolina",45,4193,388607,1078.9821078879177
Male,"South Dakota",46,834,69545,1199.2235243367604
Male,Tennessee,47,4909,428751,1144.9535977758653
Male,Texas,48,16520,1328695,1243.3252176007286
Male,Utah,49,1587,121762,1303.3622969399319
Male,Vermont,50,895,59880,1494.6559786239145
Male,Virginia,51,7465,534580,1396.4233603950765
Male,Washington,53,5540,438924,1262.1775068121133
Male,"West Virginia",54,2008,156262,1285.0213103633641
Male,Wisconsin,55,5482,356052,1539.6627458910496
Male,Wyoming,56,502,49148,1021.4047367135997
Female,Alabama,1,3666,413195,887.232420527838
Female,Alaska,2,472,45549,1036.2466794002064
Female,Arizona,4,2130,462232,460.80755984008033
Female,Arkansas,5,2599,281168,924.3583907130256
Female,California,6,25884,1916952,1350.2685513252288
Female,Colorado,8,2001,303994,658.236675723863
Female,Connecticut,9,3692,258616,1427.5992204658644
Female,Delaware,10,848,102657,826.0518035789083
Female,"District of Columbia",11,917,39950,2295.369211514393
Female,Florida,12,14913,1549937,962.1681397372927
Female,Georgia,13,6164,649014,949.7483875540435
Female,Hawaii,15,467,75386,619.4784177433476
Female,Idaho,16,1090,124419,876.0719825750086
Female,Illinois,17,9588,986972,971.4561304677336
Female,Indiana,18,5533,533793,1036.5441285292238
Female,Iowa,19,2802,283426,988.6178402828252
Female,Kansas,20,2568,244316,1051.0977586404492
Female,Kentucky,21,3300,370890,889.7516783952115
Female,Louisiana,22,4681,329115,1422.2991963295506
Female,Maine,23,1160,130139,891.3546285125904
Female,Maryland,24,5754,484366,1187.9446534232377
Female,Massachusetts,25,7215,556964,1295.4158617073995
Female,Michigan,26,9337,801933,1164.3117317780911
Female,Minnesota,27,4572,318729,1434.4474459493802
Female,Mississippi,28,3652,285656,1278.4608060044247
Female,Missouri,29,6079,482132,1260.8580222843536
Female,Montana,30,809,99424,813.686836176376
Female,Nebraska,31,1422,161119,882.5774737926625
Female,Nevada,32,1816,182864,993.0877592090296
Female,"New Hampshire",33,1121,138069,811.9128841376413
Female,"New Jersey",34,7704,699525,1101.3187520102927
Female,"New Mexico",35,963,152466,631.6162291920822
Female,"New York",36,18098,1210017,1495.681465632301
Female,"North Carolina",37,8695,825499,1053.3023056357429
Female,"North Dakota",38,641,59735,1073.0727379258392
Female,Ohio,39,9284,827531,1121.8915061792247
Female,Oklahoma,40,3565,327285,1089.2647081290008
Female,Oregon,41,2124,263110,807.2669225799095
Female,Pennsylvania,42,9201,913739,1006.9615065133479
Female,"Rhode Island",44,628,72725,863.5269852182881
Female,"South Carolina",45,3427,471704,726.514933093635
Female,"South Dakota",46,696,79032,880.655936835712
Female,Tennessee,47,4410,516549,853.7428201390381
Female,Texas,48,14336,1574124,910.7287608854194
Female,Utah,49,994,138195,719.2734903578278
Female,Vermont,50,618,69464,889.6694690775078
Female,Virginia,51,6224,665194,935.6668881559364
Female,Washington,53,3715,499580,743.6246447015493
Female,"West Virginia",54,1732,167507,1033.9866393643251
Female,Wisconsin,55,4459,413575,1078.1599468052952
Female,Wyoming,56,360,53011,679.104336835751
