AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,.,0,.,1
_18-39,Arizona,4,.,0,.,1
_18-39,Arkansas,5,.,.,.,0.5
_18-39,California,6,.,0,.,1
_18-39,Colorado,8,.,0,.,1
_18-39,"District of Columbia",11,.,0,.,1
_18-39,Florida,12,.,.,.,0.2
_18-39,Georgia,13,0,.,.,0
_18-39,Hawaii,15,.,.,.,0.5
_18-39,Illinois,17,.,.,.,0.6666666667
_18-39,Indiana,18,.,.,.,0.3333333333
_18-39,Kansas,20,.,0,.,1
_18-39,Louisiana,22,.,.,.,0.5
_18-39,Maine,23,0,.,.,0
_18-39,Maryland,24,.,0,.,1
_18-39,Massachusetts,25,.,0,.,1
_18-39,Michigan,26,.,0,.,1
_18-39,Mississippi,28,0,.,.,0
_18-39,Missouri,29,.,0,.,1
_18-39,Montana,30,0,.,.,0
_18-39,Nebraska,31,.,0,.,1
_18-39,"New Hampshire",33,.,0,.,1
_18-39,"New Jersey",34,.,0,.,1
_18-39,"New York",36,.,.,.,0.6
_18-39,"North Carolina",37,0,.,.,0
_18-39,Ohio,39,.,.,.,0.6
_18-39,Oklahoma,40,0,.,.,0
_18-39,Pennsylvania,42,.,0,.,1
_18-39,"Rhode Island",44,.,0,.,1
_18-39,"South Carolina",45,.,0,.,1
_18-39,Tennessee,47,.,.,.,0.5
_18-39,Texas,48,.,.,.,0.6666666667
_18-39,Virginia,51,.,0,.,1
_18-39,Washington,53,0,.,.,0
_18-39,Wisconsin,55,.,0,.,1
_18-39,Wyoming,56,.,0,.,1
_40-64,Alabama,1,37,15,52,0.7115384615
_40-64,Alaska,2,.,.,.,0.6666666667
_40-64,Arizona,4,.,.,.,0.6296296296
_40-64,Arkansas,5,33,13,46,0.7173913043
_40-64,California,6,120,42,162,0.7407407407
_40-64,Colorado,8,.,.,.,0.6818181818
_40-64,Connecticut,9,.,.,.,0.8888888889
_40-64,Delaware,10,.,.,.,0.5714285714
_40-64,"District of Columbia",11,.,.,.,0.8333333333
_40-64,Florida,12,68,22,90,0.7555555556
_40-64,Georgia,13,45,14,59,0.7627118644
_40-64,Hawaii,15,.,.,.,0.6
_40-64,Idaho,16,.,.,.,0.6666666667
_40-64,Illinois,17,58,18,76,0.7631578947
_40-64,Indiana,18,36,14,50,0.72
_40-64,Iowa,19,.,.,.,0.7916666667
_40-64,Kansas,20,.,.,.,0.8461538462
_40-64,Kentucky,21,.,.,.,0.8235294118
_40-64,Louisiana,22,34,12,46,0.7391304348
_40-64,Maine,23,.,.,.,0.6428571429
_40-64,Maryland,24,29,17,46,0.6304347826
_40-64,Massachusetts,25,41,12,53,0.7735849057
_40-64,Michigan,26,62,24,86,0.7209302326
_40-64,Minnesota,27,.,.,.,0.8333333333
_40-64,Mississippi,28,28,21,49,0.5714285714
_40-64,Missouri,29,31,11,42,0.7380952381
_40-64,Montana,30,.,.,.,0.7142857143
_40-64,Nebraska,31,.,.,.,0.8888888889
_40-64,Nevada,32,.,.,.,0.8181818182
_40-64,"New Hampshire",33,.,.,.,0.8333333333
_40-64,"New Jersey",34,31,12,43,0.7209302326
_40-64,"New Mexico",35,.,.,.,0.7142857143
_40-64,"New York",36,101,26,127,0.7952755906
_40-64,"North Carolina",37,59,22,81,0.7283950617
_40-64,"North Dakota",38,.,0,.,1
_40-64,Ohio,39,42,30,72,0.5833333333
_40-64,Oklahoma,40,.,.,.,0.71875
_40-64,Oregon,41,.,.,.,0.7142857143
_40-64,Pennsylvania,42,79,17,96,0.8229166667
_40-64,"Rhode Island",44,.,.,.,0.6666666667
_40-64,"South Carolina",45,25,11,36,0.6944444444
_40-64,"South Dakota",46,.,.,.,0.5555555556
_40-64,Tennessee,47,38,11,49,0.7755102041
_40-64,Texas,48,89,65,154,0.5779220779
_40-64,Utah,49,.,.,.,0.625
_40-64,Vermont,50,.,.,.,0.875
_40-64,Virginia,51,48,15,63,0.7619047619
_40-64,Washington,53,.,.,.,0.6875
_40-64,"West Virginia",54,18,13,31,0.5806451613
_40-64,Wisconsin,55,23,14,37,0.6216216216
_40-64,Wyoming,56,0,.,.,0
_65-69,Alabama,1,71,14,85,0.8352941176
_65-69,Alaska,2,.,.,.,0.84
_65-69,Arizona,4,97,17,114,0.850877193
_65-69,Arkansas,5,62,25,87,0.7126436782
_65-69,California,6,240,77,317,0.7570977918
_65-69,Colorado,8,39,14,53,0.7358490566
_65-69,Connecticut,9,.,.,.,0.7857142857
_65-69,Delaware,10,.,.,.,0.8333333333
_65-69,"District of Columbia",11,.,.,.,0.5
_65-69,Florida,12,200,62,262,0.7633587786
_65-69,Georgia,13,101,34,135,0.7481481481
_65-69,Hawaii,15,.,.,.,0.75
_65-69,Idaho,16,.,.,.,0.85
_65-69,Illinois,17,197,26,223,0.8834080717
_65-69,Indiana,18,119,15,134,0.8880597015
