RACE_NAME,SEX_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,Alabama,1,.,0,.,1
Unknown,Male,Alaska,2,.,0,.,1
Unknown,Male,Arizona,4,.,0,.,1
Unknown,Male,Arkansas,5,.,0,.,1
Unknown,Male,California,6,.,.,.,0.8518518519
Unknown,Male,Colorado,8,.,0,.,1
Unknown,Male,Connecticut,9,.,0,.,1
Unknown,Male,"District of Columbia",11,0,.,.,0
Unknown,Male,Florida,12,.,.,.,0.8333333333
Unknown,Male,Georgia,13,.,.,.,0.7142857143
Unknown,Male,Idaho,16,.,0,.,1
Unknown,Male,Illinois,17,.,.,.,0.7692307692
Unknown,Male,Indiana,18,.,.,.,0.9090909091
Unknown,Male,Iowa,19,.,0,.,1
Unknown,Male,Kansas,20,.,0,.,1
Unknown,Male,Kentucky,21,.,0,.,1
Unknown,Male,Louisiana,22,.,0,.,1
Unknown,Male,Maryland,24,.,0,.,1
Unknown,Male,Massachusetts,25,.,.,.,0.7777777778
Unknown,Male,Michigan,26,.,.,.,0.8181818182
Unknown,Male,Minnesota,27,.,.,.,0.8
Unknown,Male,Mississippi,28,.,.,.,0.6666666667
Unknown,Male,Missouri,29,.,0,.,1
Unknown,Male,Nebraska,31,.,0,.,1
Unknown,Male,Nevada,32,.,.,.,0.5
Unknown,Male,"New Hampshire",33,.,0,.,1
Unknown,Male,"New Jersey",34,.,.,.,0.8888888889
Unknown,Male,"New Mexico",35,.,.,.,0.3333333333
Unknown,Male,"New York",36,.,.,.,0.9375
Unknown,Male,"North Carolina",37,.,.,.,0.75
Unknown,Male,"North Dakota",38,.,0,.,1
Unknown,Male,Ohio,39,.,.,.,0.8965517241
Unknown,Male,Oklahoma,40,.,0,.,1
Unknown,Male,Oregon,41,.,0,.,1
Unknown,Male,Pennsylvania,42,.,.,.,0.7333333333
Unknown,Male,"South Carolina",45,.,.,.,0.8333333333
Unknown,Male,"South Dakota",46,.,0,.,1
Unknown,Male,Tennessee,47,.,.,.,0.75
Unknown,Male,Texas,48,.,.,.,0.9333333333
Unknown,Male,Vermont,50,.,0,.,1
Unknown,Male,Virginia,51,.,.,.,0.75
Unknown,Male,Washington,53,.,0,.,1
Unknown,Male,"West Virginia",54,.,0,.,1
Unknown,Male,Wisconsin,55,.,.,.,0.8
Unknown,Female,Alabama,1,.,0,.,1
Unknown,Female,California,6,.,.,.,0.625
Unknown,Female,Florida,12,.,.,.,0.875
